rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,4110000,6,1,2,candidate,"NULL_REG(r1) | NULL_REG(r2)","r1=R0;r2=R1","substr",59
30,685000,1,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_STRING(r2,c2)","r1=R6;c1=int:0;r2=R9;c2=string@31136","substr",77
31,685000,1,1,5,over_3_symbols,"LOAD_REG_STRING(r1,c1) | ILT_REG_REG_INT(r2,r3,c2)","r1=R9;c1=string@31136;r2=R14;r3=R19;c2=int:1","substr",80
32,685000,1,1,3,candidate,"LOAD_REG_STRING(r1,c1) | SETTP_REG_INT(r1,c2)","r1=R4;c1=string@321248;c2=int:0","substr",36
33,685000,1,1,3,candidate,"NOT_REG_REG(r1,r2) | BRF_ID_REG(c1,r1)","r1=R14;r2=R3;c1=label@171","substr",144
34,685000,1,1,4,over_3_symbols,"NULL_REG(r1) | GETANDTP_REG_REG_INT(r2,r3,c1)","r1=R13;r2=R3;r3=R20;c1=int:256","substr",71
35,685000,1,1,4,over_3_symbols,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4)","r1=R12;r2=R11;r3=R9;r4=R1","substr",224
36,685000,1,1,3,candidate,"SETTP_REG_INT(r1,c1) | BR_ID(c2)","r1=R4;c1=int:0;c2=label@59","substr",39
37,685000,6,1,4,over_3_symbols,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2)","r1=R11;c1=int:256;r2=R12;c2=int:512","benchmark_base64_roundtrip_noopt",720
38,685000,1,1,4,over_3_symbols,"STRLEN_REG_REG(r1,r2) | INE_REG_REG_INT(r3,r1,c1)","r1=R7;r2=R4;r3=R14;c1=int:1","substr",113
39,685000,1,1,5,over_3_symbols,"STRLEN_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1)","r1=R13;r2=R12;r3=R11;r4=R19;c1=int:1","substr",126
40,685000,1,1,5,over_3_symbols,"SUBSTRING_REG_REG_REG(r1,r2,r3) | ISUB_REG_REG_REG(r4,r5,r3)","r1=R9;r2=R12;r3=R1;r4=R8;r5=R20","substr",227
41,684000,4,1,4,over_3_symbols,"RNE_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R23;r2=R13;c1=string@35168;c2=label@1025","benchmark_base64_roundtrip_noopt",993
42,683001,2,1,3,candidate,"SETNUMSTD_INT(c1) | LOAD_REG_INT(r1,c2)","c1=int:1;r1=R3;c2=int:3","benchmark_base64_roundtrip_noopt",1185
43,683000,4,1,5,over_3_symbols,"BGETU8_REG_REG_REG(r1,r2,r3) | BSETU8_REG_REG_REG(r4,r5,r1)","r1=R18;r2=R0;r3=R11;r4=R6;r5=R5","benchmark_base64_roundtrip_noopt",554
44,683000,1,1,4,over_3_symbols,"BRTPANDT_ID_REG_INT(c1,r1,c2) | LOAD_REG_INT(r1,c3)","c1=label@44;r1=R8;c2=int:256;c3=int:1","pos",34
45,683000,1,1,4,over_3_symbols,"BRT_ID_REG(c1,r1) | SEQ_REG_REG_STRING(r1,r2,c2)","c1=label@67;r1=R4;r2=R1;c2=string@31136","pos",60
46,683000,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | STRPOS_REG_REG_REG(r1,r3,r4)","r1=R0;r2=R8;r3=R2;r4=R1","pos",72
47,683000,1,1,4,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | ILT_REG_REG_INT(r2,r1,c2)","r1=R2;r2=R7;c1=int:1;c2=int:0","benchmark_base64_roundtrip_noopt",1215
48,683000,1,1,3,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r1,c2)","r1=R8;c1=int:1;c2=int:0","pos",38
49,683000,1,1,4,over_3_symbols,"NULL_REG(r1) | ILT_REG_REG_INT(r2,r3,c1)","r1=R0;r2=R4;r3=R8;c1=int:1","pos",44
50,683000,1,1,4,over_3_symbols,"SEQ_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R4;r2=R1;c1=string@31136;c2=label@72","pos",63
51,683000,1,1,4,over_3_symbols,"SEQ_REG_REG_STRING(r1,r2,c1) | BRT_ID_REG(c2,r1)","r1=R4;r2=R2;c1=string@31136;c2=label@67","pos",56
52,683000,1,1,3,candidate,"SETTP_REG_INT(r1,c1) | NULL_REG(r2)","r1=R8;c1=int:0;r2=R0","pos",41
53,683000,1,1,3,candidate,"STRPOS_REG_REG_REG(r1,r2,r3) | RET_REG(r1)","r1=R0;r2=R2;r3=R1","pos",75
54,683000,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1)","r1=R10;r2=R5;r3=R2;r4=R7;c1=int:1","benchmark_base64_roundtrip_noopt",1212
55,682000,4,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r3,c2)","c1=label@499;r1=R17;r2=R18;r3=R4;c2=int:1","benchmark_base64_roundtrip_noopt",488
56,515001,8,1,4,over_3_symbols,"SWAP_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1)","r1=R4;r2=R7;r3=R6;c1=int:1","benchmark_base64_roundtrip_noopt",107
57,512500,3,1,4,over_3_symbols,"IMOD_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r1,r1,c2)","r1=R18;r2=R9;c1=int:4;c2=int:16","benchmark_base64_roundtrip_noopt",518
58,512001,4,2,4,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2)","c1=label@1163;r1=R15;r2=R22;c2=int:1","benchmark_base64_roundtrip_noopt",828
59,512000,3,1,4,over_3_symbols,"BSETU8_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r2,r2,c1)","r1=R7;r2=R5;r3=R23;c1=int:1","benchmark_base64_roundtrip_noopt",1069
60,512000,3,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | BGETU8_REG_REG_REG(r3,r4,r5)","r1=R18;r2=R5;c1=int:1;r3=R17;r4=R0;r5=R12","benchmark_base64_roundtrip_noopt",562
61,512000,3,1,4,over_3_symbols,"IADD_REG_REG_REG(r1,r1,r2) | BSETU8_REG_REG_REG(r3,r4,r1)","r1=R23;r2=R22;r3=R7;r4=R5","benchmark_base64_roundtrip_noopt",1065
62,343000,4,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2)","r1=R20;r2=R5;c1=int:2;r3=R21;c2=int:61","benchmark_base64_roundtrip_noopt",595
63,342502,5,2,3,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1)","r1=R4;c1=int:0;r2=R5","benchmark_base64_roundtrip_noopt",457
64,342000,2,1,4,over_3_symbols,"BRF_ID_REG(c1,r1) | RNE_REG_REG_STRING(r1,r2,c2)","c1=label@1092;r1=R23;r2=R13;c2=string@35168","benchmark_base64_roundtrip_noopt",1085
65,342000,2,1,3,candidate,"IADD_REG_REG_INT(r1,r1,c1) | BR_ID(c2)","r1=R5;c1=int:4;c2=label@463","benchmark_base64_roundtrip_noopt",642
66,342000,2,1,4,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | ILT_REG_REG_REG(r1,r3,r1)","r1=R23;r2=R4;c1=int:1;r3=R5","benchmark_base64_roundtrip_noopt",1077
67,342000,2,1,5,over_3_symbols,"IDIV_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r3,r4,r1)","r1=R17;r2=R8;c1=int:16;r3=R12;r4=R18","benchmark_base64_roundtrip_noopt",526
68,342000,2,1,3,candidate,"ILT_REG_REG_REG(r1,r2,r1) | BRF_ID_REG(c1,r1)","r1=R23;r2=R5;c1=label@1092","benchmark_base64_roundtrip_noopt",1081
69,342000,2,1,3,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1)","r1=R17;c1=int:256;r2=R0","benchmark_base64_roundtrip_noopt",865
70,342000,2,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | IADD_REG_REG_INT(r3,r4,c1)","r1=R0;r2=R23;r3=R21;r4=R3;c1=int:2","benchmark_base64_roundtrip_noopt",926
71,341500,2,1,4,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | IADD_REG_REG_INT(r2,r2,c2)","r1=R4;c1=int:3;r2=R5;c2=int:4","benchmark_base64_roundtrip_noopt",638
72,341500,2,1,4,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | IADD_REG_REG_INT(r2,r3,c1)","r1=R5;c1=int:1;r2=R23;r3=R4","benchmark_base64_roundtrip_noopt",1073
73,341500,2,1,4,over_3_symbols,"IDIV_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r3,r3,r1)","r1=R22;r2=R9;c1=int:16;r3=R23","benchmark_base64_roundtrip_noopt",1061
74,341500,2,1,5,over_3_symbols,"IMULT_REG_REG_INT(r1,r1,c1) | IDIV_REG_REG_INT(r2,r3,c2)","r1=R18;c1=int:4;r2=R17;r3=R7;c2=int:64","benchmark_base64_roundtrip_noopt",538
75,341000,2,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | IMOD_REG_REG_INT(r2,r3,c2)","c1=label@1119;r1=R23;r2=R22;r3=R9;c2=int:16","benchmark_base64_roundtrip_noopt",1092
76,341000,2,1,4,over_3_symbols,"BSETU8_REG_REG_REG(r1,r2,r3) | BR_ID(c1)","r1=R6;r2=R17;r3=R19;c1=label@606","benchmark_base64_roundtrip_noopt",589
77,341000,2,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | BGETU8_REG_REG_REG(r3,r4,r1)","r1=R18;r2=R4;c1=int:1;r3=R8;r4=R23","benchmark_base64_roundtrip_noopt",491
78,171500,1,1,4,over_3_symbols,"ILTE_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R15;r2=R3;r3=R2;c1=label@1163","benchmark_base64_roundtrip_noopt",824
79,171500,1,1,4,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R16;r2=R4;r3=R3;c1=label@648","benchmark_base64_roundtrip_noopt",463
80,171500,2,1,4,over_3_symbols,"SWAP_REG_REG(r1,r2) | IADD_REG_REG_INT(r2,r3,c1)","r1=R23;r2=R8;r3=R3;c1=int:2","benchmark_base64_roundtrip_noopt",423
81,171000,1,1,5,over_3_symbols,"BGETU8_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1)","r1=R9;r2=R23;r3=R4;r4=R8;c1=int:0","benchmark_base64_roundtrip_noopt",474
82,171000,1,1,5,over_3_symbols,"BRF_ID_REG(c1,r1) | ISUB_REG_REG_REG(r2,r3,r4)","c1=label@648;r1=R16;r2=R15;r3=R3;r4=R4","benchmark_base64_roundtrip_noopt",467
83,171000,1,1,4,over_3_symbols,"BSETU8_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r3,r2,c1)","r1=R6;r2=R5;r3=R18;c1=int:1","benchmark_base64_roundtrip_noopt",558
84,171000,1,1,5,over_3_symbols,"BSETU8_REG_REG_REG(r1,r2,r3) | IGT_REG_REG_INT(r2,r4,c1)","r1=R6;r2=R18;r3=R17;r4=R15;c1=int:1","benchmark_base64_roundtrip_noopt",570
85,171000,1,1,4,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c1)","r1=R18;r2=R3;c1=int:1;r3=R19","benchmark_base64_roundtrip_noopt",881
86,171000,1,1,5,over_3_symbols,"IADD_REG_REG_REG(r1,r2,r3) | IMOD_REG_REG_INT(r2,r4,c1)","r1=R12;r2=R18;r3=R17;r4=R8;c1=int:16","benchmark_base64_roundtrip_noopt",530
87,171000,1,1,6,over_3_symbols,"IADD_REG_REG_REG(r1,r2,r3) | IMOD_REG_REG_INT(r4,r5,c1)","r1=R13;r2=R18;r3=R17;r4=R14;r5=R7;c1=int:64","benchmark_base64_roundtrip_noopt",546
88,171000,1,1,4,over_3_symbols,"IDIV_REG_REG_INT(r1,r2,c1) | IMOD_REG_REG_INT(r3,r2,c1)","r1=R11;r2=R9;c1=int:4;r3=R18","benchmark_base64_roundtrip_noopt",514
89,171000,1,1,6,over_3_symbols,"IMOD_REG_REG_INT(r1,r2,c1) | BGETU8_REG_REG_REG(r3,r4,r5)","r1=R14;r2=R7;c1=int:64;r3=R18;r4=R0;r5=R11","benchmark_base64_roundtrip_noopt",550
90,171000,1,1,4,over_3_symbols,"IMULT_REG_REG_INT(r1,r1,c1) | IDIV_REG_REG_INT(r2,r3,c1)","r1=R18;c1=int:16;r2=R17;r3=R8","benchmark_base64_roundtrip_noopt",522
91,171000,1,1,6,over_3_symbols,"IMULT_REG_REG_INT(r1,r2,c1) | IDIV_REG_REG_INT(r3,r4,c2)","r1=R23;r2=R11;c1=int:4;r3=R22;r4=R9;c2=int:16","benchmark_base64_roundtrip_noopt",1057
92,171000,1,1,5,over_3_symbols,"ISUB_REG_REG_REG(r1,r2,r3) | BGETU8_REG_REG_REG(r4,r5,r3)","r1=R15;r2=R3;r3=R4;r4=R9;r5=R23","benchmark_base64_roundtrip_noopt",470
93,171000,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_INT(r2,r3,c2)","r1=R7;c1=int:0;r2=R17;r3=R15;c2=int:1","benchmark_base64_roundtrip_noopt",481
94,171000,1,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | RNE_REG_REG_STRING(r2,r3,c2)","r1=R14;c1=int:0;r2=R23;r3=R13;c2=string@35168","benchmark_base64_roundtrip_noopt",990
95,170500,1,1,6,over_3_symbols,"BGETU8_REG_REG_REG(r1,r2,r3) | IDIV_REG_REG_INT(r4,r5,c1)","r1=R7;r2=R23;r3=R17;r4=R11;r5=R9;c1=int:4","benchmark_base64_roundtrip_noopt",510
96,170500,1,1,5,over_3_symbols,"BGETU8_REG_REG_REG(r1,r2,r3) | IGT_REG_REG_INT(r3,r4,c1)","r1=R8;r2=R23;r3=R18;r4=R15;c1=int:2","benchmark_base64_roundtrip_noopt",495
97,170500,1,1,3,candidate,"IMOD_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r1,r1,c1)","r1=R22;r2=R9;c1=int:16","benchmark_base64_roundtrip_noopt",1095
98,170500,1,1,3,candidate,"IMULT_REG_REG_INT(r1,r1,c1) | IADD_REG_REG_REG(r1,r1,r2)","r1=R22;c1=int:64;r2=R14","benchmark_base64_roundtrip_noopt",1141
99,170500,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | IMULT_REG_REG_INT(r3,r4,c1)","r1=R0;r2=R22;r3=R23;r4=R11;c1=int:4","benchmark_base64_roundtrip_noopt",1054
100,170500,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | RNE_REG_REG_STRING(r3,r4,c1)","r1=R0;r2=R22;r3=R23;r4=R12;c1=string@35168","benchmark_base64_roundtrip_noopt",1022
101,6000,12,1,2,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2)","r1=R9;r2=R8","benchmark_base64_roundtrip_noopt",648
102,2551,3,1,4,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1)","r1=R8;r2=R9;r3=R5;c1=label@130","benchmark_base64_roundtrip_noopt",87
103,2548,3,1,2,candidate,"INC_REG(r1) | BR_ID(c1)","r1=R9;c1=label@87","benchmark_base64_roundtrip_noopt",126
104,1503,3,1,2,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c2)","c1=int:1;c2=int:2","binary",6
105,1502,2,1,2,candidate,"BLEN_REG_REG(r1,r2) | RET_REG(r1)","r1=R1;r2=R0","binary",25
106,1024,1,1,4,over_3_symbols,"BGETU8_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_REG(r4,r4,r1)","r1=R3;r2=R7;r3=R2;r4=R0","benchmark_base64_roundtrip_noopt",1273
107,1024,1,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r2,r3,r4)","c1=label@1285;r1=R4;r2=R3;r3=R7;r4=R2","benchmark_base64_roundtrip_noopt",1270
108,1024,1,1,5,over_3_symbols,"BRT_ID_REG(c1,r1) | IMULT_REG_REG_INT(r2,r3,c2)","c1=label@386;r1=R1;r2=R5;r3=R3;c2=int:31","benchmark_base64_roundtrip_noopt",363
109,1024,1,1,3,candidate,"BSETU8_REG_REG_REG(r1,r2,r3) | INC_REG(r2)","r1=R0;r2=R3;r3=R5","benchmark_base64_roundtrip_noopt",378
110,1024,1,1,3,candidate,"IADD_REG_REG_INT(r1,r1,c1) | IMOD_REG_REG_INT(r1,r1,c2)","r1=R5;c1=int:7;c2=int:256","benchmark_base64_roundtrip_noopt",370
111,1024,1,1,3,candidate,"IADD_REG_REG_REG(r1,r1,r2) | INC_REG(r3)","r1=R0;r2=R3;r3=R2","benchmark_base64_roundtrip_noopt",1277
112,1024,1,1,4,over_3_symbols,"IMOD_REG_REG_INT(r1,r1,c1) | BSETU8_REG_REG_REG(r2,r3,r1)","r1=R5;c1=int:256;r2=R0;r3=R3","benchmark_base64_roundtrip_noopt",374
113,1024,1,1,4,over_3_symbols,"IMULT_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r1,r1,c2)","r1=R5;r2=R3;c1=int:31;c2=int:7","benchmark_base64_roundtrip_noopt",366
114,1002,4,1,2,candidate,"SETNUMSTD_INT(c1) | NULL_REG(r1)","c1=int:1;r1=R2","benchmark_base64_roundtrip_noopt",8
115,1001,1,1,3,candidate,"BRESIZE_REG_REG(r1,r2) | BLEN_REG_REG(r3,r1)","r1=R4;r2=R1;r3=R2","binary",805
116,1001,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1)","r1=R1;r2=R5;r3=R2;c1=int:0","binary",799
117,1001,1,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | BRESIZE_REG_REG(r2,r3)","r1=R2;c1=int:0;r2=R4;r3=R1","binary",802
118,1001,3,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | SWAP_REG_REG(r2,r3)","r1=R1;c1=int:2;r2=R2;r3=R0","benchmark_base64_roundtrip_noopt",340
119,1001,1,1,3,candidate,"SETNUMSTD_INT(c1) | ICOPY_REG_REG(r1,r2)","c1=int:2;r1=R1;r2=R5","binary",797
120,1000,2,1,4,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r2,c2)","c1=label@747;r1=R13;r2=R6;c2=int:1","benchmark_base64_roundtrip_noopt",740
121,1000,2,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | BSETU8_REG_REG_REG(r2,r3,r1)","r1=R21;c1=int:61;r2=R6;r3=R20","benchmark_base64_roundtrip_noopt",599
122,1000,2,1,3,candidate,"NULL_REG(r1) | LOAD_REG_STRING(r2,c1)","r1=R6;r2=R7;c1=string@15952","benchmark_base64_roundtrip_noopt",400
123,503,3,1,3,candidate,"BCOPY_REG_REG(r1,r2) | BR_ID(c1)","r1=R0;r2=R3;c1=label@22","binary",14
124,503,3,1,4,over_3_symbols,"BRTPANDT_ID_REG_INT(c1,r1,c2) | BCOPY_REG_REG(r2,r1)","c1=label@19;r1=R3;c2=int:512;r2=R0","binary",10
125,502,3,1,2,candidate,"ENDLIFE_REG(r1) | RET_REG(r2)","r1=R3;r2=R0","benchmark_base64_roundtrip_noopt",386
126,502,1,1,3,candidate,"LOAD_REG_INT(r1,c1) | STRLEN_REG_REG(r1,r2)","r1=R0;c1=int:0;r2=R1","length",22
127,502,1,1,2,candidate,"STRLEN_REG_REG(r1,r2) | RET_REG(r1)","r1=R0;r2=R1","length",25
128,501,2,2,4,over_3_symbols,"IEQ_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R5;r2=R1;r3=R3;c1=label@714","binary",689
129,501,1,1,3,candidate,"LOAD_REG_INT(r1,c1) | BLEN_REG_REG(r1,r2)","r1=R1;c1=int:0;r2=R0","binary",22
130,501,2,1,4,over_3_symbols,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2)","r1=R3;c1=string@288;r2=R9;c2=int:1","benchmark_base64_roundtrip_noopt",81
131,500,1,1,2,candidate,"BCOPY_REG_REG(r1,r2) | BINTOS_REG(r1)","r1=R21;r2=R6","benchmark_base64_roundtrip_noopt",664
132,500,1,1,1,candidate,"BINTOS_REG(r1) | RET_REG(r1)","r1=R21","benchmark_base64_roundtrip_noopt",667
133,500,1,1,4,over_3_symbols,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_REG(r1,r2,r3)","c1=label@205;r1=R14;r2=R1;r3=R13","substr",198
134,500,1,1,4,over_3_symbols,"BRT_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2)","c1=label@130;r1=R8;r2=R6;c2=int:1","benchmark_base64_roundtrip_noopt",91
135,500,1,1,5,over_3_symbols,"BSETU8_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r4,r4,c1)","r1=R6;r2=R18;r3=R17;r4=R4;c1=int:3","benchmark_base64_roundtrip_noopt",634
136,500,1,1,5,over_3_symbols,"BSETU8_REG_REG_REG(r1,r2,r3) | IGT_REG_REG_INT(r3,r4,c1)","r1=R6;r2=R20;r3=R21;r4=R15;c1=int:2","benchmark_base64_roundtrip_noopt",602
137,500,1,1,3,candidate,"ENDLIFE_REG(r1) | BCOPY_REG_REG(r2,r3)","r1=R15;r2=R21;r3=R6","benchmark_base64_roundtrip_noopt",662
138,500,1,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | IDIV_REG_REG_INT(r2,r3,c2)","r1=R6;c1=int:1;r2=R13;r3=R2;c2=int:4","benchmark_base64_roundtrip_noopt",783
139,500,1,1,4,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | ISUB_REG_REG_INT(r2,r3,c1)","r1=R6;c1=int:1;r2=R11;r3=R2","benchmark_base64_roundtrip_noopt",743
