workload,vm,entry,rank,opcode,count,total_ns,average_ns
Towers,rxvm,towers-opt,4,IEQ_REG_REG_INT,627780,0,0
Towers,rxvm,towers-opt,5,UNLINK_REG,464090,0,0
Towers,rxbvm,towers-opt,1,COPY_REG_REG,1556321,0,0
Towers,rxbvm,towers-opt,2,LINKATTR1_REG_REG_INT,901300,0,0
Towers,rxbvm,towers-opt,3,BRF_ID_REG,791892,0,0
Towers,rxbvm,towers-opt,4,IEQ_REG_REG_INT,627780,0,0
Towers,rxbvm,towers-opt,5,UNLINK_REG,464090,0,0
Bounce,rxvm,bounce-opt,1,LINKATTR1_REG_REG_INT,4222600,0,0
Bounce,rxvm,bounce-opt,2,UNLINK_REG,3065000,0,0
Bounce,rxvm,bounce-opt,3,BRF_ID_REG,2142702,0,0
Bounce,rxvm,bounce-opt,4,ISETATTR1_REG_INT_REG,1365300,0,0
Bounce,rxvm,bounce-opt,5,ICOPY_REG_REG,1182600,0,0
Bounce,rxbvm,bounce-opt,1,LINKATTR1_REG_REG_INT,4222600,0,0
Bounce,rxbvm,bounce-opt,2,UNLINK_REG,3065000,0,0
Bounce,rxbvm,bounce-opt,3,BRF_ID_REG,2142702,0,0
Bounce,rxbvm,bounce-opt,4,ISETATTR1_REG_INT_REG,1365300,0,0
Bounce,rxbvm,bounce-opt,5,ICOPY_REG_REG,1182600,0,0
Storage,rxvm,storage-opt,1,COPY_REG_REG,620161,0,0
Storage,rxvm,storage-opt,2,IADD_REG_REG_INT,510890,0,0
Storage,rxvm,storage-opt,3,UNLINK_REG,469930,0,0
Storage,rxvm,storage-opt,4,BR_ID,415371,0,0
Storage,rxvm,storage-opt,5,BCF_ID_REG,374360,0,0
Storage,rxbvm,storage-opt,1,COPY_REG_REG,620161,0,0
Storage,rxbvm,storage-opt,2,IADD_REG_REG_INT,510890,0,0
Storage,rxbvm,storage-opt,3,UNLINK_REG,469930,0,0
Storage,rxbvm,storage-opt,4,BR_ID,415371,0,0
Storage,rxbvm,storage-opt,5,BCF_ID_REG,374360,0,0
List,rxvm,list-opt,1,SETTP_REG_INT,5803500,0,0
List,rxvm,list-opt,2,NUMSCI_INT_INT_INT,4395901,0,0
List,rxvm,list-opt,3,ASSERTINITIALIZED_REG,4392800,0,0
List,rxvm,list-opt,4,BRF_ID_REG,4248602,0,0
List,rxvm,list-opt,5,RET_REG,4112100,0,0
List,rxbvm,list-opt,1,SETTP_REG_INT,5803500,0,0
List,rxbvm,list-opt,2,NUMSCI_INT_INT_INT,4395901,0,0
List,rxbvm,list-opt,3,ASSERTINITIALIZED_REG,4392800,0,0
List,rxbvm,list-opt,4,BRF_ID_REG,4248602,0,0
List,rxbvm,list-opt,5,RET_REG,4112100,0,0
Richards,rxvm,richards-opt,1,BRF_ID_REG,1183583,0,0
Richards,rxvm,richards-opt,2,LINKATTR1_REG_REG_INT,924267,0,0
Richards,rxvm,richards-opt,3,LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT,769796,0,0
Richards,rxvm,richards-opt,4,ICOPY_REG_REG,684056,0,0
Richards,rxvm,richards-opt,5,COPY_REG_REG,680964,0,0
Richards,rxbvm,richards-opt,1,BRF_ID_REG,1183583,0,0
Richards,rxbvm,richards-opt,2,LINKATTR1_REG_REG_INT,924267,0,0
Richards,rxbvm,richards-opt,3,LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT,769796,0,0
Richards,rxbvm,richards-opt,4,ICOPY_REG_REG,684056,0,0
Richards,rxbvm,richards-opt,5,COPY_REG_REG,680964,0,0
JSON,rxvm,json-opt,1,BRF_ID_REG,29115002,0,0
JSON,rxvm,json-opt,2,IEQ_REG_REG_INT,20485000,0,0
JSON,rxvm,json-opt,3,BGETU8_REG_REG_REG,9020000,0,0
JSON,rxvm,json-opt,4,ILT_REG_REG_REG,8335000,0,0
JSON,rxvm,json-opt,5,IADD_REG_REG_INT,6205000,0,0
JSON,rxbvm,json-opt,1,BRF_ID_REG,29115002,0,0
JSON,rxbvm,json-opt,2,IEQ_REG_REG_INT,20485000,0,0
JSON,rxbvm,json-opt,3,BGETU8_REG_REG_REG,9020000,0,0
JSON,rxbvm,json-opt,4,ILT_REG_REG_REG,8335000,0,0
JSON,rxbvm,json-opt,5,IADD_REG_REG_INT,6205000,0,0
Base64,rxvm,base64-opt,1,BRF_ID_REG,6676007,0,0
Base64,rxvm,base64-opt,2,LOAD_REG_INT,3427515,0,0
Base64,rxvm,base64-opt,3,SCOPY_REG_REG,3078503,0,0
Base64,rxvm,base64-opt,4,IADD_REG_REG_INT,2736524,0,0
Base64,rxvm,base64-opt,5,BR_ID,2734005,0,0
Base64,rxbvm,base64-opt,1,BRF_ID_REG,6676007,0,0
Base64,rxbvm,base64-opt,2,LOAD_REG_INT,3427515,0,0
Base64,rxbvm,base64-opt,3,SCOPY_REG_REG,3078503,0,0
Base64,rxbvm,base64-opt,4,IADD_REG_REG_INT,2736524,0,0
Base64,rxbvm,base64-opt,5,BR_ID,2734005,0,0
RexxCPS,rxvm,rexxcps-opt,1,BRF_ID_REG,3134887,0,0
RexxCPS,rxvm,rexxcps-opt,2,SCOPY_REG_REG,2545382,0,0
RexxCPS,rxvm,rexxcps-opt,3,LOAD_REG_STRING,2147747,0,0
RexxCPS,rxvm,rexxcps-opt,4,LOAD_REG_INT,2020257,0,0
RexxCPS,rxvm,rexxcps-opt,5,BR_ID,829148,0,0
RexxCPS,rxbvm,rexxcps-opt,1,BRF_ID_REG,3071791,0,0
RexxCPS,rxbvm,rexxcps-opt,2,SCOPY_REG_REG,2493685,0,0
RexxCPS,rxbvm,rexxcps-opt,3,LOAD_REG_STRING,2104248,0,0
RexxCPS,rxbvm,rexxcps-opt,4,LOAD_REG_INT,1979459,0,0
RexxCPS,rxbvm,rexxcps-opt,5,BR_ID,812450,0,0
