compiler,cell,rank,overhead_percent,command,shared_object,symbol
gcc,rexxcps-rxbvm,7,2.48,rxbvm,libc.so.6,str_to_mpn.isra.0
gcc,rexxcps-rxbvm,8,2.38,rxbvm,rxbvm,decToString
gcc,rexxcps-rxbvm,9,2.19,rxbvm,rxbvm,decNumberFromString
gcc,rexxcps-rxbvm,10,1.94,rxbvm,libc.so.6,__memcmp_evex_movbe
gcc,rexxcps-rxvm,1,37.50,rxvm,rxvm,run
gcc,rexxcps-rxvm,2,9.57,rxvm,libc.so.6,__GI_____strtod_l_internal
gcc,rexxcps-rxvm,3,6.18,rxvm,libc.so.6,__memmove_evex_unaligned_erms
gcc,rexxcps-rxvm,4,3.48,rxvm,rxvm,decNumberFromString
gcc,rexxcps-rxvm,5,2.50,rxvm,libc.so.6,round_and_return
gcc,rexxcps-rxvm,6,2.46,rxvm,libc.so.6,__strlen_evex
gcc,rexxcps-rxvm,7,1.98,rxvm,libc.so.6,__printf_buffer
gcc,rexxcps-rxvm,8,1.92,rxvm,rxvm,decimalFromString
gcc,rexxcps-rxvm,9,1.84,rxvm,libc.so.6,str_to_mpn.isra.0
gcc,rexxcps-rxvm,10,1.81,rxvm,libc.so.6,__mpn_lshift
gcc,richards-rxbvm,1,56.63,rxbvm,rxbvm,copy_value
gcc,richards-rxbvm,2,42.69,rxbvm,rxbvm,run
gcc,richards-rxbvm,3,0.20,rxbvm,libc.so.6,malloc
gcc,richards-rxbvm,4,0.14,rxbvm,libc.so.6,cfree@GLIBC_2.2.5
gcc,richards-rxbvm,5,0.12,rxbvm,rxbvm,syncNumericContext
gcc,richards-rxvm,1,55.39,rxvm,rxvm,copy_value
gcc,richards-rxvm,2,44.03,rxvm,rxvm,run
gcc,richards-rxvm,3,0.14,rxvm,libc.so.6,malloc
gcc,towers-rxbvm,1,43.34,rxbvm,rxbvm,copy_value
gcc,towers-rxbvm,2,23.06,rxbvm,rxbvm,run
gcc,towers-rxbvm,3,11.54,rxbvm,rxbvm,clear_value_contents
gcc,towers-rxbvm,4,4.99,rxbvm,rxbvm,reset_value_storage_for_reuse
gcc,towers-rxbvm,5,3.17,rxbvm,libc.so.6,malloc
gcc,towers-rxbvm,6,3.02,rxbvm,libc.so.6,_int_malloc
gcc,towers-rxbvm,7,2.91,rxbvm,libc.so.6,cfree@GLIBC_2.2.5
gcc,towers-rxbvm,8,2.86,rxbvm,libc.so.6,_int_free_merge_chunk
gcc,towers-rxbvm,9,1.91,rxbvm,rxbvm,release_value_reference_lifetime
gcc,towers-rxbvm,10,0.83,rxbvm,libc.so.6,unlink_chunk.isra.0
gcc,towers-rxvm,1,42.96,rxvm,rxvm,copy_value
gcc,towers-rxvm,2,23.33,rxvm,rxvm,run
gcc,towers-rxvm,3,10.24,rxvm,rxvm,clear_value_contents
gcc,towers-rxvm,4,5.84,rxvm,rxvm,reset_value_storage_for_reuse
gcc,towers-rxvm,5,3.93,rxvm,libc.so.6,_int_malloc
gcc,towers-rxvm,6,3.70,rxvm,libc.so.6,_int_free_merge_chunk
gcc,towers-rxvm,7,3.04,rxvm,libc.so.6,cfree@GLIBC_2.2.5
gcc,towers-rxvm,8,2.37,rxvm,libc.so.6,malloc
gcc,towers-rxvm,9,1.43,rxvm,rxvm,release_value_reference_lifetime
gcc,towers-rxvm,10,0.71,rxvm,libc.so.6,_int_free_chunk
clang,base64-rxbvm,1,92.15,rxbvm,rxbvm,run
clang,base64-rxbvm,2,2.19,rxbvm,libc.so.6,__memmove_evex_unaligned_erms
clang,base64-rxbvm,3,1.63,rxbvm,libc.so.6,__GI_____strtod_l_internal
clang,base64-rxbvm,4,0.83,rxbvm,libc.so.6,__strlen_evex
clang,base64-rxbvm,5,0.71,rxbvm,rxbvm,rxvm_loose_compare_text
clang,base64-rxbvm,6,0.68,rxbvm,libc.so.6,__memchr_evex
clang,base64-rxbvm,7,0.43,rxbvm,libc.so.6,__memcmp_evex_movbe
clang,base64-rxbvm,8,0.29,rxbvm,rxbvm,rxvm_rebuild_interface_method_registry
clang,base64-rxbvm,9,0.27,rxbvm,rxbvm,memcpy@plt
clang,base64-rxvm,1,92.97,rxvm,rxvm,run
clang,base64-rxvm,2,1.81,rxvm,libc.so.6,__memmove_evex_unaligned_erms
clang,base64-rxvm,3,1.04,rxvm,libc.so.6,__memchr_evex
clang,base64-rxvm,4,0.83,rxvm,libc.so.6,__memcmp_evex_movbe
clang,base64-rxvm,5,0.73,rxvm,libc.so.6,__GI_____strtod_l_internal
clang,base64-rxvm,6,0.62,rxvm,libc.so.6,__strlen_evex
clang,base64-rxvm,7,0.43,rxvm,rxvm,memcpy@plt
clang,base64-rxvm,8,0.41,rxvm,rxvm,rxvm_loose_compare_text
clang,base64-rxvm,9,0.23,rxvm,rxvm,rxvm_rebuild_interface_method_registry
clang,base64-rxvm,10,0.17,rxvm,rxvm,__errno_location@plt
clang,rexxcps-rxbvm,1,35.00,rxbvm,rxbvm,run
clang,rexxcps-rxbvm,2,9.19,rxbvm,libc.so.6,__GI_____strtod_l_internal
clang,rexxcps-rxbvm,3,5.09,rxbvm,libc.so.6,__strlen_evex
clang,rexxcps-rxbvm,4,3.88,rxbvm,libc.so.6,__memmove_evex_unaligned_erms
clang,rexxcps-rxbvm,5,3.00,rxbvm,rxbvm,decToString
clang,rexxcps-rxbvm,6,2.98,rxbvm,libc.so.6,__printf_buffer
clang,rexxcps-rxbvm,7,2.80,rxbvm,rxbvm,decNumberFromString
clang,rexxcps-rxbvm,8,2.49,rxbvm,libc.so.6,str_to_mpn.isra.0
clang,rexxcps-rxbvm,9,2.22,rxbvm,libc.so.6,round_and_return
clang,rexxcps-rxbvm,10,1.88,rxbvm,rxbvm,decNumberCompare
clang,rexxcps-rxvm,1,40.05,rxvm,rxvm,run
clang,rexxcps-rxvm,2,7.26,rxvm,libc.so.6,__GI_____strtod_l_internal
clang,rexxcps-rxvm,3,5.60,rxvm,libc.so.6,__memmove_evex_unaligned_erms
clang,rexxcps-rxvm,4,4.99,rxvm,libc.so.6,__printf_buffer
clang,rexxcps-rxvm,5,3.59,rxvm,libc.so.6,__strlen_evex
clang,rexxcps-rxvm,6,2.74,rxvm,rxvm,decNumberFromString
clang,rexxcps-rxvm,7,2.72,rxvm,rxvm,decToString
clang,rexxcps-rxvm,8,2.15,rxvm,rxvm,decimalToString
clang,rexxcps-rxvm,9,1.85,rxvm,libc.so.6,str_to_mpn.isra.0
clang,rexxcps-rxvm,10,1.80,rxvm,libc.so.6,_itoa_word
clang,richards-rxbvm,1,76.72,rxbvm,rxbvm,copy_value
clang,richards-rxbvm,2,16.50,rxbvm,rxbvm,maybe_trim_attribute_storage
clang,richards-rxbvm,3,5.61,rxbvm,rxbvm,run
clang,richards-rxbvm,4,0.76,rxbvm,rxbvm,clear_value_contents
clang,richards-rxbvm,5,0.15,rxbvm,libc.so.6,malloc
clang,richards-rxvm,1,77.15,rxvm,rxvm,copy_value
clang,richards-rxvm,2,16.54,rxvm,rxvm,maybe_trim_attribute_storage
clang,richards-rxvm,3,5.44,rxvm,rxvm,run
clang,richards-rxvm,4,0.40,rxvm,rxvm,clear_value_contents
clang,richards-rxvm,5,0.17,rxvm,libc.so.6,malloc
clang,towers-rxbvm,1,47.81,rxbvm,rxbvm,copy_value
clang,towers-rxbvm,2,16.99,rxbvm,rxbvm,clear_value_contents
clang,towers-rxbvm,3,8.98,rxbvm,rxbvm,reset_value_storage_for_reuse
clang,towers-rxbvm,4,7.83,rxbvm,rxbvm,run
clang,towers-rxbvm,5,5.42,rxbvm,rxbvm,maybe_trim_attribute_storage
clang,towers-rxbvm,6,2.84,rxbvm,libc.so.6,_int_malloc
clang,towers-rxbvm,7,2.39,rxbvm,libc.so.6,malloc
clang,towers-rxbvm,8,2.19,rxbvm,libc.so.6,_int_free_merge_chunk
clang,towers-rxbvm,9,1.99,rxbvm,rxbvm,release_value_reference_lifetime
clang,towers-rxbvm,10,0.93,rxbvm,libc.so.6,cfree@GLIBC_2.2.5
clang,towers-rxvm,1,46.50,rxvm,rxvm,copy_value
clang,towers-rxvm,2,17.85,rxvm,rxvm,clear_value_contents
clang,towers-rxvm,3,8.89,rxvm,rxvm,reset_value_storage_for_reuse
clang,towers-rxvm,4,6.51,rxvm,rxvm,run
clang,towers-rxvm,5,5.61,rxvm,rxvm,maybe_trim_attribute_storage
clang,towers-rxvm,6,3.25,rxvm,libc.so.6,malloc
clang,towers-rxvm,7,3.16,rxvm,libc.so.6,_int_malloc
clang,towers-rxvm,8,2.02,rxvm,libc.so.6,_int_free_merge_chunk
clang,towers-rxvm,9,1.78,rxvm,rxvm,release_value_reference_lifetime
clang,towers-rxvm,10,1.40,rxvm,libc.so.6,cfree@GLIBC_2.2.5
