compiler,cell,symbol,rank,overhead_percent,samples,symbol_offset,address,instruction
clang,richards-rxvm,copy_value,7,1.83,94,[.] copy_value+0x887,bb0b7,"mov    rdi,QWORD PTR [rax+r15*8]"
clang,richards-rxvm,copy_value,8,1.82,95,[.] copy_value+0x0,ba830,"push   rbp"
clang,richards-rxvm,copy_value,9,1.77,92,[.] copy_value+0x896,bb0c6,"call   ba830 <copy_value>"
clang,richards-rxvm,copy_value,10,1.68,88,[.] copy_value+0x53,ba883,"mov    rax,QWORD PTR [rbx+0x98]"
clang,richards-rxvm,maybe_trim_attribute_storage,1,4.39,225,[.] maybe_trim_attribute_storage+0x7,bcaf7,"push   r12"
clang,richards-rxvm,maybe_trim_attribute_storage,2,2.08,112,[.] maybe_trim_attribute_storage+0x0,bcaf0,"push   rbp"
clang,richards-rxvm,maybe_trim_attribute_storage,3,1.77,94,[.] maybe_trim_attribute_storage+0x84c,bd33c,"pop    r12"
clang,richards-rxvm,maybe_trim_attribute_storage,4,1.22,63,[.] maybe_trim_attribute_storage+0xe,bcafe,"test   rdi,rdi"
clang,richards-rxvm,maybe_trim_attribute_storage,5,1.03,55,[.] maybe_trim_attribute_storage+0x852,bd342,"pop    r15"
clang,richards-rxvm,maybe_trim_attribute_storage,6,1.02,53,[.] maybe_trim_attribute_storage+0x854,bd344,"pop    rbp"
clang,richards-rxvm,maybe_trim_attribute_storage,7,0.89,48,[.] maybe_trim_attribute_storage+0x1e,bcb0e,"cmp    r13,0x40"
clang,richards-rxvm,maybe_trim_attribute_storage,8,0.80,42,[.] maybe_trim_attribute_storage+0x3,bcaf3,"push   r14"
clang,richards-rxvm,maybe_trim_attribute_storage,9,0.77,40,[.] maybe_trim_attribute_storage+0x5,bcaf5,"push   r13"
clang,richards-rxvm,maybe_trim_attribute_storage,10,0.52,27,[.] maybe_trim_attribute_storage+0x84b,bd33b,"pop    rbx"
gcc,towers-rxvm,copy_value,1,3.94,99,[.] copy_value+0x24,14a64,"test   rdi,rdi"
gcc,towers-rxvm,copy_value,2,2.20,55,[.] copy_value+0x5ed,1502d,"mov    rsi,QWORD PTR [rax+r12*8]"
gcc,towers-rxvm,copy_value,3,1.93,47,[.] copy_value+0xa2f,1546f,"test   rax,rax"
gcc,towers-rxvm,copy_value,4,1.53,38,[.] copy_value+0x5f1,15031,"add    r12,0x1"
gcc,towers-rxvm,copy_value,5,1.04,26,[.] copy_value+0x93a,1537a,"mov    r8,QWORD PTR [rbx+0xc0]"
gcc,towers-rxvm,copy_value,6,0.94,23,[.] copy_value+0x80,14ac0,"test   rax,rax"
gcc,towers-rxvm,copy_value,7,0.82,20,[.] copy_value+0x16,14a56,"mov    rbx,rdi"
gcc,towers-rxvm,copy_value,8,0.81,19,[.] copy_value+0x229,14c69,"mov    QWORD PTR [rsp+0x8],rax"
gcc,towers-rxvm,copy_value,9,0.71,17,[.] copy_value+0x4d9,14f19,"movups XMMWORD PTR [r9-0x198],xmm1"
gcc,towers-rxvm,copy_value,10,0.70,18,[.] copy_value+0x4e1,14f21,"movups XMMWORD PTR [r9-0x188],xmm0"
gcc,towers-rxvm,clear_value_contents,1,2.16,54,[.] clear_value_contents+0x41,13e31,"test   rdi,rdi"
gcc,towers-rxvm,clear_value_contents,2,0.67,18,[.] clear_value_contents+0x34,13e24,"test   r12,r12"
gcc,towers-rxvm,clear_value_contents,3,0.59,15,[.] clear_value_contents+0x143,13f33,"pxor   xmm0,xmm0"
gcc,towers-rxvm,clear_value_contents,4,0.56,14,[.] clear_value_contents+0x117,13f07,"pxor   xmm0,xmm0"
gcc,towers-rxvm,clear_value_contents,5,0.54,13,[.] clear_value_contents+0x0,13df0,"push   r14"
gcc,towers-rxvm,clear_value_contents,6,0.41,9,[.] clear_value_contents+0x12,13e02,"test   rdi,rdi"
gcc,towers-rxvm,clear_value_contents,7,0.32,8,[.] clear_value_contents+0x129,13f19,"cmp    rdi,rbp"
gcc,towers-rxvm,clear_value_contents,8,0.32,8,[.] clear_value_contents+0xf7,13ee7,"mov    rdi,QWORD PTR [rbx+0xa8]"
gcc,towers-rxvm,clear_value_contents,9,0.27,7,[.] clear_value_contents+0x4e8,142d8,"je     141fc <clear_value_contents+0x40c>"
gcc,towers-rxvm,clear_value_contents,10,0.27,7,[.] clear_value_contents+0x66,13e56,"mov    rdi,r12"
gcc,towers-rxvm,reset_value_storage_for_reuse,1,0.39,9,[.] reset_value_storage_for_reuse+0x134,13434,"test   rdi,rdi"
gcc,towers-rxvm,reset_value_storage_for_reuse,2,0.28,7,[.] reset_value_storage_for_reuse+0x94,13394,"test   rbp,rbp"
gcc,towers-rxvm,reset_value_storage_for_reuse,3,0.26,6,[.] reset_value_storage_for_reuse+0xa4,133a4,"test   rdi,rdi"
gcc,towers-rxvm,reset_value_storage_for_reuse,4,0.21,5,[.] reset_value_storage_for_reuse+0x68,13368,"test   rcx,rcx"
gcc,towers-rxvm,reset_value_storage_for_reuse,5,0.17,4,[.] reset_value_storage_for_reuse+0x21,13321,"test   rdi,rdi"
gcc,towers-rxvm,reset_value_storage_for_reuse,6,0.14,4,[.] reset_value_storage_for_reuse+0x822,13b22,"mov    QWORD PTR [rbp+0xc8],0x0"
gcc,towers-rxvm,reset_value_storage_for_reuse,7,0.13,3,[.] reset_value_storage_for_reuse+0x124,13424,"test   rbx,rbx"
gcc,towers-rxvm,reset_value_storage_for_reuse,8,0.13,3,[.] reset_value_storage_for_reuse+0x33b,1363b,"test   r8,r8"
gcc,towers-rxvm,reset_value_storage_for_reuse,9,0.13,3,[.] reset_value_storage_for_reuse+0x52f,1382f,"mov    QWORD PTR [r12+0x10],0x0"
gcc,towers-rxvm,reset_value_storage_for_reuse,10,0.13,3,[.] reset_value_storage_for_reuse+0x538,13838,"mov    QWORD PTR [r12+0xa0],0x0"
clang,towers-rxvm,clear_value_contents,1,11.95,282,[.] clear_value_contents+0x24f,bb39f,"test   rax,rax"
clang,towers-rxvm,clear_value_contents,2,0.70,17,[.] clear_value_contents+0x0,bb150,"push   r15"
clang,towers-rxvm,clear_value_contents,3,0.65,16,[.] clear_value_contents+0x187,bb2d7,"mov    rax,QWORD PTR [rbx+0x80]"
clang,towers-rxvm,clear_value_contents,4,0.56,13,[.] clear_value_contents+0x42,bb192,"cmp    rax,r15"
clang,towers-rxvm,clear_value_contents,5,0.53,13,[.] clear_value_contents+0x280,bb3d0,"mov    DWORD PTR [rbx],0x0"
clang,towers-rxvm,clear_value_contents,6,0.46,11,[.] clear_value_contents+0x108,bb258,"mov    rdi,QWORD PTR [rbx+0xa8]"
clang,towers-rxvm,clear_value_contents,7,0.46,11,[.] clear_value_contents+0x15a,bb2aa,"lea    r14,[rbx+0x18]"
clang,towers-rxvm,clear_value_contents,8,0.33,8,[.] clear_value_contents+0x1c0,bb310,"movups XMMWORD PTR [r14],xmm0"
clang,towers-rxvm,clear_value_contents,9,0.30,7,[.] clear_value_contents+0x2b7,bb407,"mov    QWORD PTR [r15+0x10],0x0"
clang,towers-rxvm,clear_value_contents,10,0.22,5,[.] clear_value_contents+0x1e8,bb338,"je     bb394 <clear_value_contents+0x244>"
clang,towers-rxvm,reset_value_storage_for_reuse,1,1.71,40,[.] reset_value_storage_for_reuse+0x17,bc9b7,"test   rdi,rdi"
clang,towers-rxvm,reset_value_storage_for_reuse,2,0.82,20,[.] reset_value_storage_for_reuse+0x98,bca38,"test   rdi,rdi"
clang,towers-rxvm,reset_value_storage_for_reuse,3,0.60,14,[.] reset_value_storage_for_reuse+0xbe,bca5e,"mov    QWORD PTR [rax+r14*8],rcx"
clang,towers-rxvm,reset_value_storage_for_reuse,4,0.46,11,[.] reset_value_storage_for_reuse+0xc2,bca62,"jmp    bca10 <reset_value_storage_for_reuse+0x70>"
clang,towers-rxvm,reset_value_storage_for_reuse,5,0.41,10,[.] reset_value_storage_for_reuse+0x42,bc9e2,"test   rdi,rdi"
clang,towers-rxvm,reset_value_storage_for_reuse,6,0.36,9,[.] reset_value_storage_for_reuse+0x5f,bc9ff,"je     bca64 <reset_value_storage_for_reuse+0xc4>"
clang,towers-rxvm,reset_value_storage_for_reuse,7,0.35,8,[.] reset_value_storage_for_reuse+0x0,bc9a0,"test   rdi,rdi"
clang,towers-rxvm,reset_value_storage_for_reuse,8,0.33,8,[.] reset_value_storage_for_reuse+0x11a,bcaba,"mov    QWORD PTR [rbx+0xc8],0x0"
clang,towers-rxvm,reset_value_storage_for_reuse,9,0.28,7,[.] reset_value_storage_for_reuse+0x134,bcad4,"movups XMMWORD PTR [rbx+0x48],xmm0"
clang,towers-rxvm,reset_value_storage_for_reuse,10,0.25,6,[.] reset_value_storage_for_reuse+0x149,bcae9,"pop    r14"
gcc,base64-rxvm,run,1,13.56,226,[.] run+0x2a415e,2be11e,"sub    rdx,0x1"
gcc,base64-rxvm,run,2,7.02,120,[.] run+0x2a3753,2bd713,"mov    eax,edx"
gcc,base64-rxvm,run,3,6.40,111,[.] run+0x2a379a,2bd75a,"add    rcx,rax"
gcc,base64-rxvm,run,4,5.06,91,[.] run+0x2a37a1,2bd761,"mov    QWORD PTR [r8+0x58],rsi"
gcc,base64-rxvm,run,5,3.42,57,[.] run+0x2a3796,2bd756,"cmovbe rax,rdx"
gcc,base64-rxvm,run,6,3.15,54,[.] run+0x2a374b,2bd70b,"mov    rax,QWORD PTR [r8+0x30]"
gcc,base64-rxvm,run,7,3.12,52,[.] run+0x2a3777,2bd737,"mov    eax,edx"
gcc,base64-rxvm,run,8,3.00,51,[.] run+0x2a4169,2be129,"mov    rax,rsi"
gcc,base64-rxvm,run,9,2.96,50,[.] run+0x2a4165,2be125,"cmp    al,0x80"
gcc,base64-rxvm,run,10,2.85,47,[.] run+0x2a4181,2be141,"mov    QWORD PTR [r8+0x48],rcx"
clang,base64-rxvm,run,1,12.09,168,[.] run+0x5d6fc,754fc,"mov    r11d,r10d"
clang,base64-rxvm,run,2,7.46,107,[.] run+0x6a1a5,81fa5,"lea    rsi,[rsi-0x1]"
clang,base64-rxvm,run,3,5.46,76,[.] run+0x5d6cd,754cd,"mov    QWORD PTR [rax+0x58],rsi"
clang,base64-rxvm,run,4,4.39,61,[.] run+0x5d6ff,754ff,"and    r11d,0xfffffff8"
clang,base64-rxvm,run,5,3.90,52,[.] run+0x5d712,75512,"mov    r11d,r10d"
clang,base64-rxvm,run,6,3.76,54,[.] run+0x5d6ee,754ee,"sub    r8,rdi"
clang,base64-rxvm,run,7,3.74,52,[.] run+0x5d6c9,754c9,"mov    QWORD PTR [rax+0x48],r9"
clang,base64-rxvm,run,8,3.74,58,[.] run+0x5d728,75528,"and    r10d,0xffffffe0"
clang,base64-rxvm,run,9,3.71,54,[.] run+0x5d6c3,754c3,"add    r8,rdi"
clang,base64-rxvm,run,10,3.30,46,[.] run+0x5d73a,7553a,"inc    r9"
