rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,218896,6,1,8,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r1,c3,c4,r3,r4,c2)","r1=R12;c1=int:18;c2=int:1;r2=R8;c3=int:21;c4=int:6;r3=R7;r4=R13","benchmark_awfy_richards_noopt",700
22,65790,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | CALL2_REG_FUNC_REG_REG(r3,c3,r2,r4)","r1=R1;c1=int:0;r2=R25;c2=int:256;r3=R6;c3=func@56832;r4=R26","benchmark_awfy_richards_noopt",1739
23,65790,1,1,8,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c3,c4,r3,r4,c2) | BTOI_REG(r3)","c1=int:18;c2=int:1;r1=R3;r2=R8;c3=int:23;c4=int:6;r3=R2;r4=R9","benchmark_awfy_richards_noopt",1221
24,65790,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r1,c3) | SETTP_REG_INT(r2,c4)","c1=int:18;c2=int:1;r1=R1;c3=int:0;r2=R25;c4=int:256","benchmark_awfy_richards_noopt",1735
25,65790,1,1,5,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | BR_ID(c2)","r1=R6;r2=R13;c1=int:2;r3=R5;c2=label@2785","benchmark_awfy_richards_noopt",2862
26,65790,1,1,5,candidate,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | SETTP_REG_INT(r3,c2)","r1=R11;r2=R6;r3=R13;c1=int:2;c2=int:256","benchmark_awfy_richards_noopt",2848
27,63481,8,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | SETTP_REG_INT(r3,c3)","r1=R10;r2=R26;c1=int:0;c2=label@1845;r3=R25;c3=int:256","benchmark_awfy_richards_noopt",1827
28,59880,1,1,8,candidate,"UNLINKN_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r1,r4,c3) | BRF_ID_REG(c4,r1)","r1=R5;r2=R3;r3=R7;c1=int:25;c2=int:6;r4=R8;c3=int:1;c4=label@1211","benchmark_awfy_richards_noopt",1192
29,53463,2,1,5,candidate,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@1875;r1=R15;r2=R26;c2=int:3;c3=label@1891","benchmark_awfy_richards_noopt",1868
30,53463,2,1,5,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3)","r1=R15;r2=R26;c1=int:2;c2=label@1875;c3=int:3","benchmark_awfy_richards_noopt",1864
31,51167,5,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R5;r2=R9;c1=int:9;r3=R6;c2=int:1","benchmark_awfy_richards_noopt",795
32,51136,2,1,8,candidate,"BRF_ID_REG(c1,r1) | SETTP_REG_INT(r2,c2) | CALL3_REG_FUNC_REG_REG_REG(r3,c3,r2,r4,r5)","c1=label@1891;r1=R15;r2=R25;c2=int:256;r3=R14;c3=func@84848;r4=R26;r5=R1","benchmark_awfy_richards_noopt",1875
33,47877,2,1,3,candidate,"UNLINKN_REG_REG(r1,r2) | LOAD_REG_INT(r1,c1) | RET_REG(r1)","r1=R5;r2=R3;c1=int:0","benchmark_awfy_richards_noopt",1211
34,46496,2,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IEQ_REG_REG_INT(r5,r3,c4) | UNLINKN_REG_REG(r3,r1)","r1=R5;r2=R17;c1=int:20;c2=int:6;r3=R4;r4=R18;c3=int:1;r5=R7;c4=int:0","benchmark_awfy_richards_noopt",1305
35,45687,3,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c2,r1)","r1=R6;r2=R9;c1=int:17;r3=R5;r4=R10;c2=int:0;r5=R7","benchmark_awfy_richards_noopt",978
36,44175,7,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1) | UNLINKN_REG_REG(r2,r4)","r1=R7;r2=R8;r3=R1;c1=int:0;r4=R5","benchmark_awfy_richards_noopt",1778
37,43360,2,1,8,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c4)","c1=int:18;c2=int:1;r1=R6;r2=R9;c3=int:17;r3=R5;r4=R10;c4=int:0","benchmark_awfy_richards_noopt",974
38,42540,2,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | LOAD_REG_INT(r4,c2)","r1=R2;r2=R3;c1=label@1250;r3=R5;r4=R6;c2=int:0","benchmark_awfy_richards_noopt",1239
39,41859,4,1,5,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c2,r1)","r1=R6;r2=R5;c1=int:1;r3=R9;c2=int:9","benchmark_awfy_richards_noopt",799
40,41838,2,1,10,candidate,"BRF_ID_REG(c1,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c2,c3,r4,r5,c4) | IGETUNLINK_REG_REG(r6,r4)","c1=label@1827;r1=R6;r2=R3;r3=R25;c2=int:20;c3=int:6;r4=R5;r5=R26;c4=int:1;r6=R1","benchmark_awfy_richards_noopt",1750
41,41237,2,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | IEQ_REG_REG_INT(r2,r1,c1)","r1=R4;r2=R27;r3=R25;c1=int:0","benchmark_awfy_richards_noopt",2397
42,41163,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BRF_ID_REG(c4,r3) | LOAD_REG_INT(r5,c5)","r1=R3;r2=R7;c1=int:23;c2=int:6;r3=R5;r4=R8;c3=int:1;c4=label@1192;r5=R2;c5=int:0","benchmark_awfy_richards_noopt",1176
43,40814,1,1,7,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_INT(r4,r3,c3)","c1=label@2840;r1=R7;r2=R8;r3=R13;c2=int:21;r4=R4;c3=int:2","benchmark_awfy_richards_noopt",2812
44,40814,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | UNLINKN_REG_REG(r2,r3) | BR_ID(c2)","r1=R13;c1=int:2;r2=R3;r3=R8;c2=label@2868","benchmark_awfy_richards_noopt",2831
45,40814,2,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BRF_ID_REG(c4,r3) | LOAD_REG_INT(r5,c3)","r1=R3;r2=R7;c1=int:19;c2=int:6;r3=R2;r4=R8;c3=int:1;c4=label@1173;r5=R5","benchmark_awfy_richards_noopt",1157
46,40814,1,1,7,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | ISETATTR1_REG_INT_REG(r4,c3,r1)","r1=R3;r2=R8;c1=int:6;r3=R4;c2=int:1;r4=R13;c3=int:2","benchmark_awfy_richards_noopt",2823
47,40814,1,1,5,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | UNLINKN_REG_REG(r3,r4)","r1=R4;r2=R13;c1=int:2;r3=R3;r4=R8","benchmark_awfy_richards_noopt",2829
48,37200,4,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r3,r1) | UNLINK_REG(r4)","r1=R5;r2=R7;r3=R8;r4=R3","benchmark_awfy_richards_noopt",1783
49,34875,3,1,12,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKATTR1_REG_REG_INT(r5,r2,c4) | MINLINKATTR1_REG_REG_REG_INT(r6,r5,r7,c5)","r1=R3;r2=R25;c1=int:20;c2=int:6;r3=R5;r4=R26;c3=int:1;r5=R8;c4=int:17;r6=R7;r7=R1;c5=int:0","benchmark_awfy_richards_noopt",1766
50,34873,6,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | LINKATTR1_REG_REG_INT(r5,r2,c3)","r1=R6;r2=R11;c1=int:15;r3=R7;r4=R12;c2=int:0;r5=R5;c3=int:1","benchmark_awfy_richards_noopt",1696
51,33249,6,1,6,candidate,"BRF_ID_REG(c1,r1) | SETTP_REG_INT(r2,c2) | CALL1_REG_FUNC_REG(r3,c3,r2)","c1=label@1845;r1=R10;r2=R25;c2=int:256;r3=R7;c3=func@82672","benchmark_awfy_richards_noopt",1831
52,33245,1,1,6,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | ILT_REG_REG_INT(r2,r3,c3)","r1=R6;c1=int:18;c2=int:1;r2=R2;r3=R7;c3=int:0","benchmark_awfy_richards_noopt",1415
53,33245,1,1,5,candidate,"BRT_ID_REG(c1,r1) | IGT_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@1432;r1=R2;r2=R7;c2=int:5;c3=label@1444","benchmark_awfy_richards_noopt",1425
54,33245,1,1,5,candidate,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_INT(r1,r2,c3)","r1=R2;r2=R7;c1=int:0;c2=label@1432;c3=int:5","benchmark_awfy_richards_noopt",1421
55,33245,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | ILT_REG_REG_INT(r1,r2,c3) | BRT_ID_REG(c4,r1)","c1=int:18;c2=int:1;r1=R2;r2=R7;c3=int:0;c4=label@1432","benchmark_awfy_richards_noopt",1417
56,32545,2,1,6,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c2,r2)","r1=R2;r2=R4;c1=int:6;r3=R3;c2=int:1;r4=R1","benchmark_awfy_richards_noopt",1474
57,32538,2,1,6,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | IEQ_REG_REG_INT(r2,r3,c3)","r1=R18;c1=int:18;c2=int:1;r2=R2;r3=R19;c3=int:0","benchmark_awfy_richards_noopt",2053
58,32538,2,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | IEQ_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","c1=int:18;c2=int:1;r1=R2;r2=R19;c3=int:0;c4=label@2075","benchmark_awfy_richards_noopt",2055
59,30777,3,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1) | UNLINK_REG(r2)","r1=R7;r2=R6;r3=R1;c1=int:0;r4=R0","benchmark_awfy_richards_noopt",1008
60,25583,7,1,8,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r2,r5,c3)","c1=label@2220;r1=R9;r2=R3;r3=R18;c2=int:10;r4=R8;r5=R19;c3=int:0","benchmark_awfy_richards_noopt",2202
61,25579,3,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | UNLINKN_REG_REG(r3,r4)","r1=R10;r2=R12;c1=int:22;r3=R7;r4=R8","benchmark_awfy_richards_noopt",714
62,25573,2,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | LINKATTR1_REG_REG_INT(r4,r5,c2) | IGETUNLINK_REG_REG(r1,r4)","r1=R7;r2=R6;r3=R12;c1=int:0;r4=R5;r5=R11;c2=int:1","benchmark_awfy_richards_noopt",1700
63,24758,2,1,5,candidate,"IGT_REG_REG_REG(r1,r2,r3) | UNLINKN_REG_REG(r3,r4) | UNLINKN_REG_REG(r2,r5)","r1=R11;r2=R10;r3=R6;r4=R4;r5=R8","benchmark_awfy_richards_noopt",1364
64,24758,2,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINKN_REG_REG(r3,r4) | BRF_ID_REG(c1,r5)","r1=R6;r2=R4;r3=R10;r4=R8;c1=label@1379;r5=R11","benchmark_awfy_richards_noopt",1368
65,23252,1,1,6,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | INE_REG_REG_INT(r2,r3,c3)","r1=R29;c1=int:18;c2=int:1;r2=R6;r3=R31;c3=int:0","benchmark_awfy_richards_noopt",2291
66,23252,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | INE_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","c1=int:18;c2=int:1;r1=R6;r2=R31;c3=int:0;c4=label@2389","benchmark_awfy_richards_noopt",2293
67,23250,1,1,8,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c1,c2,r2,r5,c3)","r1=R1;r2=R5;r3=R3;r4=R25;c1=int:20;c2=int:6;r5=R26;c3=int:1","benchmark_awfy_richards_noopt",1761
68,23250,2,1,9,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c2,c3,r2,r5,c4) | ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3)","r1=R2;r2=R5;c1=int:0;r3=R3;r4=R7;c2=int:19;c3=int:6;r5=R8;c4=int:1","benchmark_awfy_richards_noopt",1086
69,23250,2,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c5,c2,r3,r4,c3)","r1=R3;r2=R7;c1=int:25;c2=int:6;r3=R5;r4=R8;c3=int:1;r5=R2;c4=int:0;c5=int:19","benchmark_awfy_richards_noopt",1078
70,23250,2,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | RET()","r1=R3;r2=R7;c1=int:19;c2=int:6;r3=R5;r4=R8;c3=int:1;r5=R2;c4=int:0","benchmark_awfy_richards_noopt",1091
71,23250,1,1,9,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r1,r6,c3)","r1=R8;r2=R5;r3=R3;r4=R9;r5=R25;c1=int:20;c2=int:6;r6=R26;c3=int:1","benchmark_awfy_richards_noopt",1786
72,23250,1,1,9,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKATTR1_REG_REG_INT(r5,r2,c4)","r1=R3;r2=R25;c1=int:20;c2=int:6;r3=R5;r4=R26;c3=int:1;r5=R8;c4=int:17","benchmark_awfy_richards_noopt",1764
73,23250,1,1,10,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | IEQ_REG_REG_INT(r6,r4,c4)","r1=R3;r2=R9;r3=R25;c1=int:20;c2=int:6;r4=R8;r5=R26;c3=int:1;r6=R7;c4=int:0","benchmark_awfy_richards_noopt",1789
74,23248,1,1,6,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r1,r4,c2) | RET_REG(r1)","r1=R5;r2=R2;c1=int:1;r3=R3;r4=R7;c2=int:2","benchmark_awfy_richards_noopt",1527
75,23248,1,1,7,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3) | LINKATTR1_REG_REG_INT(r3,r2,c4)","c1=int:18;c2=int:1;r1=R3;r2=R7;c3=int:25;r3=R1;c4=int:2","benchmark_awfy_richards_noopt",1507
76,23248,1,1,7,candidate,"UNLINK_REG(r1) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r3,c1,r4) | LINKATTR1_REG_REG_INT(r2,r5,c2)","r1=R1;r2=R5;r3=R2;c1=int:1;r4=R3;r5=R7;c2=int:2","benchmark_awfy_richards_noopt",1525
77,23246,1,1,6,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r1,r3) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R7;r2=R5;r3=R6;r4=R8;r5=R11;c1=int:2","benchmark_awfy_richards_noopt",1709
78,23246,1,1,7,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r3,r4,c2) | MINLINKATTR1_REG_REG_REG_INT(r2,r3,r5,c1)","r1=R5;r2=R7;c1=int:0;r3=R6;r4=R11;c2=int:15;r5=R12","benchmark_awfy_richards_noopt",1691
79,23246,1,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r3,r5,c3)","r1=R11;c1=int:18;r2=R5;r3=R6;c2=int:17;r4=R7;r5=R12;c3=int:0","benchmark_awfy_richards_noopt",1678
80,23246,1,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | SETTP_REG_INT(r2,c3)","r1=R7;r2=R11;c1=int:15;r3=R6;r4=R12;c2=int:0;c3=int:256","benchmark_awfy_richards_noopt",1632
81,23246,1,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETTP_REG_INT(r2,c2) | CALL4_REG_FUNC_REG_REG_REG_REG(r3,c3,r2,r4,r5,r1)","r1=R8;r2=R11;c1=int:2;c2=int:256;r3=R9;c3=func@59872;r4=R1;r5=R12","benchmark_awfy_richards_noopt",1715
82,23246,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c1,r2) | LINKATTR1_REG_REG_INT(r2,r5,c2)","r1=R7;r2=R6;r3=R12;c1=int:0;r4=R5;r5=R11;c2=int:15","benchmark_awfy_richards_noopt",1686
83,23246,1,1,8,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | SETTP_REG_INT(r4,c2) | CALL2_REG_FUNC_REG_REG(r5,c3,r4,r1)","r1=R6;r2=R7;r3=R12;c1=int:0;r4=R11;c2=int:256;r5=R1;c3=func@65128","benchmark_awfy_richards_noopt",1636
84,23246,1,1,10,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c3,c4,r3,r4,c2) | IEQ_REG_REG_INT(r5,r3,c5)","c1=int:18;c2=int:1;r1=R5;r2=R17;c3=int:20;c4=int:6;r3=R4;r4=R18;r5=R7;c5=int:0","benchmark_awfy_richards_noopt",1301
85,23246,1,1,5,candidate,"UNLINKN_REG_REG(r1,r2) | ILT_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R6;r2=R7;r3=R1;c1=int:0;c2=label@1668","benchmark_awfy_richards_noopt",1649
86,23246,1,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | SETTP_REG_INT(r4,c2)","r1=R7;r2=R6;r3=R8;r4=R11;c1=int:2;c2=int:256","benchmark_awfy_richards_noopt",1712
87,23246,1,1,5,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LINKATTR1_REG_REG_INT(r1,r2,c2)","r1=R6;r2=R11;c1=int:18;r3=R5;c2=int:17","benchmark_awfy_richards_noopt",1676
88,20310,1,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | IGTE_REG_REG_INT(r2,r1,c1)","r1=R0;r2=R27;r3=R26;c1=int:4","benchmark_awfy_richards_noopt",2427
89,20310,1,1,5,candidate,"UNLINK_REG(r1) | IGTE_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R26;r2=R27;r3=R0;c1=int:4;c2=label@2474","benchmark_awfy_richards_noopt",2430
