rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
32,54600,1,1,5,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1) | CALL2_REG_FUNC_REG_REG(r3,c2,r1,r2)","r1=R1;c1=int:256;r2=R10;r3=R11;c2=func@21336","benchmark_awfy_storage_noopt",359
33,54600,1,1,9,candidate,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SETTPCALL_REG_FUNC_REG_REG_INT(r4,c2,r5,r6,c3)","r1=R4;r2=R7;r3=R5;c1=int:768;r4=R8;c2=func@24520;r5=R3;r6=R6;c3=int:0","benchmark_awfy_storage_noopt",458
34,54600,1,1,5,candidate,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r3,c1,r4)","r1=R7;r2=R4;r3=R10;c1=int:1;r4=R8","benchmark_awfy_storage_noopt",470
35,54600,1,1,4,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | RET()","r1=R7;r2=R10;c1=int:1;r3=R8","benchmark_awfy_storage_noopt",473
36,40960,1,1,6,candidate,"BRF_ID_REG(c1,r1) | SETTP_REG_INT(r2,c2) | CALL1_REG_FUNC_REG(r3,c3,r2)","c1=label@330;r1=R6;r2=R18;c2=int:256;r3=R4;c3=func@10384","benchmark_awfy_storage_noopt",295
37,40960,1,1,5,candidate,"COPY_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SETTP_REG_INT(r1,c2)","r1=R10;r2=R18;r3=R1;c1=int:256;c2=int:768","benchmark_awfy_storage_noopt",313
38,40960,1,1,5,candidate,"IADD_REG_REG_INT(r1,r1,c1) | IMOD_REG_REG_INT(r1,r1,c2) | ISETATTR1_REG_INT_REG(r2,c3,r1)","r1=R3;c1=int:13849;c2=int:65536;r2=R5;c3=int:1","benchmark_awfy_storage_noopt",178
39,40960,1,1,7,candidate,"IADD_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r4) | SETTP_REG_INT(r5,c2)","r1=R5;r2=R8;c1=int:1;r3=R10;r4=R18;r5=R1;c2=int:256","benchmark_awfy_storage_noopt",309
40,40960,1,1,6,candidate,"ICOPY_REG_REG(r1,r2) | SETTP_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r3,r4,c2)","r1=R1;r2=R11;c1=int:256;r3=R7;r4=R9;c2=int:0","objectarrayappend",16
41,40960,1,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | SETTP_REG_INT(r3,c3)","r1=R6;r2=R17;c1=int:1;c2=label@330;r3=R18;c3=int:256","benchmark_awfy_storage_noopt",291
