rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
126,9308,1,1,6,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | IEQ_REG_REG_INT(r3,r4,c2)","r1=R17;r2=R7;c1=int:1;r3=R8;r4=R19;c2=int:0","benchmark_awfy_richards_opt",3545
127,9308,1,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_INT(r3,r1,c1)","r1=R8;r2=R22;c1=int:26;r3=R7","benchmark_awfy_richards_opt",3515
128,9308,1,1,4,candidate,"UNLINK_REG(r1) | ISUB_REG_REG_INT(r2,r3,c1)","r1=R8;r2=R17;r3=R7;c1=int:1","benchmark_awfy_richards_opt",3543
129,9300,1,1,5,candidate,"IADD_REG_REG_INT(r1,r2,c1) | ISETUNLINKN_REG_REG_REG(r3,r1,r4)","r1=R43;r2=R27;c1=int:1;r3=R45;r4=R44","benchmark_awfy_richards_opt",4100
130,9300,1,1,9,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r2,r6,c3)","r1=R7;r2=R45;r3=R5;r4=R43;r5=R34;c1=int:5;c2=int:6;r6=R56;c3=int:1","benchmark_awfy_richards_opt",3754
131,9300,1,1,5,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | SETTP_REG_INT(r4,c1)","r1=R45;r2=R43;r3=R44;r4=R34;c1=int:256","benchmark_awfy_richards_opt",4104
132,9300,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IADD_REG_REG_INT(r4,r5,c2)","r1=R45;r2=R44;r3=R25;c1=int:0;r4=R43;r5=R27;c2=int:1","benchmark_awfy_richards_opt",4095
133,9297,2,1,3,candidate,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3)","r1=R6;r2=R12;r3=R16","benchmark_awfy_richards_opt",3268
134,9297,2,1,3,candidate,"UNLINK_REG(r1) | IGETUNLINK_REG_REG(r2,r3)","r1=R10;r2=R16;r3=R8","benchmark_awfy_richards_opt",3263
135,9296,1,1,6,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R45;r2=R1;r3=R42;r4=R43;r5=R51;c1=int:6","benchmark_awfy_richards_opt",4246
136,9294,1,1,6,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | SETTP_REG_INT(r4,c2)","r1=R39;r2=R42;c1=int:0;r3=R40;r4=R51;c2=int:256","benchmark_awfy_richards_opt",4217
137,8490,1,1,5,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | IEQ_REG_REG_INT(r2,r4,c1)","r1=R6;r2=R11;c1=int:0;r3=R9;r4=R56","benchmark_awfy_richards_opt",3172
138,8487,1,1,5,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R18;r2=R21;r3=R16;r4=R10;r5=R8","benchmark_awfy_richards_opt",2919
139,6975,3,1,4,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINKBR_REG_ID(r3,c1)","r1=R41;r2=R44;r3=R43;c1=label@4091","benchmark_awfy_richards_opt",3991
140,4992,1,1,4,candidate,"IXOR_REG_REG_INT(r1,r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1)","r1=R17;c1=int:53256;r2=R15;c2=int:7","benchmark_awfy_richards_opt",3341
141,4992,1,1,3,candidate,"UNLINK_REG(r1) | IXOR_REG_REG_INT(r2,r2,c1)","r1=R18;r2=R17;c1=int:53256","benchmark_awfy_richards_opt",3339
142,3480,2,1,4,candidate,"BRF_ID_REG(c1,r1) | ICOPY_REG_REG(r2,r3)","c1=label@2115;r1=R7;r2=R1;r3=R0","benchmark_awfy_richards_opt",2093
143,2697,16,1,4,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1)","r1=R10;c1=int:-1;r2=R8;c2=int:22","benchmark_awfy_richards_opt",80
144,2343,17,1,4,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2)","r1=R1;c1=int:0;r2=R6;c2=int:1","benchmark_awfy_richards_opt",61
145,2330,4,1,4,candidate,"UNLINKN_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R4;r2=R3;r3=R47;c1=int:24","benchmark_awfy_richards_opt",360
146,2327,1,1,4,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LOAD_REG_INT(r2,c1)","r1=R10;r2=R19;c1=int:0;r3=R17","benchmark_awfy_richards_opt",3483
147,2327,1,1,5,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | BCTP_ID_REG(c1,r4)","r1=R28;r2=R17;r3=R29;c1=label@3494;r4=R19","benchmark_awfy_richards_opt",3624
148,2327,1,1,4,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1)","r1=R10;c1=int:3;r2=R9;r3=R19","benchmark_awfy_richards_opt",3491
149,2325,1,1,3,candidate,"UNLINK_REG(r1) | SETTP_REG_INT(r2,c1)","r1=R42;r2=R34;c1=int:256","benchmark_awfy_richards_opt",3861
150,340,1,1,4,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r3,r1)","r1=R6;r2=R5;r3=R0;c1=int:0","benchmark_awfy_richards_opt",2103
151,340,1,1,2,candidate,"UNLINK_REG(r1) | BR_ID(c1)","r1=R5;c1=label@2089","benchmark_awfy_richards_opt",2111
152,64,48,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r4,r1,c2)","r1=R11;r2=R47;c1=int:9;r3=R10;r4=R4;c2=int:0","benchmark_awfy_richards_opt",468
153,64,48,1,4,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | UNLINK_REG(r3)","r1=R10;r2=R4;r3=R11;c1=int:0","benchmark_awfy_richards_opt",472
154,18,18,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2)","r1=R3;r2=R47;c1=int:21;c2=int:6","benchmark_awfy_richards_opt",342
155,16,16,1,4,candidate,"SETATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r1,c2)","r1=R3;c1=int:6;r2=R4;c2=int:1","benchmark_awfy_richards_opt",346
156,13,13,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ILOADSETUNLINKN_REG_REG_INT_REG(r3,r1,c2,r2)","r1=R4;r2=R3;c1=int:1;r3=R1;c2=int:0","benchmark_awfy_richards_opt",370
157,12,6,1,5,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R11;r2=R9;r3=R10;r4=R47;c1=int:15","benchmark_awfy_richards_opt",660
158,12,4,1,8,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c1,c2,r1,r5,c3)","r1=R10;r2=R14;r3=R8;r4=R12;c1=int:20;c2=int:6;r5=R13;c3=int:1","benchmark_awfy_richards_opt",1803
159,12,6,1,4,candidate,"UNLINK_REG(r1) | ISETUNLINKN_REG_REG_REG(r2,r3,r4)","r1=R15;r2=R11;r3=R9;r4=R10","benchmark_awfy_richards_opt",658
160,8,6,1,6,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r2,r4,c2)","r1=R15;r2=R10;c1=int:0;r3=R4;r4=R47;c2=int:10","benchmark_awfy_richards_opt",539
161,8,8,1,4,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r2,c2)","r1=R8;c1=int:2;r2=R9;c2=int:0","benchmark_awfy_richards_opt",90
162,5,5,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R9;r2=R15;r3=R11;r4=R47;c1=int:9","benchmark_awfy_richards_opt",628
163,4,4,1,3,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1)","r1=R2;c1=int:0;r2=R1","benchmark_awfy_richards_opt",58
164,4,4,1,3,candidate,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1)","r1=R10;r2=R4;c1=int:6","benchmark_awfy_richards_opt",167
165,3,3,1,4,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r2,r1,c2)","r1=R47;c1=int:9;r2=R10;c2=int:17","benchmark_awfy_richards_opt",641
166,3,1,1,3,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | RET()","r1=R12;c1=int:22;r2=R13","benchmark_awfy_richards_opt",1855
167,3,1,1,6,candidate,"ISETUNLINKN_REG_REG_REG(r1,r2,r3) | ISETATTR1_REG_INT_REG(r4,c1,r5)","r1=R10;r2=R18;r3=R8;r4=R12;c1=int:22;r5=R13","benchmark_awfy_richards_opt",1851
168,3,3,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r4,c2)","r1=R4;r2=R3;c1=int:1;r3=R1;r4=R47;c2=int:22","benchmark_awfy_richards_opt",349
169,3,1,1,3,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | RET_REG(r1)","r1=R7;r2=R9;c1=int:9","benchmark_awfy_richards_opt",2037
170,3,3,1,7,candidate,"LOAD_REG_INT(r1,c1) | LOADSETTPSWAP_REG_INT_REG_INT_REG(r2,c2,r3,c3,r4)","r1=R43;c1=int:0;r2=R36;c2=int:7;r3=R47;c3=int:256;r4=R37","benchmark_awfy_richards_opt",1625
171,3,1,1,8,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c3,c4,r3,r4,c2)","c1=int:18;c2=int:1;r1=R8;r2=R12;c3=int:21;c4=int:6;r3=R7;r4=R13","benchmark_awfy_richards_opt",1773
172,2,2,1,2,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2)","r1=R2;r2=R10","benchmark_awfy_richards_opt",164
173,2,2,1,5,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LOAD_REG_INT(r3,c2)","r1=R20;r2=R18;c1=int:0;r3=R15;c2=int:1","benchmark_awfy_richards_opt",904
174,2,2,1,3,candidate,"INE_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2)","r1=R42;r2=R43;c1=int:23246","benchmark_awfy_richards_opt",1719
175,2,2,1,3,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | UNLINK_REG(r1)","r1=R15;c1=int:2;r2=R16","benchmark_awfy_richards_opt",855
176,2,2,1,2,candidate,"ITOS_REG(r1) | APPEND_REG_REG(r2,r1)","r1=R2;r2=R12","benchmark_awfy_richards_opt",234
177,2,2,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1)","r1=R10;r2=R4;c1=int:18;r3=R2","benchmark_awfy_richards_opt",160
178,2,2,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | INE_REG_REG_INT(r3,r1,c2)","r1=R43;r2=R47;c1=int:18;r3=R42;c2=int:23246","benchmark_awfy_richards_opt",1715
179,2,2,1,7,candidate,"LOADSETTPSWAP_REG_INT_REG_INT_REG(r1,c1,r2,c2,r3) | CALL_REG_FUNC_REG(r4,c3,r1)","r1=R36;c1=int:7;r2=R47;c2=int:256;r3=R37;r4=R44;c3=func@54488","benchmark_awfy_richards_opt",1664
180,2,2,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2)","r1=R12;c1=string@16416;r2=R2","benchmark_awfy_richards_opt",230
181,2,2,1,4,candidate,"SETATTRS_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r1,c2,r2)","r1=R15;c1=int:6;c2=int:2;r2=R16","benchmark_awfy_richards_opt",852
182,2,2,1,4,candidate,"SETTP_REG_INT(r1,c1) | CALL1_REG_FUNC_REG(r2,c2,r1)","r1=R4;c1=int:256;r2=R5;c2=func@12088","benchmark_awfy_richards_opt",153
