entry,count_rank,total_time_rank,average_latency_rank,name,count,total_ns,average_ns,min_ns,max_ns,percent,status
rexxcps-opaque-heavy-retained,81,95,87,BGE_ID_REG_REG,4202,64896,15,0,458,0.015303,complete
rexxcps-opaque-heavy-retained,82,86,49,CONCAT_REG_STRING_REG,4200,110329,26,0,333,0.026017,complete
rexxcps-opaque-heavy-retained,82,94,71,FGT_REG_REG_REG,4200,71365,16,0,250,0.016829,complete
rexxcps-opaque-heavy-retained,84,100,71,BCF_ID_REG,3002,50038,16,0,2292,0.011799,complete
rexxcps-opaque-heavy-retained,85,93,48,BEQ_ID_REG_INT,2823,77620,27,0,292,0.018304,complete
rexxcps-opaque-heavy-retained,86,56,14,DCALL_REG_REG_REG,2821,727600,257,167,3541,0.171576,complete
rexxcps-opaque-heavy-retained,87,84,36,SRCMETHODSEL_REG_REG_STRING,2814,126422,44,0,709,0.029812,complete
rexxcps-opaque-heavy-retained,88,54,13,ASSERTTYPE_REG_STRING,2807,835591,297,208,21750,0.197041,complete
rexxcps-opaque-heavy-retained,89,96,53,BPOFF,2805,63010,22,0,416,0.014858,complete
rexxcps-opaque-heavy-retained,90,58,18,FTOD_REG,2802,648534,231,166,4250,0.152931,complete
rexxcps-opaque-heavy-retained,90,87,41,RET_STRING,2802,107525,38,0,375,0.025355,complete
rexxcps-opaque-heavy-retained,90,99,63,FADD_REG_REG_REG,2802,51867,18,0,500,0.012231,complete
rexxcps-opaque-heavy-retained,93,97,61,FNDBLNK_REG_REG_REG,2801,53336,19,0,1291,0.012577,complete
rexxcps-opaque-heavy-retained,94,74,26,DADD_REG_REG_DECIMAL,2800,288267,102,41,1542,0.067976,complete
rexxcps-opaque-heavy-retained,94,83,34,DGT_REG_REG_REG,2800,128870,46,0,2625,0.030389,complete
rexxcps-opaque-heavy-retained,94,89,43,FEQ_REG_REG_FLOAT,2800,94269,33,0,3125,0.022230,complete
rexxcps-opaque-heavy-retained,94,98,63,FLT_REG_REG_FLOAT,2800,52511,18,0,209,0.012383,complete
rexxcps-opaque-heavy-retained,98,70,25,DMULT_REG_REG_DECIMAL,2700,319114,118,83,2084,0.075250,complete
rexxcps-opaque-heavy-retained,99,101,47,SEQ_REG_REG_STRING,1520,46924,30,0,1125,0.011065,complete
rexxcps-opaque-heavy-retained,100,102,55,APPEND_REG_REG,1405,29947,21,0,500,0.007062,complete
rexxcps-opaque-heavy-retained,101,109,45,BNE_ID_REG_REG,37,1166,31,0,250,0.000275,complete
rexxcps-opaque-heavy-retained,102,108,39,STRPOS_REG_REG_REG,32,1293,40,0,500,0.000305,complete
rexxcps-opaque-heavy-retained,102,117,63,BTOI_REG,32,583,18,0,125,0.000137,complete
rexxcps-opaque-heavy-retained,104,107,20,STRLOWER_REG_REG,16,2793,174,41,1875,0.000659,complete
rexxcps-opaque-heavy-retained,105,119,33,APPENDCHAR_REG_REG,9,458,50,0,292,0.000108,complete
rexxcps-opaque-heavy-retained,106,3,1,SRCFPROCSEL_REG_STRING_REG,7,29988874,4284124,3988375,4975792,7.071684,complete
rexxcps-opaque-heavy-retained,106,105,6,ISTYPE_REG_REG_STRING,7,7418,1059,750,1375,0.001749,complete
rexxcps-opaque-heavy-retained,106,112,24,ITOF_REG,7,874,124,41,333,0.000206,complete
rexxcps-opaque-heavy-retained,109,113,22,POSCHAR_REG_REG_REG,6,834,139,41,417,0.000197,complete
