rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,164040,2,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IGETUNLINK_REG_REG(r4,r3) | BR_ID(c2)","r1=R9;r2=R16;r3=R7;c1=int:1;r4=R6;c2=label@880","benchmark_awfy_towers_opt",868
12,81910,3,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | COPY_REG_REG(r4,r3) | ASSERTTYPE_REG_STRING(r4,c2)","r1=R34;r2=R31;r3=R27;c1=int:3;r4=R25;c2=string@9","benchmark_awfy_towers_opt",239
13,81910,3,1,7,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IGETUNLINK_REG_REG(r4,r3) | BRTF_ID_ID_REG(c2,c3,r4)","r1=R33;r2=R31;r3=R27;c1=int:2;r4=R26;c2=label@239;c3=label@267","benchmark_awfy_towers_opt",225
14,81910,3,1,5,candidate,"COPY_REG_REG(r1,r2) | NULL_REG(r3) | COPY_REG_REG(r4,r1) | SETOBJUNINIT_REG_STRING(r3,c1)","r1=R29;r2=R22;r3=R31;r4=R32;c1=string@11","benchmark_awfy_towers_opt",205
15,81910,3,1,5,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c1,r1) | COPY_REG_REG(r4,r3)","r1=R25;r2=R26;c1=int:1;r3=R29;r4=R22","benchmark_awfy_towers_opt",302
16,81910,3,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | ASSERTTYPE_REG_STRING(r3,c2) | UNLINK_REG(r1)","r1=R27;r2=R34;c1=int:3;r3=R25;c2=string@9","benchmark_awfy_towers_opt",242
17,81910,3,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R26;r2=R29;c1=int:1;r3=R25","benchmark_awfy_towers_opt",298
18,81900,1,1,6,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R47;c1=int:18;c2=int:1;r2=R8;r3=R48;c3=label@1663","benchmark_awfy_towers_opt",1441
19,81900,2,1,6,candidate,"ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R5;c1=string@9;r2=R7;r3=R49;c2=int:0;c3=label@1554","benchmark_awfy_towers_opt",1532
20,81900,2,1,5,candidate,"COPY_REG_REG(r1,r2) | ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r2,r3,c2)","r1=R5;r2=R7;c1=string@9;r3=R49;c2=int:0","benchmark_awfy_towers_opt",1529
21,81900,2,1,6,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1) | SETTP_REG_INT(r3,c1)","r1=R16;r2=R18;r3=R15;r4=R19;r5=R12;c1=int:256","benchmark_awfy_towers_opt",1623
22,81900,2,1,5,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r3,c1)","r1=R15;r2=R19;r3=R12;r4=R16;c1=int:256","benchmark_awfy_towers_opt",1626
23,81900,2,1,8,candidate,"COPY_REG_REG(r1,r2) | SETOBJUNINIT_REG_STRING(r3,c1) | IEQ_REG_REG_INT(r4,r5,c2) | BRF_ID_REG(c3,r4)","r1=R19;r2=R15;r3=R18;c1=string@11;r4=R7;r5=R49;c2=int:0;c3=label@1482","benchmark_awfy_towers_opt",1459
24,81900,2,1,7,candidate,"COPY_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SETTP_REG_INT(r1,c1) | CALL3_REG_FUNC_REG_REG_REG(r4,c2,r3,r1,r5)","r1=R12;r2=R16;r3=R15;c1=int:256;r4=R7;c2=func@10520;r5=R50","benchmark_awfy_towers_opt",1629
25,81900,2,1,7,candidate,"NULL_REG(r1) | COPY_REG_REG(r2,r3) | SETOBJUNINIT_REG_STRING(r1,c1) | IEQ_REG_REG_INT(r4,r5,c2)","r1=R18;r2=R19;r3=R15;c1=string@11;r4=R7;r5=R49;c2=int:0","benchmark_awfy_towers_opt",1457
26,81830,3,1,6,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c1) | ISETATTR1_REG_INT_REG(r4,c2,r3)","r1=R6;r2=R16;r3=R5;c1=int:1;r4=R15;c2=int:3","benchmark_awfy_towers_opt",943
27,81830,3,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r4,c2)","r1=R6;r2=R15;c1=int:2;r3=R16;r4=R5;c2=int:1","benchmark_awfy_towers_opt",939
28,81800,1,1,6,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r1,c1) | COPY_REG_REG(r5,r3)","r1=R12;r2=R16;r3=R6;r4=R3;r5=R7;c1=int:3","benchmark_awfy_towers_opt",907
29,81800,1,1,5,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r3)","r1=R6;r2=R3;r3=R7;r4=R12;c1=int:3","benchmark_awfy_towers_opt",910
30,81800,1,1,5,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | ISETATTR1_REG_INT_REG(r3,c2,r2)","r1=R7;r2=R6;c1=int:1;r3=R12;c2=int:2","benchmark_awfy_towers_opt",917
31,81800,1,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | IEQ_REG_REG_INT(r4,r5,c2) | BRF_ID_REG(c3,r4)","r1=R12;c1=int:2;r2=R6;r3=R16;r4=R7;r5=R17;c2=int:0;c3=label@957","benchmark_awfy_towers_opt",925
32,81800,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_INT(r3,c2)","r1=R7;r2=R12;c1=int:3;r3=R6;c2=int:1","benchmark_awfy_towers_opt",913
33,81800,1,1,8,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | COPY_REG_REG(r3,r2) | IEQ_REG_REG_INT(r4,r5,c3)","r1=R6;c1=int:1;r2=R12;c2=int:2;r3=R16;r4=R7;r5=R17;c3=int:0","benchmark_awfy_towers_opt",922
34,81800,1,1,6,candidate,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | ISETATTR1_REG_INT_REG(r3,c2,r2) | COPY_REG_REG(r4,r3)","r1=R7;r2=R6;c1=int:1;r3=R12;c2=int:2;r4=R16","benchmark_awfy_towers_opt",920
35,54750,2,1,7,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | IGETUNLINK_REG_REG(r4,r2) | BRF_ID_REG(c3,r4)","c1=label@818;r1=R5;r2=R6;r3=R15;c2=int:3;r4=R1;c3=label@865","benchmark_awfy_towers_opt",794
36,54750,2,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3)","r1=R5;r2=R17;c1=int:0;c2=label@818;r3=R6;r4=R15;c3=int:3;r5=R1","benchmark_awfy_towers_opt",790
37,54730,2,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r1) | BR_ID(c2)","r1=R6;r2=R15;c1=int:2;r3=R3;c2=label@865","benchmark_awfy_towers_opt",807
38,54630,2,1,6,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r2,r4) | UNLINK_REG(r2)","c1=label@957;r1=R7;r2=R6;r3=R15;c2=int:2;r4=R16","benchmark_awfy_towers_opt",936
39,54630,2,1,6,candidate,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | ISETATTR1_REG_INT_REG(r3,c2,r2) | BR_ID(c3)","r1=R6;r2=R5;c1=int:1;r3=R15;c2=int:3;c3=label@998","benchmark_awfy_towers_opt",946
40,54600,4,1,7,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r2,r4) | UNLINKBR_REG_ID(r2,c3)","c1=label@1554;r1=R7;r2=R4;r3=R19;c2=int:2;r4=R5;c3=label@1580","benchmark_awfy_towers_opt",1541
41,54600,4,1,7,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r4,r2) | UNLINKBR_REG_ID(r2,c3)","c1=label@1482;r1=R7;r2=R6;r3=R19;c2=int:2;r4=R18;c3=label@1508","benchmark_awfy_towers_opt",1469
42,54600,4,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | COPY_REG_REG(r5,r3)","r1=R7;r2=R49;c1=int:0;c2=label@1482;r3=R6;r4=R19;c3=int:2;r5=R18","benchmark_awfy_towers_opt",1465
43,40960,1,1,6,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | NULL_REG(r4) | COPY_REG_REG(r5,r2)","c1=label@1663;r1=R8;r2=R15;r3=R47;r4=R18;r5=R19","benchmark_awfy_towers_opt",1451
44,40960,1,1,7,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4) | NULL_REG(r5)","r1=R8;r2=R48;c1=int:1;c2=label@1663;r3=R15;r4=R47;r5=R18","benchmark_awfy_towers_opt",1447
45,40960,1,1,7,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1) | COPY_REG_REG(r3,r4)","c1=int:18;c2=int:1;r1=R8;r2=R48;c3=label@1663;r3=R15;r4=R47","benchmark_awfy_towers_opt",1443
46,40960,1,1,6,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | COPY_REG_REG(r4,r2) | BR_ID(c2)","r1=R24;r2=R15;c1=int:1;r3=R23;r4=R47;c2=label@1906","benchmark_awfy_towers_opt",1652
47,40940,1,1,10,candidate,"COPY_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1) | SETTP_REG_INT(r1,c2) | CALL4_REG_FUNC_REG_REG_REG_REG(r5,c3,r1,r3,r6,r7)","r1=R47;r2=R34;r3=R43;r4=R48;c1=int:1;c2=int:256;r5=R30;c3=func@12064;r6=R25;r7=R50","benchmark_awfy_towers_opt",1889
48,40940,1,1,7,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | ISUB_REG_REG_INT(r4,r5,c1) | SETTP_REG_INT(r3,c2)","r1=R34;c1=int:1;r2=R28;r3=R47;r4=R43;r5=R48;c2=int:256","benchmark_awfy_towers_opt",1885
49,40940,1,1,10,candidate,"ISUB_REG_INT_REG(r1,c1,r2) | ISUB_REG_REG_REG(r3,r1,r4) | ISUB_REG_REG_INT(r5,r6,c2) | SETTP_REG_INT(r7,c3)","r1=R24;c1=int:3;r2=R49;r3=R25;r4=R50;r5=R28;r6=R48;c2=int:1;r7=R47;c3=int:256","benchmark_awfy_towers_opt",1663
50,40940,1,1,10,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | ISUB_REG_REG_INT(r4,r5,c1) | SETTP_REG_INT(r6,c2) | CALL4_REG_FUNC_REG_REG_REG_REG(r2,c3,r6,r4,r7,r1)","r1=R25;r2=R24;r3=R50;r4=R28;r5=R48;c1=int:1;r6=R47;c2=int:256;c3=func@12064;r7=R49","benchmark_awfy_towers_opt",1667
51,40940,1,1,7,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | COPY_REG_REG(r4,r2) | ISUB_REG_REG_INT(r5,r6,c1)","r1=R29;r2=R34;c1=int:1;r3=R28;r4=R47;r5=R43;r6=R48","benchmark_awfy_towers_opt",1883
52,27380,1,1,8,candidate,"LOAD_REG_INT(r1,c1) | IEQ_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2) | LINKATTR1_REG_REG_INT(r4,r5,c3)","r1=R1;c1=int:0;r2=R5;r3=R17;c2=label@818;r4=R6;r5=R15;c3=int:3","benchmark_awfy_towers_opt",787
53,27370,1,1,9,candidate,"COPY_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3) | LINKATTR1_REG_REG_INT(r5,r6,c3)","r1=R16;r2=R12;r3=R7;r4=R17;c1=int:0;c2=label@957;r5=R6;r6=R15;c3=int:2","benchmark_awfy_towers_opt",929
54,27360,2,1,9,candidate,"SETOBJUNINIT_REG_STRING(r1,c1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2) | LINKATTR1_REG_REG_INT(r4,r5,c4)","r1=R18;c1=string@11;r2=R7;r3=R49;c2=int:0;c3=label@1482;r4=R6;r5=R19;c4=int:2","benchmark_awfy_towers_opt",1462
55,27360,2,1,7,candidate,"UNLINK_REG(r1) | IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3)","r1=R7;r2=R49;c1=int:0;c2=label@1554;r3=R4;r4=R19;c3=int:2","benchmark_awfy_towers_opt",1535
56,27310,3,1,3,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | ENDLIFE_REG(r2) | BR_ID(c1)","r1=R27;r2=R25;c1=label@274","benchmark_awfy_towers_opt",258
57,27310,3,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1) | ENDLIFE_REG(r3)","r1=R27;r2=R32;c1=int:2;r3=R25","benchmark_awfy_towers_opt",254
58,27310,3,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r1) | COPY_REG_REG(r4,r3)","r1=R27;r2=R32;c1=int:2;r3=R31;r4=R33","benchmark_awfy_towers_opt",216
59,27300,2,1,5,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2) | COPY_REG_REG(r3,r1) | LINKATTR1_REG_REG_INT(r4,r3,c1)","r1=R18;r2=R2;r3=R20;r4=R7;c1=int:2","benchmark_awfy_towers_opt",1503
60,27300,2,1,6,candidate,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c1) | IGETUNLINK_REG_REG(r5,r4)","r1=R2;r2=R20;r3=R18;r4=R7;c1=int:2;r5=R6","benchmark_awfy_towers_opt",1506
61,27290,1,1,6,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2) | BRF_ID_REG(c1,r3) | COPY_REG_REG(r4,r5)","r1=R3;r2=R7;c1=label@932;r3=R1;r4=R9;r5=R16","benchmark_awfy_towers_opt",860
62,27290,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | UNLINK_REG(r1) | BRF_ID_REG(c2,r4)","r1=R7;r2=R15;c1=int:6;r3=R3;c2=label@932;r4=R1","benchmark_awfy_towers_opt",856
63,27290,1,1,6,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r1,r3,c2)","r1=R7;c1=label@932;r2=R1;r3=R9;r4=R16;c2=int:1","benchmark_awfy_towers_opt",863
64,27200,1,1,5,candidate,"UNLINK_REG(r1) | LOAD_REG_INT(r2,c1) | ISETATTR1_REG_INT_REG(r3,c2,r2) | RET()","r1=R13;r2=R5;c1=int:1;r3=R15;c2=int:7","benchmark_awfy_towers_opt",989
65,150,2,1,6,candidate,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2) | SETTP_REG_INT(r1,c2)","r1=R8;r2=R16;r3=R20;c1=int:0;r4=R11;c2=int:256","benchmark_awfy_towers_opt",147
66,150,2,1,7,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SETTP_REG_INT(r3,c2) | CALL3_REG_FUNC_REG_REG_REG(r4,c3,r2,r3,r1)","r1=R20;c1=int:0;r2=R11;c2=int:256;r3=R8;r4=R21;c3=func@10520","benchmark_awfy_towers_opt",150
67,140,1,1,7,candidate,"BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r2,c2) | SETOBJTYPE_REG_STRING(r2,c3) | ISETATTR1_REG_INT_REG(r2,c4,r3)","c1=label@171;r1=R13;r2=R16;c2=int:4;c3=string@9;c4=int:1;r3=R7","benchmark_awfy_towers_opt",127
68,140,1,1,7,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r4,c2) | SETOBJTYPE_REG_STRING(r4,c3)","r1=R13;r2=R7;r3=R12;c1=label@171;r4=R16;c2=int:4;c3=string@9","benchmark_awfy_towers_opt",123
69,140,1,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c2) | SETTP_REG_INT(r5,c3)","r1=R16;c1=int:2;r2=R18;r3=R8;r4=R20;c2=int:0;r5=R11;c3=int:256","benchmark_awfy_towers_opt",143
70,140,1,1,7,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2) | ISETATTR1_REG_INT_REG(r1,c3,r3) | COPY_REG_REG(r4,r1)","r1=R16;c1=int:1;r2=R7;r3=R18;c2=int:0;c3=int:2;r4=R8","benchmark_awfy_towers_opt",136
71,140,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | COPY_REG_REG(r3,r2) | LOAD_REG_INT(r4,c1)","r1=R18;c1=int:0;r2=R16;c2=int:2;r3=R8;r4=R20","benchmark_awfy_towers_opt",140
72,140,1,1,7,candidate,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | ISETATTR1_REG_INT_REG(r1,c3,r2) | LOAD_REG_INT(r3,c4)","r1=R16;c1=int:4;c2=string@9;c3=int:1;r2=R7;r3=R18;c4=int:0","benchmark_awfy_towers_opt",130
73,140,1,1,7,candidate,"SETOBJTYPE_REG_STRING(r1,c1) | ISETATTR1_REG_INT_REG(r1,c2,r2) | LOAD_REG_INT(r3,c3) | ISETATTR1_REG_INT_REG(r1,c4,r3)","r1=R16;c1=string@9;c2=int:1;r2=R7;r3=R18;c3=int:0;c4=int:2","benchmark_awfy_towers_opt",133
74,30,3,1,8,candidate,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2) | LOAD_REG_INT(r5,c3)","r1=R11;r2=R10;r3=R7;c1=int:13;r4=R12;c2=int:0;r5=R14;c3=int:-1","benchmark_awfy_towers_opt",111
75,20,2,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c2) | LOAD_REG_INT(r5,c3)","r1=R10;c1=int:1;r2=R19;r3=R22;r4=R25;c2=int:12;r5=R26;c3=int:0","benchmark_awfy_towers_opt",179
76,20,2,1,5,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c3,r1)","r1=R7;c1=int:0;r2=R6;c2=int:5;c3=int:7","benchmark_awfy_towers_opt",84
77,20,2,1,8,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | SETTP_REG_INT(r4,c4)","r1=R25;c1=int:12;r2=R26;c2=int:0;r3=R27;c3=int:2;r4=R22;c4=int:256","benchmark_awfy_towers_opt",186
78,20,2,1,9,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3) | CALL4_REG_FUNC_REG_REG_REG_REG(r4,c4,r3,r5,r1,r2)","r1=R26;c1=int:0;r2=R27;c2=int:2;r3=R22;c3=int:256;r4=R20;c4=func@12064;r5=R25","benchmark_awfy_towers_opt",189
79,10,1,1,5,candidate,"ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r2,r1)","r1=R25;c1=string@9;r2=R27;r3=R32;c2=int:2","benchmark_awfy_towers_opt",249
80,10,1,1,7,candidate,"BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r2,c2) | SETOBJTYPE_REG_STRING(r2,c3) | LOAD_REG_INT(r3,c4)","c1=label@382;r1=R3;r2=R6;c2=int:8;c3=string@8;r3=R8;c4=int:0","benchmark_awfy_towers_opt",68
81,10,1,1,5,candidate,"COPY_REG_REG(r1,r2) | ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r2,r3,c2)","r1=R25;r2=R27;c1=string@9;r3=R32;c2=int:2","benchmark_awfy_towers_opt",246
82,10,1,1,6,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | COPY_REG_REG(r4,r3) | LOAD_REG_INT(r5,c1)","r1=R5;r2=R6;r3=R10;r4=R11;r5=R7;c1=int:13","benchmark_awfy_towers_opt",105
83,10,1,1,7,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1) | LOAD_REG_INT(r5,c2)","r1=R10;r2=R5;r3=R11;r4=R7;c1=int:13;r5=R12;c2=int:0","benchmark_awfy_towers_opt",108
84,10,1,1,7,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1) | LOAD_REG_INT(r6,c1)","r1=R30;r2=R31;r3=R29;r4=R32;r5=R28;r6=R27;c1=int:1","benchmark_awfy_towers_opt",274
85,10,1,1,7,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | INE_REG_REG_INT(r5,r4,c1) | BRF_ID_REG(c2,r5)","r1=R5;r2=R10;r3=R2;r4=R9;r5=R39;c1=int:8191;c2=label@379","benchmark_awfy_towers_opt",344
86,10,1,1,7,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c1) | SETTP_REG_INT(r1,c2)","r1=R29;r2=R32;r3=R28;r4=R30;r5=R27;c1=int:1;c2=int:256","benchmark_awfy_towers_opt",277
87,10,1,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IGETUNLINK_REG_REG(r4,r3) | COPY_REG_REG(r5,r1)","r1=R10;r2=R22;r3=R39;c1=int:1;r4=R9;r5=R5","benchmark_awfy_towers_opt",334
88,10,1,1,6,candidate,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | ISETATTR1_REG_INT_REG(r1,c2,r3) | COPY_REG_REG(r4,r1)","r1=R10;r2=R11;r3=R19;c1=int:0;c2=int:1;r4=R22","benchmark_awfy_towers_opt",173
89,10,1,1,6,candidate,"COPY_REG_REG(r1,r2) | SETOBJUNINIT_REG_STRING(r3,c1) | LINKATTR1_REG_REG_INT(r4,r1,c2) | COPY_REG_REG(r3,r4)","r1=R32;r2=R29;r3=R31;c1=string@11;r4=R27;c2=int:2","benchmark_awfy_towers_opt",210
