rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,106953,2,1,5,candidate,"BTOI_REG(r1) | IEQ_REG_REG_INT(r2,r1,c1) | UNLINKN_REG_REG(r1,r3) | BRF_ID_REG(c2,r2)","r1=R2;r2=R5;c1=int:0;r3=R3;c2=label@1250","benchmark_awfy_richards_noopt",1233
12,65790,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R11;r2=R13;c1=int:2;c2=int:1;r3=R6","benchmark_awfy_richards_noopt",2840
13,65790,1,1,10,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c3,c4,r3,r4,c2) | BTOI_REG(r3) | IEQ_REG_REG_INT(r5,r3,c5)","c1=int:18;c2=int:1;r1=R3;r2=R8;c3=int:23;c4=int:6;r3=R2;r4=R9;r5=R5;c5=int:0","benchmark_awfy_richards_noopt",1221
14,65790,1,1,9,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r1,c3) | SETTP_REG_INT(r2,c4) | CALL2_REG_FUNC_REG_REG(r3,c5,r2,r4)","c1=int:18;c2=int:1;r1=R1;c3=int:0;r2=R25;c4=int:256;r3=R6;c5=func@56832;r4=R26","benchmark_awfy_richards_noopt",1735
15,65790,1,1,7,candidate,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | SETTP_REG_INT(r3,c2) | CALL2_REG_FUNC_REG_REG(r4,c3,r3,r2)","r1=R11;r2=R6;r3=R13;c1=int:2;c2=int:256;r4=R5;c3=func@77864","benchmark_awfy_richards_noopt",2848
16,53463,2,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R15;r2=R26;c1=int:2;c2=label@1875;c3=int:3;c4=label@1891","benchmark_awfy_richards_noopt",1864
17,46496,2,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IEQ_REG_REG_INT(r5,r3,c4) | UNLINKN_REG_REG(r3,r1) | BRF_ID_REG(c5,r5)","r1=R5;r2=R17;c1=int:20;c2=int:6;r3=R4;r4=R18;c3=int:1;r5=R7;c4=int:0;c5=label@1381","benchmark_awfy_richards_noopt",1305
18,44175,7,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IGETUNLINK_REG_REG(r5,r3) | UNLINKN_REG_REG(r1,r5)","r1=R8;r2=R25;c1=int:17;r3=R7;r4=R1;c2=int:0;r5=R5","benchmark_awfy_richards_noopt",1774
19,43360,2,1,8,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r2,r1,c3) | MINLINKATTR1_REG_REG_REG_INT(r3,r2,r4,c4)","r1=R9;c1=int:18;c2=int:1;r2=R6;c3=int:17;r3=R5;r4=R10;c4=int:0","benchmark_awfy_richards_noopt",972
20,42540,2,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINKN_REG_REG(r2,r3) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r4,c1)","r1=R5;r2=R2;c1=int:0;r3=R3;c2=label@1250;r4=R6","benchmark_awfy_richards_noopt",1235
21,42540,2,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | LOAD_REG_INT(r4,c2) | RET_REG(r4)","r1=R2;r2=R3;c1=label@1250;r3=R5;r4=R6;c2=int:0","benchmark_awfy_richards_noopt",1239
22,41859,4,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R5;r2=R9;c1=int:9;r3=R6;c2=int:1","benchmark_awfy_richards_noopt",795
23,41838,2,1,10,candidate,"BRF_ID_REG(c1,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c2,c3,r4,r5,c4) | IGETUNLINK_REG_REG(r6,r4) | UNLINK_REG(r2)","c1=label@1827;r1=R6;r2=R3;r3=R25;c2=int:20;c3=int:6;r4=R5;r5=R26;c4=int:1;r6=R1","benchmark_awfy_richards_noopt",1750
24,41237,2,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | IEQ_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R4;r2=R27;r3=R25;c1=int:0;c2=label@2418","benchmark_awfy_richards_noopt",2397
25,41237,2,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3) | UNLINK_REG(r1) | IEQ_REG_REG_INT(r3,r5,c4)","r1=R25;r2=R29;c1=int:5;c2=int:6;r3=R27;r4=R30;c3=int:1;r5=R4;c4=int:0","benchmark_awfy_richards_noopt",2389
26,41163,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BRF_ID_REG(c4,r3) | LOAD_REG_INT(r5,c5) | RET_REG(r5)","r1=R3;r2=R7;c1=int:23;c2=int:6;r3=R5;r4=R8;c3=int:1;c4=label@1192;r5=R2;c5=int:0","benchmark_awfy_richards_noopt",1176
27,41163,1,1,10,candidate,"UNLINKN_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | BRF_ID_REG(c4,r4) | LOAD_REG_INT(r1,c5)","r1=R2;r2=R3;r3=R7;c1=int:23;c2=int:6;r4=R5;r5=R8;c3=int:1;c4=label@1192;c5=int:0","benchmark_awfy_richards_noopt",1173
28,40814,1,1,10,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_INT(r4,r3,c3) | SETLINKATTR1_REG_REG_INT_REG_INT(r5,r2,c4,r4,c5)","c1=label@2840;r1=R7;r2=R8;r3=R13;c2=int:21;r4=R4;c3=int:2;r5=R3;c4=int:6;c5=int:1","benchmark_awfy_richards_noopt",2812
29,40814,1,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETLINKATTR1_REG_REG_INT_REG_INT(r3,r4,c2,r1,c3) | UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R4;r2=R13;c1=int:2;r3=R3;r4=R8;c2=int:6;c3=int:1","benchmark_awfy_richards_noopt",2819
30,40814,2,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BRF_ID_REG(c4,r3) | LOAD_REG_INT(r5,c3) | RET_REG(r5)","r1=R3;r2=R7;c1=int:19;c2=int:6;r3=R2;r4=R8;c3=int:1;c4=label@1173;r5=R5","benchmark_awfy_richards_noopt",1157
31,40814,1,1,7,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | ISETATTR1_REG_INT_REG(r4,c3,r1) | UNLINKN_REG_REG(r1,r2)","r1=R3;r2=R8;c1=int:6;r3=R4;c2=int:1;r4=R13;c3=int:2","benchmark_awfy_richards_noopt",2823
32,40814,1,1,8,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c2) | LINKATTR1_REG_REG_INT(r5,r4,c3)","r1=R6;c1=label@2840;r2=R7;r3=R8;r4=R13;c2=int:21;r5=R4;c3=int:2","benchmark_awfy_richards_noopt",2810
33,40814,1,1,6,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | UNLINKN_REG_REG(r3,r4) | BR_ID(c2)","r1=R4;r2=R13;c1=int:2;r3=R3;r4=R8;c2=label@2868","benchmark_awfy_richards_noopt",2829
34,37200,4,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1) | UNLINKN_REG_REG(r2,r4) | UNLINK_REG(r5)","r1=R7;r2=R8;r3=R1;c1=int:0;r4=R5;r5=R3","benchmark_awfy_richards_noopt",1778
35,35253,1,1,9,candidate,"UNLINKN_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r1,r4,c3) | BRF_ID_REG(c4,r1) | LOAD_REG_INT(r5,c3)","r1=R5;r2=R3;r3=R7;c1=int:25;c2=int:6;r4=R8;c3=int:1;c4=label@1211;r5=R2","benchmark_awfy_richards_noopt",1192
36,34875,3,1,12,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKATTR1_REG_REG_INT(r5,r2,c4) | MINLINKATTR1_REG_REG_REG_INT(r6,r5,r7,c5) | IGETUNLINK_REG_REG(r3,r6)","r1=R3;r2=R25;c1=int:20;c2=int:6;r3=R5;r4=R26;c3=int:1;r5=R8;c4=int:17;r6=R7;r7=R1;c5=int:0","benchmark_awfy_richards_noopt",1766
37,33248,5,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | SETTP_REG_INT(r3,c3) | CALL1_REG_FUNC_REG(r4,c4,r3)","r1=R10;r2=R26;c1=int:0;c2=label@1845;r3=R25;c3=int:256;r4=R7;c4=func@82672","benchmark_awfy_richards_noopt",1827
38,33245,1,1,7,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | ILT_REG_REG_INT(r2,r3,c3) | BRT_ID_REG(c4,r2)","r1=R6;c1=int:18;c2=int:1;r2=R2;r3=R7;c3=int:0;c4=label@1432","benchmark_awfy_richards_noopt",1415
39,33245,1,1,6,candidate,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_INT(r1,r2,c3) | BRF_ID_REG(c4,r1)","r1=R2;r2=R7;c1=int:0;c2=label@1432;c3=int:5;c4=label@1444","benchmark_awfy_richards_noopt",1421
40,33245,1,1,7,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | ILT_REG_REG_INT(r1,r2,c3) | BRT_ID_REG(c4,r1) | IGT_REG_REG_INT(r1,r2,c5)","c1=int:18;c2=int:1;r1=R2;r2=R7;c3=int:0;c4=label@1432;c5=int:5","benchmark_awfy_richards_noopt",1417
41,32545,2,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETLINKATTR1_REG_REG_INT_REG_INT(r3,r4,c2,r1,c3) | UNLINK_REG(r1) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c3,r4)","r1=R3;r2=R7;c1=int:2;r3=R2;r4=R4;c2=int:6;c3=int:1;r5=R1","benchmark_awfy_richards_noopt",1470
42,32538,2,1,7,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | IEQ_REG_REG_INT(r2,r3,c3) | BRF_ID_REG(c4,r2)","r1=R18;c1=int:18;c2=int:1;r2=R2;r3=R19;c3=int:0;c4=label@2075","benchmark_awfy_richards_noopt",2053
43,30777,3,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IGETUNLINK_REG_REG(r5,r3) | UNLINK_REG(r1)","r1=R6;r2=R9;c1=int:17;r3=R7;r4=R1;c2=int:0;r5=R0","benchmark_awfy_richards_noopt",1004
44,25579,2,1,7,candidate,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1) | SETTP_REG_INT(r3,c4)","c1=label@1875;r1=R15;r2=R26;c2=int:3;c3=label@1891;r3=R25;c4=int:256","benchmark_awfy_richards_noopt",1868
45,25579,2,1,9,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | SETTP_REG_INT(r3,c3) | CALL3_REG_FUNC_REG_REG_REG(r4,c4,r3,r2,r5)","r1=R15;r2=R26;c1=int:3;c2=label@1891;r3=R25;c3=int:256;r4=R14;c4=func@84848;r5=R1","benchmark_awfy_richards_noopt",1871
46,25573,2,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | LINKATTR1_REG_REG_INT(r5,r2,c3) | IGETUNLINK_REG_REG(r3,r5)","r1=R6;r2=R11;c1=int:15;r3=R7;r4=R12;c2=int:0;r5=R5;c3=int:1","benchmark_awfy_richards_noopt",1696
47,25573,2,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | LINKATTR1_REG_REG_INT(r4,r5,c2) | IGETUNLINK_REG_REG(r1,r4) | UNLINKN_REG_REG(r1,r2)","r1=R7;r2=R6;r3=R12;c1=int:0;r4=R5;r5=R11;c2=int:1","benchmark_awfy_richards_noopt",1700
48,24758,2,1,6,candidate,"IGT_REG_REG_REG(r1,r2,r3) | UNLINKN_REG_REG(r3,r4) | UNLINKN_REG_REG(r2,r5) | BRF_ID_REG(c1,r1)","r1=R11;r2=R10;r3=R6;r4=R4;r5=R8;c1=label@1379","benchmark_awfy_richards_noopt",1364
49,23252,1,1,7,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | INE_REG_REG_INT(r2,r3,c3) | BRF_ID_REG(c4,r2)","r1=R29;c1=int:18;c2=int:1;r2=R6;r3=R31;c3=int:0;c4=label@2389","benchmark_awfy_richards_noopt",2291
50,23250,1,1,10,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r3,r1) | UNLINK_REG(r4) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r6,c1,c2,r3,r7,c3)","r1=R5;r2=R7;r3=R8;r4=R3;r5=R9;r6=R25;c1=int:20;c2=int:6;r7=R26;c3=int:1","benchmark_awfy_richards_noopt",1783
51,23250,1,1,10,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c1,c2,r2,r5,c3) | LINKATTR1_REG_REG_INT(r6,r4,c4)","r1=R1;r2=R5;r3=R3;r4=R25;c1=int:20;c2=int:6;r5=R26;c3=int:1;r6=R8;c4=int:17","benchmark_awfy_richards_noopt",1761
52,23250,2,1,9,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c2,c3,r2,r5,c4) | ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | RET()","r1=R2;r2=R5;c1=int:0;r3=R3;r4=R7;c2=int:19;c3=int:6;r5=R8;c4=int:1","benchmark_awfy_richards_noopt",1086
53,23250,1,1,8,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3) | UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3)","r1=R3;r2=R25;c1=int:20;c2=int:6;r3=R5;r4=R26;c3=int:1;r5=R1","benchmark_awfy_richards_noopt",1753
54,23250,2,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c5,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1)","r1=R3;r2=R7;c1=int:25;c2=int:6;r3=R5;r4=R8;c3=int:1;r5=R2;c4=int:0;c5=int:19","benchmark_awfy_richards_noopt",1078
55,23250,1,1,11,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r1,r6,c3) | IEQ_REG_REG_INT(r7,r1,c4)","r1=R8;r2=R5;r3=R3;r4=R9;r5=R25;c1=int:20;c2=int:6;r6=R26;c3=int:1;r7=R7;c4=int:0","benchmark_awfy_richards_noopt",1786
56,23250,1,1,12,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKATTR1_REG_REG_INT(r5,r2,c4) | MINLINKATTR1_REG_REG_REG_INT(r6,r5,r7,c5)","r1=R3;r2=R25;c1=int:20;c2=int:6;r3=R5;r4=R26;c3=int:1;r5=R8;c4=int:17;r6=R7;r7=R1;c5=int:0","benchmark_awfy_richards_noopt",1764
57,23250,1,1,10,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | IEQ_REG_REG_INT(r6,r4,c4) | UNLINKN_REG_REG(r4,r2)","r1=R3;r2=R9;r3=R25;c1=int:20;c2=int:6;r4=R8;r5=R26;c3=int:1;r6=R7;c4=int:0","benchmark_awfy_richards_noopt",1789
58,23248,1,1,7,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r2,r1,c3) | LINKATTR1_REG_REG_INT(r3,r1,c4)","r1=R7;c1=int:18;c2=int:1;r2=R3;c3=int:25;r3=R1;c4=int:2","benchmark_awfy_richards_noopt",1505
59,23248,1,1,9,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3) | LINKATTR1_REG_REG_INT(r3,r2,c4) | SETLINKATTR1_REG_REG_INT_REG_INT(r4,r1,c5,r3,c2)","c1=int:18;c2=int:1;r1=R3;r2=R7;c3=int:25;r3=R1;c4=int:2;r4=R2;c5=int:6","benchmark_awfy_richards_noopt",1507
60,23248,1,1,8,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c2,r2) | LINKATTR1_REG_REG_INT(r4,r5,c3)","r1=R2;r2=R3;c1=int:6;r3=R1;c2=int:1;r4=R5;r5=R7;c3=int:2","benchmark_awfy_richards_noopt",1519
61,23248,1,1,7,candidate,"UNLINK_REG(r1) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r3,c1,r4) | LINKATTR1_REG_REG_INT(r2,r5,c2) | RET_REG(r2)","r1=R1;r2=R5;r3=R2;c1=int:1;r4=R3;r5=R7;c2=int:2","benchmark_awfy_richards_noopt",1525
62,23246,1,1,10,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r1,c3,c4,r3,r4,c2) | IEQ_REG_REG_INT(r5,r3,c5)","r1=R17;c1=int:18;c2=int:1;r2=R5;c3=int:20;c4=int:6;r3=R4;r4=R18;r5=R7;c5=int:0","benchmark_awfy_richards_noopt",1299
63,23246,1,1,6,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c2,r1) | LINKATTR1_REG_REG_INT(r2,r3,c3)","r1=R5;r2=R6;c1=int:1;r3=R11;c2=int:18;c3=int:17","benchmark_awfy_richards_noopt",1672
64,23246,1,1,7,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r1,r3) | LINKATTR1_REG_REG_INT(r4,r5,c1) | SETTP_REG_INT(r5,c2)","r1=R7;r2=R5;r3=R6;r4=R8;r5=R11;c1=int:2;c2=int:256","benchmark_awfy_richards_noopt",1709
65,23246,1,1,8,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r3,r4,c2) | MINLINKATTR1_REG_REG_REG_INT(r2,r3,r5,c1) | LINKATTR1_REG_REG_INT(r1,r4,c3)","r1=R5;r2=R7;c1=int:0;r3=R6;r4=R11;c2=int:15;r5=R12;c3=int:1","benchmark_awfy_richards_noopt",1691
66,23246,1,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r3,r5,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r4,c3,r3)","r1=R11;c1=int:18;r2=R5;r3=R6;c2=int:17;r4=R7;r5=R12;c3=int:0","benchmark_awfy_richards_noopt",1678
67,23246,1,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | UNLINKN_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r2,c2)","r1=R5;r2=R11;c1=int:1;r3=R7;r4=R6;r5=R8;c2=int:2","benchmark_awfy_richards_noopt",1705
68,23246,1,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c2,r1) | LINKATTR1_REG_REG_INT(r1,r2,c3)","r1=R6;r2=R11;c1=int:17;r3=R7;r4=R12;c2=int:0;r5=R5;c3=int:15","benchmark_awfy_richards_noopt",1682
69,23246,1,1,9,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | SETTP_REG_INT(r2,c3) | CALL2_REG_FUNC_REG_REG(r5,c4,r2,r3)","r1=R7;r2=R11;c1=int:15;r3=R6;r4=R12;c2=int:0;c3=int:256;r5=R1;c4=func@65128","benchmark_awfy_richards_noopt",1632
70,23246,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c1,r2) | LINKATTR1_REG_REG_INT(r2,r5,c2) | MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1)","r1=R7;r2=R6;r3=R12;c1=int:0;r4=R5;r5=R11;c2=int:15","benchmark_awfy_richards_noopt",1686
71,23246,1,1,9,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c4) | SETTP_REG_INT(r2,c5)","c1=int:18;c2=int:1;r1=R7;r2=R11;c3=int:15;r3=R6;r4=R12;c4=int:0;c5=int:256","benchmark_awfy_richards_noopt",1628
72,23246,1,1,10,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c3,c4,r3,r4,c2) | IEQ_REG_REG_INT(r5,r3,c5) | UNLINKN_REG_REG(r3,r1)","c1=int:18;c2=int:1;r1=R5;r2=R17;c3=int:20;c4=int:6;r3=R4;r4=R18;r5=R7;c5=int:0","benchmark_awfy_richards_noopt",1301
