phase,round,vm,kind,variant,position,elapsed_us,items_per_second,checksum
recorded,7,rxbvm,write,encoded-write,4,36972,54094990,200019
recorded,7,rxtvm,read,packed-read,5,10207,195943960,1000000
recorded,7,rxtvm,read,encoded-read,6,25988,76958596,1000000
recorded,7,rxtvm,write,packed-write,7,22977,87043565,200019
recorded,7,rxtvm,write,encoded-write,8,41672,47993856,200019
recorded,8,rxtvm,write,encoded-write,1,42707,46830730,200019
recorded,8,rxtvm,write,packed-write,2,23062,86722747,200019
recorded,8,rxtvm,read,encoded-read,3,25845,77384407,1000000
recorded,8,rxtvm,read,packed-read,4,10156,196927924,1000000
recorded,8,rxbvm,write,encoded-write,5,36649,54571748,200019
recorded,8,rxbvm,write,packed-write,6,19290,103680663,200019
recorded,8,rxbvm,read,encoded-read,7,22139,90338316,1000000
recorded,8,rxbvm,read,packed-read,8,11294,177085177,1000000
recorded,9,rxbvm,read,packed-read,1,11535,173385348,1000000
recorded,9,rxbvm,read,encoded-read,2,22110,90456806,1000000
recorded,9,rxbvm,write,packed-write,3,19326,103487529,200019
recorded,9,rxbvm,write,encoded-write,4,38255,52280747,200019
recorded,9,rxtvm,read,packed-read,5,10270,194741966,1000000
recorded,9,rxtvm,read,encoded-read,6,25820,77459333,1000000
recorded,9,rxtvm,write,packed-write,7,23309,85803766,200019
recorded,9,rxtvm,write,encoded-write,8,42132,47469856,200019
recorded,10,rxtvm,write,encoded-write,1,40841,48970397,200019
recorded,10,rxtvm,write,packed-write,2,23192,86236633,200019
recorded,10,rxtvm,read,encoded-read,3,25905,77205172,1000000
recorded,10,rxtvm,read,packed-read,4,10224,195618153,1000000
recorded,10,rxbvm,write,encoded-write,5,38781,51571645,200019
recorded,10,rxbvm,write,packed-write,6,19370,103252452,200019
recorded,10,rxbvm,read,encoded-read,7,22946,87161160,1000000
recorded,10,rxbvm,read,packed-read,8,11012,181620050,1000000
recorded,11,rxbvm,read,packed-read,1,11414,175223409,1000000
recorded,11,rxbvm,read,encoded-read,2,23302,85829542,1000000
recorded,11,rxbvm,write,packed-write,3,18979,105379630,200019
recorded,11,rxbvm,write,encoded-write,4,39137,51102537,200019
recorded,11,rxtvm,read,packed-read,5,10277,194609321,1000000
recorded,11,rxtvm,read,encoded-read,6,26006,76905329,1000000
recorded,11,rxtvm,write,packed-write,7,22800,87719298,200019
recorded,11,rxtvm,write,encoded-write,8,41704,47957030,200019
recorded,12,rxtvm,write,encoded-write,1,42389,47182051,200019
recorded,12,rxtvm,write,packed-write,2,23081,86651358,200019
recorded,12,rxtvm,read,encoded-read,3,25851,77366446,1000000
recorded,12,rxtvm,read,packed-read,4,10288,194401244,1000000
recorded,12,rxbvm,write,encoded-write,5,37669,53094056,200019
recorded,12,rxbvm,write,packed-write,6,19248,103906899,200019
recorded,12,rxbvm,read,encoded-read,7,22532,88762648,1000000
recorded,12,rxbvm,read,packed-read,8,11141,179517099,1000000
