-- Install configuration: "MinSizeRel"
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/exits/pprint/pprint_example.rxbin
-- Up-to-date: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/anagram.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/caesar.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/classes
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/classes/README.md
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/classFactory.rxpp
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/date1.crexx
-- Up-to-date: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/exits
-- Up-to-date: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/exits/pprint
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/exits/pprint/Pprint.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/exits/pprint/pprint_example.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/exits/pprint/README.md
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/exits/README.md
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/exposeVars.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/factorial.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/fibonacci.crexx
-- Up-to-date: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/functions
-- Up-to-date: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/functions/array-formatting
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/functions/array-formatting/arraydump.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/functions/array-formatting/arrayformat.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/functions/array-formatting/array_formatting_example.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/functions/array-formatting/README.md
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/functions/README.md
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/gausssqr.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/gcd.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/hello.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/lcm.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/MonteCarlo.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/nthroot.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/objects_the_hidden_gems.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/ooBank.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/plugins
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/plugins/README.md
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/README.md
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/rxqueue_named.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/Service_registry.rxpp
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/sieveEratosthenes.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/sort.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/stems.rxpp
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/stems_the_hidden_gems.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/strings1.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/system.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/time_sample.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/examples/xref.crexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/lib/cmake/CREXX/CREXXTargets.cmake
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/lib/cmake/CREXX/CREXXConfig.cmake
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/lib/cmake/CREXX/CREXXConfigVersion.cmake
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/lib/cmake/CREXX/CrexxOperationContract.cmake
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/lib/cmake/CREXX/RXPluginFunction.cmake
-- Up-to-date: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/address_argv_fixture.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/address_spawn_transfer_fixture.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/classlib.rxbin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/classlib_native.rxbin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/crexx-contract.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/crexx.exe
-- Up-to-date: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/crexxsaa.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/crexx_native_cflags
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/crexx_native_cflags_argv
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/crexx_native_compiler
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/crexx_native_compiler_style
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/crexx_native_ldflags
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/crexx_native_ldflags_argv
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/crexx_native_libs
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/crexx_native_libs_argv
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/exittestsupport.rxbin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/libavl_tree.a
-- Up-to-date: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/libcrexxsaa.dll
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/libcrexxsaa.dll.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/libdecnumber.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/libplatform.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/library.rxbin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/librxaslib.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/librxbin.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/librxbvml.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/librxclib.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/librxpa.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/librxpashim.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/librxvml.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/librxvmmemory.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/librxvmplugin.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/librxvmref.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/maclib.rexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/macsys.rexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/mathlib.rexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/messages
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/messages/diagnostics.de_DE.msg
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/messages/diagnostics.en_GB.msg
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/messages/diagnostics.en_US.msg
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/messages/diagnostics.nl_NL.msg
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rexxscript.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rexxscript.rxbin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxas.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxas_test_flatten.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxbvm.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxbvme.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxbvm_instrumented.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxc.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxcexits.rxbin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxcpack.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxdas.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxdb.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxfnsc.rxbin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxfnsg.rxbin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxfnsl.rxbin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxlink.exe
-- Up-to-date: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxpp-sh.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxpp.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxprecomp.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxprecomp_static.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxseq.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxtvm.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxtvm_instrumented.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxvm.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxvme.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxvm_db_decimal.rxvmplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxvm_db_decimal_manual.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxvm_mc_decimal.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxvm_mc_decimal.rxvmplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rxvm_mc_decimal_manual.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_arrays.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_cipher.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_cipher_static.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_e5native.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_fileio.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_getpi.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_id.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_id_static.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_keyaccess.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_keyaccess_static.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_llist.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_llist_static.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_map.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_matrix.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_recv390.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_recv390_static.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_rxmath.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_rxmath_static.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_rxml.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_rxpa_session_failure.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_rxtcp.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_rxtcp_static.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_stack.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_stack_static.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_strings.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_system.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_system_static.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_treemap.rxplugin
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/rx_treemap_static.a
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/syslib.rexx
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/test_rxcrexxcmd_flush.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/test_rxgraph.exe
-- Installing: C:\crexx-qa\windows-gcc-2b793c81e-evidence\install\prefix/bin/test_rxseqfile.exe
