rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,165076,5,1,5,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINKN_REG_REG(r2,r3) | BRF_ID_REG(c2,r1)","r1=R5;r2=R7;c1=int:0;r3=R12;c2=label@2939","benchmark_awfy_richards_opt",2862
38,45687,3,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c2,r1)","r1=R6;r2=R9;c1=int:17;r3=R5;r4=R10;c2=int:0;r5=R7","benchmark_awfy_richards_opt",2097
39,44175,7,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1) | UNLINKN_REG_REG(r2,r4)","r1=R4;r2=R9;r3=R1;c1=int:0;r4=R8","benchmark_awfy_richards_opt",3114
40,42540,2,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3) | LOAD_REG_INT(r4,c2)","r1=R4;r2=R5;c1=label@3024;r3=R7;r4=R8;c2=int:0","benchmark_awfy_richards_opt",3010
41,41859,10,1,5,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c2,r1)","r1=R13;r2=R12;c1=int:1;r3=R11;c2=int:9","benchmark_awfy_richards_opt",463
42,41163,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BRF_ID_REG(c4,r3) | LOAD_REG_INT(r5,c5)","r1=R6;r2=R5;c1=int:23;c2=int:6;r3=R8;r4=R4;c3=int:1;c4=label@6834;r5=R2;c5=int:0","benchmark_awfy_richards_opt",6815
43,41028,3,1,6,candidate,"COPY_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3)","r1=R63;r2=R13;r3=R11;r4=R64;c1=int:0;c2=label@3436","benchmark_awfy_richards_opt",3234
44,40814,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | UNLINKN_REG_REG(r2,r3) | BR_ID(c2)","r1=R14;c1=int:2;r2=R2;r3=R9;c2=label@6767","benchmark_awfy_richards_opt",6884
45,40814,2,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BRF_ID_REG(c4,r3) | LOAD_REG_INT(r5,c3)","r1=R6;r2=R5;c1=int:19;c2=int:6;r3=R2;r4=R4;c3=int:1;c4=label@6812;r5=R8","benchmark_awfy_richards_opt",6793
46,40814,1,1,7,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | ISETATTR1_REG_INT_REG(r4,c3,r1)","r1=R2;r2=R9;c1=int:6;r3=R4;c2=int:1;r4=R14;c3=int:2","benchmark_awfy_richards_opt",6876
47,40814,1,1,5,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | UNLINKN_REG_REG(r3,r4)","r1=R4;r2=R14;c1=int:2;r3=R2;r4=R9","benchmark_awfy_richards_opt",6882
48,38010,3,1,9,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c2,c3,r2,r5,c4) | ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3)","r1=R6;r2=R11;c1=int:0;r3=R9;r4=R12;c2=int:25;c3=int:6;r5=R64;c4=int:1","benchmark_awfy_richards_opt",3156
49,38010,3,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c5,c2,r3,r4,c3)","r1=R9;r2=R12;c1=int:23;c2=int:6;r3=R11;r4=R64;c3=int:1;r5=R6;c4=int:0;c5=int:25","benchmark_awfy_richards_opt",3148
50,37200,4,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r3,r1) | UNLINK_REG(r4)","r1=R8;r2=R4;r3=R9;r4=R5","benchmark_awfy_richards_opt",3119
51,35253,1,1,6,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | BRTF_ID_ID_REG(c3,c4,r2)","c1=label@6855;r1=R8;r2=R2;c2=int:1;c3=label@6868;c4=label@6893","benchmark_awfy_richards_opt",6845
52,34875,3,1,12,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKATTR1_REG_REG_INT(r5,r2,c4) | MINLINKATTR1_REG_REG_REG_INT(r6,r5,r7,c5)","r1=R5;r2=R63;c1=int:20;c2=int:6;r3=R8;r4=R64;c3=int:1;r5=R9;c4=int:17;r6=R4;r7=R1;c5=int:0","benchmark_awfy_richards_opt",3102
53,34873,6,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | LINKATTR1_REG_REG_INT(r5,r2,c3)","r1=R7;r2=R23;c1=int:15;r3=R8;r4=R24;c2=int:0;r5=R5;c3=int:1","benchmark_awfy_richards_opt",2822
54,33249,6,1,6,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2)","c1=label@3436;r1=R11;r2=R17;r3=R63;r4=R9;c2=int:8","benchmark_awfy_richards_opt",3241
55,33246,3,1,4,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | COPY_REG_REG(r2,r1)","r1=R55;c1=int:18;c2=int:1;r2=R6","benchmark_awfy_richards_opt",336
56,33245,2,1,5,candidate,"BRT_ID_REG(c1,r1) | IGT_REG_REG_INT(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@2646;r1=R4;r2=R14;c2=int:5;c3=label@2657","benchmark_awfy_richards_opt",2639
57,33245,2,1,5,candidate,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IGT_REG_REG_INT(r1,r2,c3)","r1=R4;r2=R14;c1=int:0;c2=label@2646;c3=int:5","benchmark_awfy_richards_opt",2635
58,32545,6,1,5,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1)","r1=R17;r2=R19;r3=R14;r4=R18;r5=R63","benchmark_awfy_richards_opt",3333
59,32545,6,1,5,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r1)","r1=R14;r2=R18;r3=R63;r4=R17;r5=R22","benchmark_awfy_richards_opt",3336
60,32545,6,1,6,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3) | ILOADSETUNLINKN_REG_REG_INT_REG(r4,r1,c2,r2)","r1=R8;r2=R6;c1=int:6;r3=R10;c2=int:1;r4=R5","benchmark_awfy_richards_opt",3299
61,32538,2,1,7,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | IEQ_REG_REG_INT(r4,r5,c2)","c1=label@3721;r1=R21;r2=R25;r3=R63;r4=R22;r5=R1;c2=int:0","benchmark_awfy_richards_opt",3440
62,25583,7,1,8,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r2,r5,c3)","c1=label@3643;r1=R8;r2=R6;r3=R25;c2=int:10;r4=R7;r5=R1;c3=int:0","benchmark_awfy_richards_opt",3625
63,25579,6,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | UNLINKN_REG_REG(r3,r4)","r1=R1;r2=R6;c1=int:22;r3=R4;r4=R3","benchmark_awfy_richards_opt",356
64,25573,2,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | LINKATTR1_REG_REG_INT(r4,r5,c2) | IGETUNLINK_REG_REG(r1,r4)","r1=R8;r2=R7;r3=R24;c1=int:0;r4=R5;r5=R23;c2=int:1","benchmark_awfy_richards_opt",2826
65,24758,2,1,5,candidate,"IGT_REG_REG_REG(r1,r2,r3) | UNLINKN_REG_REG(r3,r4) | UNLINKN_REG_REG(r2,r5)","r1=R11;r2=R7;r3=R8;r4=R9;r5=R5","benchmark_awfy_richards_opt",2708
66,24758,2,1,6,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINKN_REG_REG(r3,r4) | BRF_ID_REG(c1,r5)","r1=R8;r2=R9;r3=R7;r4=R5;c1=label@2723;r5=R11","benchmark_awfy_richards_opt",2712
67,24627,1,1,4,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | ICOPY_REG_REG(r1,r2)","c1=label@3024;r1=R7;r2=R8;c2=int:0","benchmark_awfy_richards_opt",3013
68,24627,1,1,5,candidate,"UNLINKN_REG_REG(r1,r2) | LOAD_REG_INT(r1,c1) | BRTF_ID_ID_REG(c2,c3,r1)","r1=R8;r2=R6;c1=int:0;c2=label@6868;c3=label@6893","benchmark_awfy_richards_opt",6855
69,24409,2,1,8,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r3,r5,c3)","r1=R23;c1=int:18;r2=R5;r3=R7;c2=int:17;r4=R8;r5=R24;c3=int:0","benchmark_awfy_richards_opt",2804
70,23256,10,1,7,candidate,"UNLINK_REG(r1) | ILOADSETUNLINKN_REG_REG_INT_REG(r2,r3,c1,r4) | LINKATTR1_REG_REG_INT(r1,r5,c2)","r1=R17;r2=R4;r3=R13;c1=int:0;r4=R12;r5=R11;c2=int:9","benchmark_awfy_richards_opt",626
71,23253,9,1,8,candidate,"ILOADSETUNLINKN_REG_REG_INT_REG(r1,r2,c1,r3) | LINKATTR1_REG_REG_INT(r4,r5,c2) | IGETUNLINK_REG_REG(r6,r4)","r1=R4;r2=R13;c1=int:0;r3=R12;r4=R17;r5=R11;c2=int:9;r6=R10","benchmark_awfy_richards_opt",628
72,23253,9,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | COPY_REG_REG(r4,r2)","r1=R17;r2=R11;c1=int:9;r3=R10;r4=R55","benchmark_awfy_richards_opt",633
73,23252,1,1,7,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | INE_REG_REG_INT(r4,r5,c2)","c1=label@4210;r1=R32;r2=R38;r3=R63;r4=R33;r5=R1;c2=int:0","benchmark_awfy_richards_opt",3732
74,23252,1,1,6,candidate,"COPY_REG_REG(r1,r2) | INE_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3)","r1=R38;r2=R63;r3=R33;r4=R1;c1=int:0;c2=label@3830","benchmark_awfy_richards_opt",3735
75,23250,1,1,10,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r6,r7,c3)","r1=R1;r2=R6;r3=R4;r4=R5;r5=R63;c1=int:20;c2=int:6;r6=R8;r7=R64;c3=int:1","benchmark_awfy_richards_opt",3097
76,23250,2,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1) | COPY_REG_REG(r6,r2)","r1=R9;r2=R12;c1=int:19;c2=int:6;r3=R11;r4=R64;c3=int:1;r5=R6;c4=int:0;r6=R63","benchmark_awfy_richards_opt",3174
77,23250,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1) | BRTF_ID_ID_REG(c2,c3,r2)","r1=R8;c1=int:1;r2=R7;c2=label@3089;c3=label@3237","benchmark_awfy_richards_opt",3076
78,23250,1,1,4,candidate,"UNLINKN_REG_REG(r1,r2) | LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r3,r1)","r1=R8;r2=R6;c1=int:1;r3=R7","benchmark_awfy_richards_opt",3073
79,23250,1,1,9,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r1,r6,c3)","r1=R9;r2=R8;r3=R5;r4=R10;r5=R63;c1=int:20;c2=int:6;r6=R64;c3=int:1","benchmark_awfy_richards_opt",3122
80,23250,1,1,10,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | IEQ_REG_REG_INT(r6,r4,c4)","r1=R5;r2=R10;r3=R63;c1=int:20;c2=int:6;r4=R9;r5=R64;c3=int:1;r6=R8;c4=int:0","benchmark_awfy_richards_opt",3125
81,23250,1,1,10,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | LINKATTR1_REG_REG_INT(r6,r3,c4)","r1=R4;r2=R5;r3=R63;c1=int:20;c2=int:6;r4=R8;r5=R64;c3=int:1;r6=R9;c4=int:17","benchmark_awfy_richards_opt",3100
82,23249,2,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c3,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c4,c2,r3,r4,c3)","r1=R14;r2=R11;c1=int:23;c2=int:6;r3=R16;r4=R3;c3=int:1;r5=R13;c4=int:24","benchmark_awfy_richards_opt",2884
83,23248,4,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | LINKATTR1_REG_REG_INT(r4,r1,c2)","r1=R27;r2=R25;r3=R8;c1=int:25;r4=R20;c2=int:2","benchmark_awfy_richards_opt",3453
84,23248,4,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1)","r1=R26;r2=R20;r3=R25;r4=R27;r5=R23","benchmark_awfy_richards_opt",3481
85,23246,1,1,7,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r4,r3,r5,c2)","r1=R6;r2=R23;r3=R8;c1=int:15;r4=R7;r5=R24;c2=int:0","benchmark_awfy_richards_opt",2735
86,23246,2,1,5,candidate,"ICOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r1)","r1=R9;r2=R3;r3=R23;r4=R11;r5=R21","benchmark_awfy_richards_opt",2926
87,23246,1,1,4,candidate,"ICOPY_REG_REG(r1,r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R3;r2=R8;c1=int:0;c2=label@2794","benchmark_awfy_richards_opt",2782
88,23246,1,1,5,candidate,"ICOPY_REG_REG(r1,r2) | ILT_REG_REG_INT(r3,r1,c1) | BRT_ID_REG(c2,r3)","r1=R5;r2=R0;r3=R8;c1=int:0;c2=label@2766","benchmark_awfy_richards_opt",2752
89,23246,1,1,11,candidate,"ICOPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c1,c2,r5,r6,c3) | IEQ_REG_REG_INT(r7,r5,c4)","r1=R8;r2=R1;r3=R12;r4=R11;c1=int:20;c2=int:6;r5=R7;r6=R3;c3=int:1;r7=R5;c4=int:0","benchmark_awfy_richards_opt",2851
90,23246,1,1,9,candidate,"IGETUNLINK_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r2,r6,c3)","r1=R1;r2=R7;r3=R8;r4=R12;r5=R11;c1=int:20;c2=int:6;r6=R3;c3=int:1","benchmark_awfy_richards_opt",2848
91,23246,1,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r1,r3) | COPY_REG_REG(r4,r5)","r1=R8;r2=R5;r3=R7;r4=R11;r5=R23","benchmark_awfy_richards_opt",2835
92,23246,1,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | ICOPY_REG_REG(r4,r1)","r1=R0;r2=R7;r3=R8;r4=R5","benchmark_awfy_richards_opt",2747
