profile,vm,candidate,mode,family,size,total_instructions,native_ops,native_total_ns,native_average_ns,hot_ops,hot_total_ns,hot_average_ns,direct_bytecode_calls,frame_activations,frame_reuses,binary_buffers,binary_buffer_bytes,binary_buffer_max_bytes,string_buffers,string_buffer_bytes,string_buffer_max_bytes,attribute_value_blocks,attribute_value_bytes,attribute_value_max_bytes,attribute_pointer_storage,attribute_pointer_bytes,attribute_pointer_max_bytes,value_slots,value_slot_bytes,value_slot_max_bytes
rxbvm-d2h-get-hit-ascii-1024.csv,rxbvm,d2h,get-hit,ascii,1024,182743,11024,315675,28.635,10000,210626,21.063,3,4,1,5,63488,32768,0,0,0,29,1275712,253952,66,131584,8192,5283,1310184,253952
rxbvm-d2h-get-hit-ascii-16.csv,rxbvm,d2h,get-hit,ascii,16,160567,10016,186330,18.603,10000,179122,17.912,3,4,1,1,2048,2048,0,0,0,11,25792,3968,30,2560,128,243,60264,16120
rxbvm-d2h-get-hit-ascii-256.csv,rxbvm,d2h,get-hit,ascii,256,165847,10256,206779,20.162,10000,180362,18.036,3,4,1,3,14336,8192,0,0,0,23,323392,63488,54,33280,2048,1443,357864,63488
rxbvm-d2h-get-hit-ascii-64.csv,rxbvm,d2h,get-hit,ascii,64,321623,20064,362187,18.052,20000,346027,17.301,3,4,1,2,6144,4096,0,0,0,17,85312,15872,42,8704,512,483,119784,16120
rxbvm-d2h-get-hit-collision-256.csv,rxbvm,d2h,get-hit,collision,256,190167,10256,347232,33.856,10000,309601,30.96,3,4,1,3,14336,8192,2560,81920,32,23,323392,63488,54,33280,2048,1443,357864,63488
rxbvm-d2h-get-hit-long-64.csv,rxbvm,d2h,get-hit,long,64,161879,10064,633250,62.922,10000,613249,61.325,3,4,1,2,6144,4096,262,31040,128,17,85312,15872,42,8704,512,483,119784,16120
rxbvm-d2h-get-hit-unicode-64.csv,rxbvm,d2h,get-hit,unicode,64,161751,10064,224368,22.294,10000,210411,21.041,3,4,1,2,6144,4096,0,0,0,17,85312,15872,42,8704,512,483,119784,16120
rxbvm-d2h-get-miss-ascii-64.csv,rxbvm,d2h,get-miss,ascii,64,141624,20064,328388,16.367,20000,318217,15.911,3,4,1,2,6144,4096,0,0,0,17,85312,15872,42,8704,512,483,119784,16120
rxbvm-d2h-multi-tail-ascii-64.csv,rxbvm,d2h,multi-tail,ascii,64,201627,20065,484984,24.171,20000,467609,23.38,3,4,1,2,6144,4096,0,0,0,19,117056,15872,46,12800,1024,611,151528,16120
rxbvm-d2h-reset-default-ascii-64.csv,rxbvm,d2h,reset-default,ascii,64,281626,40064,680730,16.991,40000,667276,16.682,3,4,1,2,6144,4096,0,0,0,17,85312,15872,42,8704,512,483,119784,16120
rxbvm-d2h-set-existing-ascii-64.csv,rxbvm,d2h,set-existing,ascii,64,261623,20064,441841,22.022,20064,441841,22.022,3,4,1,2,6144,4096,0,0,0,17,85312,15872,42,8704,512,483,119784,16120
rxbvm-d2h-set-new-ascii-64.csv,rxbvm,d2h,set-new,ascii,64,221623,20064,4113312,205.01,20064,4113312,205.01,3,4,1,10,2095104,1048576,20000,640000,32,35,16306496,4063232,80,2102016,262144,65891,16340968,4063232
rxvm-d1-get-hit-ascii-1024.csv,rxvm,d1,get-hit,ascii,1024,183780,11024,346107,31.396,10000,239352,23.935,4,5,1,0,0,0,0,0,0,46,1849088,253952,103,201280,8192,7599,1884552,253952
rxvm-d1-get-hit-ascii-16.csv,rxvm,d1,get-hit,ascii,16,160596,10016,167580,16.731,10000,158244,15.824,4,5,1,0,0,0,0,0,0,16,99200,63488,43,7744,2048,543,134664,63488
rxvm-d1-get-hit-ascii-256.csv,rxvm,d1,get-hit,ascii,256,166116,10256,205609,20.048,10000,167413,16.741,4,5,1,0,0,0,0,0,0,36,515840,63488,83,53824,2048,2223,551304,63488
rxvm-d1-get-hit-ascii-64.csv,rxvm,d1,get-hit,ascii,64,321700,20064,440730,21.966,20000,408651,20.433,4,5,1,0,0,0,0,0,0,26,182528,63488,63,16960,2048,879,217992,63488
rxvm-d1-get-hit-collision-256.csv,rxvm,d1,get-hit,collision,256,190692,10256,352253,34.346,10000,308955,30.895,4,5,1,0,0,0,2560,81920,32,36,515840,63488,83,53824,2048,2223,551304,63488
rxvm-d1-get-hit-long-64.csv,rxvm,d1,get-hit,long,64,161956,10064,550980,54.748,10000,529893,52.989,4,5,1,0,0,0,262,31040,128,26,182528,63488,63,16960,2048,879,217992,63488
rxvm-d1-get-hit-unicode-64.csv,rxvm,d1,get-hit,unicode,64,161828,10064,185359,18.418,10000,168151,16.815,4,5,1,0,0,0,0,0,0,26,182528,63488,63,16960,2048,879,217992,63488
rxvm-d1-get-miss-ascii-64.csv,rxvm,d1,get-miss,ascii,64,141701,20064,314206,15.66,20000,291703,14.585,4,5,1,0,0,0,0,0,0,26,182528,63488,63,16960,2048,879,217992,63488
rxvm-d1-multi-tail-ascii-64.csv,rxvm,d1,multi-tail,ascii,64,201704,20065,363157,18.099,20000,341108,17.055,4,5,1,0,0,0,0,0,0,30,246016,63488,71,25152,2048,1135,281480,63488
rxvm-d1-reset-default-ascii-64.csv,rxvm,d1,reset-default,ascii,64,281703,40064,586456,14.638,40000,571380,14.284,4,5,1,0,0,0,0,0,0,26,182528,63488,63,16960,2048,879,217992,63488
rxvm-d1-set-existing-ascii-64.csv,rxvm,d1,set-existing,ascii,64,261700,20064,365039,18.194,20064,365039,18.194,4,5,1,0,0,0,0,0,0,26,182528,63488,63,16960,2048,879,217992,63488
rxvm-d1-set-new-ascii-64.csv,rxvm,d1,set-new,ascii,64,221700,20064,11773021,586.773,20064,11773021,586.773,4,5,1,0,0,0,20000,640000,32,62,32624896,4063232,139,4203584,262144,131695,32660360,4063232
rxvm-d2-get-hit-ascii-1024.csv,rxvm,d2,get-hit,ascii,1024,182743,11024,238055,21.594,10000,194945,19.494,3,4,1,6,258048,131072,0,0,0,12,765824,253952,29,65984,8192,3227,800296,253952
rxvm-d2-get-hit-ascii-16.csv,rxvm,d2,get-hit,ascii,16,160567,10016,181566,18.128,10000,177943,17.794,3,4,1,1,4096,4096,0,0,0,6,15872,3968,17,1472,128,203,50344,16120
rxvm-d2-get-hit-ascii-256.csv,rxvm,d2,get-hit,ascii,256,165847,10256,196312,19.141,10000,182020,18.202,3,4,1,4,61440,32768,0,0,0,10,194432,63488,25,16832,2048,923,228904,63488
rxvm-d2-get-hit-ascii-64.csv,rxvm,d2,get-hit,ascii,64,321623,20064,354091,17.648,20000,347803,17.39,3,4,1,2,12288,8192,0,0,0,8,51584,15872,21,4544,512,347,86056,16120
rxvm-d2-get-hit-collision-256.csv,rxvm,d2,get-hit,collision,256,190167,10256,323216,31.515,10000,301550,30.155,3,4,1,4,61440,32768,2560,81920,32,10,194432,63488,25,16832,2048,923,228904,63488
rxvm-d2-get-hit-long-64.csv,rxvm,d2,get-hit,long,64,161879,10064,881325,87.572,10000,868489,86.849,3,4,1,3,28672,16384,198,23424,128,8,51584,15872,21,4544,512,347,86056,16120
rxvm-d2-get-hit-unicode-64.csv,rxvm,d2,get-hit,unicode,64,161751,10064,246332,24.477,10000,239455,23.945,3,4,1,2,12288,8192,0,0,0,8,51584,15872,21,4544,512,347,86056,16120
rxvm-d2-get-miss-ascii-64.csv,rxvm,d2,get-miss,ascii,64,141624,20064,318375,15.868,20000,313752,15.688,3,4,1,2,12288,8192,0,0,0,8,51584,15872,21,4544,512,347,86056,16120
rxvm-d2-multi-tail-ascii-64.csv,rxvm,d2,multi-tail,ascii,64,201627,20065,418903,20.877,20000,408921,20.446,3,4,1,3,28672,16384,0,0,0,8,51584,15872,21,4544,512,347,86056,16120
rxvm-d2-reset-default-ascii-64.csv,rxvm,d2,reset-default,ascii,64,281626,40064,793539,19.807,40000,787958,19.699,3,4,1,2,12288,8192,0,0,0,8,51584,15872,21,4544,512,347,86056,16120
rxvm-d2-set-existing-ascii-64.csv,rxvm,d2,set-existing,ascii,64,261623,20064,532096,26.52,20064,532096,26.52,3,4,1,2,12288,8192,0,0,0,8,51584,15872,21,4544,512,347,86056,16120
rxvm-d2-set-new-ascii-64.csv,rxvm,d2,set-new,ascii,64,221623,20064,3955431,197.141,20064,3955431,197.141,3,4,1,11,8384512,4194304,20000,640000,32,8,51584,15872,21,4544,512,347,86056,16120
rxvm-d2h-get-hit-ascii-1024.csv,rxvm,d2h,get-hit,ascii,1024,182743,11024,263004,23.857,10000,189550,18.955,3,4,1,5,63488,32768,0,0,0,29,1275712,253952,66,131584,8192,5283,1310184,253952
rxvm-d2h-get-hit-ascii-16.csv,rxvm,d2h,get-hit,ascii,16,160567,10016,181535,18.125,10000,175369,17.537,3,4,1,1,2048,2048,0,0,0,11,25792,3968,30,2560,128,243,60264,16120
rxvm-d2h-get-hit-ascii-256.csv,rxvm,d2h,get-hit,ascii,256,165847,10256,204332,19.923,10000,177131,17.713,3,4,1,3,14336,8192,0,0,0,23,323392,63488,54,33280,2048,1443,357864,63488
rxvm-d2h-get-hit-ascii-64.csv,rxvm,d2h,get-hit,ascii,64,321623,20064,358577,17.872,20000,345072,17.254,3,4,1,2,6144,4096,0,0,0,17,85312,15872,42,8704,512,483,119784,16120
rxvm-d2h-get-hit-collision-256.csv,rxvm,d2h,get-hit,collision,256,190167,10256,346250,33.761,10000,314787,31.479,3,4,1,3,14336,8192,2560,81920,32,23,323392,63488,54,33280,2048,1443,357864,63488
rxvm-d2h-get-hit-long-64.csv,rxvm,d2h,get-hit,long,64,161879,10064,579484,57.58,10000,562358,56.236,3,4,1,2,6144,4096,262,31040,128,17,85312,15872,42,8704,512,483,119784,16120
rxvm-d2h-get-hit-unicode-64.csv,rxvm,d2h,get-hit,unicode,64,161751,10064,203714,20.242,10000,190963,19.096,3,4,1,2,6144,4096,0,0,0,17,85312,15872,42,8704,512,483,119784,16120
rxvm-d2h-get-miss-ascii-64.csv,rxvm,d2h,get-miss,ascii,64,141624,20064,339856,16.939,20000,329730,16.486,3,4,1,2,6144,4096,0,0,0,17,85312,15872,42,8704,512,483,119784,16120
rxvm-d2h-multi-tail-ascii-64.csv,rxvm,d2h,multi-tail,ascii,64,201627,20065,396021,19.737,20000,381356,19.068,3,4,1,2,6144,4096,0,0,0,19,117056,15872,46,12800,1024,611,151528,16120
rxvm-d2h-reset-default-ascii-64.csv,rxvm,d2h,reset-default,ascii,64,281626,40064,666045,16.625,40000,653175,16.329,3,4,1,2,6144,4096,0,0,0,17,85312,15872,42,8704,512,483,119784,16120
rxvm-d2h-set-existing-ascii-64.csv,rxvm,d2h,set-existing,ascii,64,261623,20064,424606,21.163,20064,424606,21.163,3,4,1,2,6144,4096,0,0,0,17,85312,15872,42,8704,512,483,119784,16120
rxvm-d2h-set-new-ascii-64.csv,rxvm,d2h,set-new,ascii,64,221623,20064,3952359,196.988,20064,3952359,196.988,3,4,1,10,2095104,1048576,20000,640000,32,35,16306496,4063232,80,2102016,262144,65891,16340968,4063232
