rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1155000,5,1,7,candidate,"PARSEWORDS3_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r5,r1) | SCOPY_REG_REG(r6,r2) | SCOPY_REG_REG(r7,r3)","r1=R11;r2=R5;r3=R42;r4=R47;r5=R52;r6=R40;r7=R56","benchmark_rexxcps_levelb_opt",1328
19,462832,5,2,6,candidate,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4) | SCOPY_REG_REG(r5,r3) | BR_ID(c1)","r1=R76;r2=R72;r3=R78;r4=R73;r5=R70;c1=label@997","benchmark_rexxcps_levelb_opt",957
20,462816,3,3,7,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_REG(r1,r3,r4) | BRF_ID_REG(c3,r1)","r1=R67;r2=R71;c1=int:0;c2=label@805;r3=R78;r4=R69;c3=label@816","benchmark_rexxcps_levelb_opt",794
21,462400,2,2,8,candidate,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2) | IEQ_REG_REG_REG(r2,r4,r5)","c1=label@834;r1=R68;r2=R67;r3=R71;c2=int:0;c3=label@805;r4=R78;r5=R69","benchmark_rexxcps_levelb_opt",791
22,462400,2,2,5,candidate,"LOAD_REG_INT(r1,c1) | STRLEN_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1) | BR_ID(c2)","r1=R79;c1=int:0;r2=R78;r3=R77;c2=label@702","benchmark_rexxcps_levelb_opt",691
23,462001,2,2,8,candidate,"BRF_ID_REG(c1,r1) | FNDNBLNK_REG_REG_REG(r2,r3,r4) | ILT_REG_REG_INT(r5,r2,c2) | BRF_ID_REG(c3,r5)","c1=label@989;r1=R71;r2=R72;r3=R76;r4=R77;r5=R70;c2=int:0;c3=label@928","benchmark_rexxcps_levelb_opt",906
24,462001,2,2,8,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | FNDNBLNK_REG_REG_REG(r4,r5,r2) | ILT_REG_REG_INT(r6,r4,c2)","r1=R71;r2=R77;r3=R75;c1=label@989;r4=R72;r5=R76;r6=R70;c2=int:0","benchmark_rexxcps_levelb_opt",902
25,462001,2,2,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c1) | LOAD_REG_STRING(r4,c2)","r1=R72;c1=int:0;r2=R74;r3=R73;r4=R78;c2=string@464","benchmark_rexxcps_levelb_opt",890
26,462001,2,2,8,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_STRING(r3,c2) | ILT_REG_REG_REG(r4,r5,r6)","r1=R74;c1=int:0;r2=R73;r3=R78;c2=string@464;r4=R71;r5=R77;r6=R75","benchmark_rexxcps_levelb_opt",893
27,462001,2,2,8,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_STRING(r2,c2) | ILT_REG_REG_REG(r3,r4,r5) | BRF_ID_REG(c3,r3)","r1=R73;c1=int:0;r2=R78;c2=string@464;r3=R71;r4=R77;r5=R75;c3=label@989","benchmark_rexxcps_levelb_opt",896
28,462001,2,2,8,candidate,"LOAD_REG_STRING(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2) | FNDNBLNK_REG_REG_REG(r5,r6,r3)","r1=R78;c1=string@464;r2=R71;r3=R77;r4=R75;c2=label@989;r5=R72;r6=R76","benchmark_rexxcps_levelb_opt",899
29,462000,1,1,5,candidate,"BRF_ID_REG(c1,r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c2,r2) | ITOS_REG(r2)","c1=label@1058;r1=R79;r2=R51;r3=R77;c2=string@34184","benchmark_rexxcps_levelb_opt",1010
30,462000,1,1,7,candidate,"BRT_ID_REG(c1,r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c2,r2) | STEMGET_REG_REG_REG(r4,r5,r3)","c1=label@1064;r1=R83;r2=R51;r3=R79;c2=string@34184;r4=R76;r5=R4","benchmark_rexxcps_levelb_opt",659
31,462000,2,1,7,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | CONCAT_REG_REG_STRING(r3,r1,c2) | STEMGET_REG_REG_REG(r1,r4,r3) | REQ_REG_REG_STRING(r3,r1,c3)","r1=R79;r2=R41;c1=string@68336;r3=R87;c2=string@17440;r4=R8;c3=string@1272","benchmark_rexxcps_levelb_opt",1084
32,462000,2,1,6,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | STEMGET_REG_REG_REG(r2,r3,r1) | REQ_REG_REG_STRING(r1,r2,c2) | BRF_ID_REG(c3,r1)","r1=R87;r2=R79;c1=string@17440;r3=R8;c2=string@1272;c3=label@1107","benchmark_rexxcps_levelb_opt",1088
33,462000,1,1,6,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c1,r2) | STEMGET_REG_REG_REG(r4,r5,r3)","r1=R77;c1=string@34184;r2=R51;r3=R74;r4=R71;r5=R4","benchmark_rexxcps_levelb_opt",1015
34,462000,1,1,5,candidate,"DADD_REG_REG_DECIMAL(r1,r1,c1) | DCOPY_REG_REG(r2,r1) | DTOS_REG(r2) | STEMSET_REG_REG_REG(r3,r4,r2)","r1=R74;c1=decimal@66184;r2=R78;r3=R4;r4=R77","benchmark_rexxcps_levelb_opt",1034
35,462000,1,1,4,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | LOAD_REG_INT(r3,c1) | STRLEN_REG_REG(r3,r1)","r1=R78;r2=R25;r3=R79;c1=int:0","benchmark_rexxcps_levelb_opt",686
36,462000,1,1,4,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | REQ_REG_REG_STRING(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R79;r2=R25;c1=string@48760;c2=label@726","benchmark_rexxcps_levelb_opt",712
37,462000,1,1,6,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | STEMSET_REG_REG_REG(r3,r4,r1) | DEQ_REG_REG_DECIMAL(r1,r5,c1)","r1=R78;r2=R74;r3=R4;r4=R77;r5=R25;c1=decimal@66616","benchmark_rexxcps_levelb_opt",1038
38,462000,1,1,7,candidate,"DGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | ITOS_REG(r4) | CONCAT_REG_STRING_REG(r5,c2,r4)","r1=R83;r2=R25;r3=R84;c1=label@1064;r4=R51;r5=R79;c2=string@34184","benchmark_rexxcps_levelb_opt",655
39,462000,1,1,7,candidate,"DLT_REG_REG_DECIMAL(r1,r2,c1) | BRF_ID_REG(c2,r1) | ITOS_REG(r3) | CONCAT_REG_STRING_REG(r4,c3,r3)","r1=R79;r2=R25;c1=decimal@65392;c2=label@1058;r3=R51;r4=R77;c3=string@34184","benchmark_rexxcps_levelb_opt",1006
40,462000,1,1,4,candidate,"DTOS_REG(r1) | LOAD_REG_INT(r2,c1) | STRLEN_REG_REG(r2,r1) | ICOPY_REG_REG(r3,r2)","r1=R78;r2=R79;c1=int:0;r3=R77","benchmark_rexxcps_levelb_opt",689
41,462000,1,1,6,candidate,"DTOS_REG(r1) | STEMSET_REG_REG_REG(r2,r3,r1) | DEQ_REG_REG_DECIMAL(r1,r4,c1) | BRF_ID_REG(c2,r1)","r1=R78;r2=R4;r3=R77;r4=R25;c1=decimal@66616;c2=label@1058","benchmark_rexxcps_levelb_opt",1041
42,462000,1,1,9,candidate,"FNDBLNK_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r5,c1) | BRF_ID_REG(c2,r4) | ILT_REG_REG_INT(r6,r1,c3)","r1=R74;r2=R76;r3=R72;r4=R70;r5=R79;c1=int:1;c2=label@969;r6=R69;c3=int:0","benchmark_rexxcps_levelb_opt",932
43,462000,1,1,7,candidate,"IADD_REG_REG_INT(r1,r1,c1) | FNDBLNK_REG_REG_REG(r2,r3,r4) | IEQ_REG_REG_INT(r5,r1,c1) | BRF_ID_REG(c2,r5)","r1=R79;c1=int:1;r2=R74;r3=R76;r4=R72;r5=R70;c2=label@969","benchmark_rexxcps_levelb_opt",928
44,462000,1,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | ILT_REG_REG_INT(r3,r4,c3) | BRF_ID_REG(c4,r3)","r1=R70;r2=R79;c1=int:1;c2=label@969;r3=R69;r4=R74;c3=int:0;c4=label@953","benchmark_rexxcps_levelb_opt",936
45,462000,1,1,6,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | SETSTRPOS_REG_REG(r4,r3) | SUBSTRING_REG_REG_REG(r5,r4,r1) | SCOPY_REG_REG(r6,r5)","r1=R73;r2=R74;r3=R72;r4=R76;r5=R78;r6=R70","benchmark_rexxcps_levelb_opt",953
46,462000,1,1,4,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | ITOS_REG(r1) | CONCAT_REG_STRING_REG(r3,c1,r1)","r1=R51;r2=R77;c1=string@34184;r3=R74","benchmark_rexxcps_levelb_opt",1013
47,462000,1,1,6,candidate,"LOAD_REG_STRING(r1,c1) | STRLEN_REG_REG(r2,r1) | IEQ_REG_REG_INT(r3,r2,c2) | BRF_ID_REG(c3,r3)","r1=R76;c1=string@34064;r2=R75;r3=R71;c2=int:0;c3=label@884","benchmark_rexxcps_levelb_opt",866
48,462000,1,1,5,candidate,"NULL_REG(r1) | LOAD_REG_STRING(r2,c1) | STRLEN_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r1,c2)","r1=R75;r2=R76;c1=string@34064;r3=R71;c2=int:0","benchmark_rexxcps_levelb_opt",864
49,462000,1,1,4,candidate,"SCOPY_REG_REG(r1,r2) | STOD_REG(r1) | DADD_REG_REG_DECIMAL(r1,r1,c1) | DCOPY_REG_REG(r3,r1)","r1=R74;r2=R71;c1=decimal@66184;r3=R78","benchmark_rexxcps_levelb_opt",1029
50,462000,1,1,4,candidate,"SCOPY_REG_REG(r1,r2) | STOD_REG(r1) | DGT_REG_REG_REG(r1,r3,r1) | BRF_ID_REG(c1,r1)","r1=R79;r2=R76;r3=R25;c1=label@686","benchmark_rexxcps_levelb_opt",672
51,462000,1,1,4,candidate,"STEMGET_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r3,r1) | STOD_REG(r3) | DADD_REG_REG_DECIMAL(r3,r3,c1)","r1=R71;r2=R4;r3=R74;c1=decimal@66184","benchmark_rexxcps_levelb_opt",1025
52,462000,1,1,4,candidate,"STEMGET_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r3,r1) | STOD_REG(r3) | DGT_REG_REG_REG(r3,r4,r3)","r1=R76;r2=R4;r3=R79;r4=R25","benchmark_rexxcps_levelb_opt",668
53,462000,1,1,3,candidate,"STOD_REG(r1) | DADD_REG_REG_DECIMAL(r1,r1,c1) | DCOPY_REG_REG(r2,r1) | DTOS_REG(r2)","r1=R74;c1=decimal@66184;r2=R78","benchmark_rexxcps_levelb_opt",1032
54,462000,1,1,6,candidate,"STRLEN_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | ISUB_REG_REG_REG(r4,r1,r3) | BGE_ID_REG_INT(c2,r4,c1)","r1=R69;r2=R70;r3=R71;c1=int:0;r4=R79;c2=label@777","benchmark_rexxcps_levelb_opt",760
55,445500,2,1,7,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_STRING(r2,c2) | LOAD_REG_STRING(r3,c2) | STEMGET_REG_REG_REG(r4,r5,r3)","c1=label@1155;r1=R85;r2=R78;c2=string@70008;r3=R91;r4=R75;r5=R8","benchmark_rexxcps_levelb_opt",1122
56,445500,2,1,5,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | STEMSET_REG_REG_REG(r3,r4,r1) | BR_ID(c1)","r1=R79;r2=R91;r3=R8;r4=R78;c1=label@1165","benchmark_rexxcps_levelb_opt",1144
57,445500,2,1,5,candidate,"DMULT_REG_REG_DECIMAL(r1,r1,c1) | DCOPY_REG_REG(r2,r1) | DTOS_REG(r2) | STEMSET_REG_REG_REG(r3,r4,r2)","r1=R91;c1=decimal@45576;r2=R79;r3=R8;r4=R78","benchmark_rexxcps_levelb_opt",1140
58,445500,2,1,5,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_STRING(r2,c1) | STEMGET_REG_REG_REG(r3,r4,r2) | SCOPY_REG_REG(r2,r3)","r1=R78;c1=string@70008;r2=R91;r3=R75;r4=R8","benchmark_rexxcps_levelb_opt",1125
59,445500,2,1,4,candidate,"LOAD_REG_STRING(r1,c1) | STEMGET_REG_REG_REG(r2,r3,r1) | SCOPY_REG_REG(r1,r2) | STOD_REG(r1)","r1=R91;c1=string@70008;r2=R75;r3=R8","benchmark_rexxcps_levelb_opt",1128
60,445500,2,1,7,candidate,"RNE_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_STRING(r3,c3) | LOAD_REG_STRING(r4,c3)","r1=R85;r2=R41;c1=string@1272;c2=label@1155;r3=R78;c3=string@70008;r4=R91","benchmark_rexxcps_levelb_opt",1118
61,445500,2,1,4,candidate,"SCOPY_REG_REG(r1,r2) | STOD_REG(r1) | DMULT_REG_REG_DECIMAL(r1,r1,c1) | DCOPY_REG_REG(r3,r1)","r1=R91;r2=R75;c1=decimal@45576;r3=R79","benchmark_rexxcps_levelb_opt",1135
62,445500,2,1,4,candidate,"STEMGET_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r3,r1) | STOD_REG(r3) | DMULT_REG_REG_DECIMAL(r3,r3,c1)","r1=R75;r2=R8;r3=R91;c1=decimal@45576","benchmark_rexxcps_levelb_opt",1131
63,445500,2,1,3,candidate,"STOD_REG(r1) | DMULT_REG_REG_DECIMAL(r1,r1,c1) | DCOPY_REG_REG(r2,r1) | DTOS_REG(r2)","r1=R91;c1=decimal@45576;r2=R79","benchmark_rexxcps_levelb_opt",1138
64,231002,2,2,15,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG_REG_REG(r5,r6,r7,r8) | NULLN_REG_REG_REG_REG(r9,r10,r11,r12) | NULLN_REG_REG_REG(r13,r14,r15)","r1=R7;r2=R6;r3=R5;r4=R3;r5=R2;r6=R0;r7=R42;r8=R43;r9=R44;r10=R45;r11=R46;r12=R47;r13=R48;r14=R49;r15=R50","benchmark_rexxcps_levelb_opt",469
65,231000,1,1,6,candidate,"APPEND_REG_REG(r1,r2) | CONCAT_REG_REG_STRING(r1,r1,c1) | CONCAT_REG_REG_REG(r3,r1,r4) | SCOPY_REG_REG(r5,r3)","r1=R21;r2=R27;c1=string@36648;r3=R19;r4=R28;r5=R15","benchmark_rexxcps_levelb_opt",1773
66,231000,1,1,10,candidate,"BCF_ID_REG(c1,r1) | NULLN_REG_REG_REG_REG(r2,r3,r4,r5) | CONCAT_REG_REG_STRING(r6,r7,c2) | APPEND_REG_REG(r6,r8)","c1=label@1803;r1=R20;r2=R12;r3=R13;r4=R14;r5=R15;r6=R21;r7=R26;c2=string@36648;r8=R27","benchmark_rexxcps_levelb_opt",1761
67,231000,1,1,14,candidate,"BRT_ID_REG(c1,r1) | NULLN_REG_REG_REG_REG(r2,r3,r4,r5) | NULLN_REG_REG_REG_REG(r6,r7,r8,r9) | NULLN_REG_REG_REG_REG(r10,r11,r12,r13)","c1=label@442;r1=R64;r2=R13;r3=R11;r4=R10;r5=R9;r6=R7;r7=R6;r8=R5;r9=R3;r10=R2;r11=R0;r12=R42;r13=R43","benchmark_rexxcps_levelb_opt",461
68,231000,1,1,8,candidate,"CONCAT_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r4,r1) | PARSEWORDS3_REG_REG_REG_REG(r5,r6,r7,r4) | SCOPY_REG_REG(r8,r5)","r1=R19;r2=R21;r3=R28;r4=R15;r5=R12;r6=R13;r7=R14;r8=R16","benchmark_rexxcps_levelb_opt",1780
69,231000,1,1,8,candidate,"CONCAT_REG_REG_STRING(r1,r1,c1) | CONCAT_REG_REG_REG(r2,r1,r3) | SCOPY_REG_REG(r4,r2) | PARSEWORDS3_REG_REG_REG_REG(r5,r6,r7,r4)","r1=R21;c1=string@36648;r2=R19;r3=R28;r4=R15;r5=R12;r6=R13;r7=R14","benchmark_rexxcps_levelb_opt",1776
70,231000,1,1,6,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | APPEND_REG_REG(r1,r3) | CONCAT_REG_REG_STRING(r1,r1,c1) | CONCAT_REG_REG_REG(r4,r1,r5)","r1=R21;r2=R26;c1=string@36648;r3=R27;r4=R19;r5=R28","benchmark_rexxcps_levelb_opt",1769
71,231000,1,1,12,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | NULLN_REG_REG_REG_REG(r3,r4,r5,r6) | NULLN_REG_REG_REG(r7,r8,r9) | LOAD_REG_STRING(r10,c2)","r1=R67;c1=string@34184;r2=R51;r3=R69;r4=R70;r5=R72;r6=R74;r7=R75;r8=R77;r9=R79;r10=R78;c2=string@36328","benchmark_rexxcps_levelb_opt",490
72,231000,1,1,7,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | STEMGET_REG_REG_REG(r3,r4,r1) | REQ_REG_REG_REG(r1,r5,r3) | BRF_ID_REG(c2,r1)","r1=R84;c1=string@34184;r2=R51;r3=R79;r4=R4;r5=R41;c2=label@646","benchmark_rexxcps_levelb_opt",629
73,231000,1,1,7,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | STEMRESET_REG_REG(r3,r1) | REQ_REG_REG_STRING(r1,r4,c2) | BRF_ID_REG(c3,r1)","r1=R88;c1=string@67424;r2=R51;r3=R8;r4=R41;c2=string@36536;c3=label@1084","benchmark_rexxcps_levelb_opt",1066
74,231000,1,1,12,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | NULLN_REG_REG_REG_REG(r4,r5,r6,r7) | NULLN_REG_REG_REG_REG(r8,r9,r10,r11)","r1=R64;r2=R51;r3=R63;c1=label@442;r4=R13;r5=R11;r6=R10;r7=R9;r8=R7;r9=R6;r10=R5;r11=R3","benchmark_rexxcps_levelb_opt",457
75,231000,1,1,10,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | NULLN_REG_REG_REG_REG(r3,r4,r5,r6) | NULLN_REG_REG_REG(r7,r8,r9)","r1=R51;r2=R67;c1=string@34184;r3=R69;r4=R70;r5=R72;r6=R74;r7=R75;r8=R77;r9=R79","benchmark_rexxcps_levelb_opt",488
76,231000,1,1,6,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | STEMGET_REG_REG_REG(r3,r4,r2) | REQ_REG_REG_REG(r2,r5,r3)","r1=R51;r2=R84;c1=string@34184;r3=R79;r4=R4;r5=R41","benchmark_rexxcps_levelb_opt",627
77,231000,1,1,6,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | STEMRESET_REG_REG(r3,r2) | REQ_REG_REG_STRING(r2,r4,c2)","r1=R51;r2=R88;c1=string@67424;r3=R8;r4=R41;c2=string@36536","benchmark_rexxcps_levelb_opt",1064
78,231000,1,1,7,candidate,"LOAD_REG_DECIMAL(r1,c1) | DGT_REG_REG_REG(r2,r3,r4) | BRT_ID_REG(c2,r2) | ITOS_REG(r5)","r1=R82;c1=decimal@45576;r2=R83;r3=R25;r4=R84;c2=label@1064;r5=R51","benchmark_rexxcps_levelb_opt",652
79,231000,1,1,7,candidate,"LOAD_REG_DECIMAL(r1,c1) | LOAD_REG_DECIMAL(r2,c2) | DGT_REG_REG_REG(r3,r4,r1) | BRT_ID_REG(c3,r3)","r1=R84;c1=decimal@45888;r2=R82;c2=decimal@45576;r3=R83;r4=R25;c3=label@1064","benchmark_rexxcps_levelb_opt",649
80,231000,1,1,6,candidate,"LOAD_REG_DECIMAL(r1,c1) | LOAD_REG_DECIMAL(r2,c2) | LOAD_REG_DECIMAL(r3,c1) | DGT_REG_REG_REG(r4,r1,r2)","r1=R25;c1=decimal@45576;r2=R84;c2=decimal@45888;r3=R82;r4=R83","benchmark_rexxcps_levelb_opt",646
81,231000,1,1,10,candidate,"LOAD_REG_INT(r1,c1) | BCF_ID_REG(c2,r1) | NULLN_REG_REG_REG_REG(r2,r3,r4,r5) | CONCAT_REG_REG_STRING(r6,r7,c3)","r1=R20;c1=int:1;c2=label@1803;r2=R12;r3=R13;r4=R14;r5=R15;r6=R21;r7=R26;c3=string@36648","benchmark_rexxcps_levelb_opt",1758
82,231000,1,1,7,candidate,"LOAD_REG_STRING(r1,c1) | PARSEPOS2_REG_REG_REG_INT(r2,r3,r1,c2) | SCOPY_REG_REG(r4,r2) | SCOPY_REG_REG(r5,r3)","r1=R46;c1=string@74680;r2=R13;r3=R6;c2=int:5;r4=R61;r5=R62","benchmark_rexxcps_levelb_opt",1249
83,231000,1,1,10,candidate,"NULLN_REG_REG_REG(r1,r2,r3) | ITOS_REG(r4) | CONCAT_REG_STRING_REG(r5,c1,r4) | NULLN_REG_REG_REG_REG(r6,r7,r8,r9)","r1=R48;r2=R49;r3=R50;r4=R51;r5=R67;c1=string@34184;r6=R69;r7=R70;r8=R72;r9=R74","benchmark_rexxcps_levelb_opt",484
84,231000,1,1,8,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | CONCAT_REG_REG_STRING(r5,r6,c1) | APPEND_REG_REG(r5,r7) | CONCAT_REG_REG_STRING(r5,r5,c1)","r1=R12;r2=R13;r3=R14;r4=R15;r5=R21;r6=R26;c1=string@36648;r7=R27","benchmark_rexxcps_levelb_opt",1764
