vm,variant,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,initial_noise_append_required
rxbvm,preguard,i64_accessor_write_us,46,24162.000000,24357.000000,24565.500000,24784.000000,25294.000000,217.500000,0.885388,4.608089,yes
rxbvm,preguard,f32_direct_read_us,46,11044.000000,11180.000000,11269.500000,11393.500000,12131.000000,97.000000,0.860730,9.645503,yes
rxbvm,preguard,f32_accessor_read_us,46,33867.000000,34193.250000,34277.500000,34341.750000,34677.000000,79.000000,0.230472,2.363066,yes
rxbvm,preguard,f32_direct_write_us,46,19026.000000,19485.000000,19575.000000,19808.250000,20238.000000,143.000000,0.730524,6.191571,yes
rxbvm,preguard,f32_accessor_write_us,46,30619.000000,30992.250000,31237.500000,31690.500000,32208.000000,293.500000,0.939576,5.086835,yes
rxbvm,current,int_direct_read_us,46,3841.000000,3951.250000,4079.500000,4160.500000,4660.000000,128.000000,3.137639,20.075990,yes
rxbvm,current,int_accessor_read_us,46,5649.000000,5693.500000,5745.500000,5800.250000,5937.000000,53.500000,0.931164,5.012619,yes
rxbvm,current,int_direct_write_us,46,3051.000000,3092.250000,3140.500000,3183.750000,3357.000000,48.000000,1.528419,9.743671,yes
rxbvm,current,int_accessor_write_us,46,3437.000000,3485.250000,3518.000000,3558.250000,3719.000000,34.000000,0.966458,8.015918,yes
rxbvm,current,float_direct_read_us,46,3514.000000,3560.250000,3619.000000,3685.250000,3808.000000,60.000000,1.657917,8.123791,yes
rxbvm,current,float_accessor_read_us,46,10613.000000,10830.250000,10974.500000,11073.500000,11863.000000,111.500000,1.015992,11.390041,yes
rxbvm,current,float_direct_write_us,46,8594.000000,8741.250000,8834.000000,8903.250000,19881.000000,84.500000,0.956532,127.767716,yes
rxbvm,current,float_accessor_write_us,46,17861.000000,18297.500000,18904.000000,19039.000000,40875.000000,175.000000,0.925730,121.741430,yes
rxbvm,current,i64_direct_read_us,46,10771.000000,11075.250000,11123.500000,11218.500000,16100.000000,77.500000,0.696723,47.907583,yes
rxbvm,current,i64_accessor_read_us,46,33876.000000,34041.750000,34229.500000,34442.500000,59726.000000,202.500000,0.591595,75.519654,yes
rxbvm,current,i64_direct_write_us,46,9979.000000,10076.750000,10120.000000,10221.250000,12588.000000,65.000000,0.642292,25.780632,yes
rxbvm,current,i64_accessor_write_us,46,24056.000000,24296.250000,24631.500000,24861.500000,28029.000000,247.000000,1.002781,16.129753,yes
rxbvm,current,f32_direct_read_us,46,11068.000000,11163.000000,11294.500000,11475.750000,12753.000000,145.500000,1.288238,14.918766,yes
rxbvm,current,f32_accessor_read_us,46,33798.000000,34193.500000,34278.500000,34376.000000,38140.000000,91.000000,0.265473,12.666832,yes
rxbvm,current,f32_direct_write_us,46,18902.000000,19440.000000,19649.500000,19850.000000,21804.000000,207.500000,1.056007,14.768824,yes
rxbvm,current,f32_accessor_write_us,46,31009.000000,31219.500000,31607.000000,31821.500000,34363.000000,269.500000,0.852659,10.611573,yes
