vm_mode,round,comparison,left_cell,right_cell,left_position,right_position,left_native_cps,right_native_cps,native_cps_delta_percent,left_process_real_s,right_process_real_s,process_real_delta_percent
rxbvm,1,infrastructure_B_vs_A,A,B,1,2,1186117,1200128,+1.181249,8.45,8.35,-1.183432
rxbvm,1,fusion_C_vs_B,B,C,2,3,1200128,1196668,-0.288303,8.35,8.37,+0.239521
rxbvm,1,overall_C_vs_A,A,C,1,3,1186117,1196668,+0.889541,8.45,8.37,-0.946746
rxbvm,2,infrastructure_B_vs_A,A,B,3,1,1157961,1192470,+2.980152,8.65,8.40,-2.890173
rxbvm,2,fusion_C_vs_B,B,C,1,2,1192470,1202797,+0.866018,8.40,8.33,-0.833333
rxbvm,2,overall_C_vs_A,A,C,3,2,1157961,1202797,+3.871978,8.65,8.33,-3.699422
rxbvm,3,infrastructure_B_vs_A,A,B,2,3,1166129,1168271,+0.183685,8.59,8.57,-0.232829
rxbvm,3,fusion_C_vs_B,B,C,3,1,1168271,1191529,+1.990805,8.57,8.41,-1.866978
rxbvm,3,overall_C_vs_A,A,C,2,1,1166129,1191529,+2.178147,8.59,8.41,-2.095460
rxbvm,4,infrastructure_B_vs_A,A,B,3,2,1172901,1162737,-0.866569,8.54,8.61,+0.819672
rxbvm,4,fusion_C_vs_B,B,C,2,1,1162737,1176369,+1.172406,8.61,8.51,-1.161440
rxbvm,4,overall_C_vs_A,A,C,3,1,1172901,1176369,+0.295677,8.54,8.51,-0.351288
rxbvm,5,infrastructure_B_vs_A,A,B,1,3,1135673,1144867,+0.809564,8.82,8.75,-0.793651
rxbvm,5,fusion_C_vs_B,B,C,3,2,1144867,1122221,-1.978046,8.75,8.93,+2.057143
rxbvm,5,overall_C_vs_A,A,C,1,2,1135673,1122221,-1.184496,8.82,8.93,+1.247166
rxbvm,6,infrastructure_B_vs_A,A,B,2,1,1152858,1151247,-0.139740,8.69,8.70,+0.115075
rxbvm,6,fusion_C_vs_B,B,C,1,3,1151247,1158076,+0.593183,8.70,8.65,-0.574713
rxbvm,6,overall_C_vs_A,A,C,2,3,1152858,1158076,+0.452614,8.69,8.65,-0.460299
rxbvm,7,infrastructure_B_vs_A,A,B,2,1,1143491,1161087,+1.538797,8.76,8.63,-1.484018
rxbvm,7,fusion_C_vs_B,B,C,1,3,1161087,1131375,-2.558981,8.63,8.85,+2.549247
rxbvm,7,overall_C_vs_A,A,C,2,3,1143491,1131375,-1.059562,8.76,8.85,+1.027397
rxbvm,8,infrastructure_B_vs_A,A,B,1,3,1137455,1142629,+0.454875,8.81,8.77,-0.454030
rxbvm,8,fusion_C_vs_B,B,C,3,2,1142629,1151131,+0.744074,8.77,8.70,-0.798176
rxbvm,8,overall_C_vs_A,A,C,1,2,1137455,1151131,+1.202333,8.81,8.70,-1.248581
rxbvm,9,infrastructure_B_vs_A,A,B,3,2,1114569,1092323,-1.995928,8.99,9.17,+2.002225
rxbvm,9,fusion_C_vs_B,B,C,2,1,1092323,1151760,+5.441339,9.17,8.70,-5.125409
rxbvm,9,overall_C_vs_A,A,C,3,1,1114569,1151760,+3.336806,8.99,8.70,-3.225806
rxbvm,10,infrastructure_B_vs_A,A,B,2,3,1112157,1105097,-0.634802,9.01,9.06,+0.554939
rxbvm,10,fusion_C_vs_B,B,C,3,1,1105097,1125607,+1.855946,9.06,8.90,-1.766004
rxbvm,10,overall_C_vs_A,A,C,2,1,1112157,1125607,+1.209362,9.01,8.90,-1.220866
rxbvm,11,infrastructure_B_vs_A,A,B,3,1,1169548,1030130,-11.920674,8.57,9.72,+13.418903
rxbvm,11,fusion_C_vs_B,B,C,1,2,1030130,1121475,+8.867327,9.72,8.93,-8.127572
rxbvm,11,overall_C_vs_A,A,C,3,2,1169548,1121475,-4.110391,8.57,8.93,+4.200700
rxbvm,12,infrastructure_B_vs_A,A,B,1,2,1199252,1197565,-0.140671,8.35,8.36,+0.119760
rxbvm,12,fusion_C_vs_B,B,C,2,3,1197565,1181964,-1.302727,8.36,8.47,+1.315789
rxbvm,12,overall_C_vs_A,A,C,1,3,1199252,1181964,-1.441565,8.35,8.47,+1.437126
