workload,instruction_index,dynamic_count,procedure,instruction,source_step,recursive_operations,recursive_operation_share_percent,recursive_bytes,recursive_byte_share_percent,top_payload_bytes,empty_operations,scalar_operations,string_operations,binary_operations,decimal_operations,reference_operations,object_operations,native_operations,compound_operations,dual_vm_identity
Richards,2881,3140,§awfy_richards.richardsscheduler.queuepacket(),"copy a1 /* aka r23 */,r11",".srcstep 341 341 6 ""awfy_richards.crexx"" 179 65 80 ""      if task_priority[identity] > task_priority[old_task] then return identity""",461568,0.817835,3667424,0.818307,703360,215095,189955,0,0,0,0,56518,0,0,exact
Richards,3639,2327,§awfy_richards.richardsscheduler.runtask(),"copy a1 /* aka r55 */,r22",".srcstep 459 459 6 ""awfy_richards.crexx"" 259 5 29 ""    return queuePacket(work)""",342063,0.606089,2717888,0.606439,521248,158167,142011,0,0,0,0,41885,0,0,exact
Richards,4116,9300,§awfy_richards.richardsscheduler.runtask(),"copy a1 /* aka r55 */,r34",".srcstep 518 518 6 ""awfy_richards.crexx"" 284 5 38 ""    return queuePacket(device_packet)""",1367094,2.422304,10862352,2.423701,2083200,633472,566223,0,0,0,0,167399,0,0,exact
Richards,4140,27884,§awfy_richards.richardsscheduler.runtask(),"copy r51,a1 /* aka r55 */",".srcstep 522 522 33 ""awfy_richards.crexx"" 228 52 61 ""      when identity = 4 | identity = 5 then return runDevice(identity, message)""",4098942,7.262765,32568464,7.266956,6246016,1900913,1696118,0,0,0,0,501911,0,0,exact
Richards,4306,9296,§awfy_richards.richardsscheduler.runtask(),"copy r50,r53",".srcstep 548 548 33 ""awfy_richards.crexx"" 192 5 11 ""    return task_link[current_task]""",9296,0.016471,0,0.000000,0,0,9296,0,0,0,0,0,0,0,exact
Richards,4309,9296,§awfy_richards.richardsscheduler.runtask(),"copy a1 /* aka r55 */,r51",".srcstep 550 550 6 ""awfy_richards.crexx"" 295 5 20 ""    return holdSelf()""",1366512,2.421272,10857728,2.422670,2082304,616390,582794,0,0,0,0,167328,0,0,exact
Richards,2926,20106,§awfy_richards.richardsscheduler.queuepacket(),"copy a1 /* aka r23 */,r11",".srcstep 350 350 6 ""awfy_richards.crexx"" 182 5 20 ""    return old_task""",2955582,5.236887,23483808,5.239909,4503744,1364798,1228876,0,0,0,0,361908,0,0,exact
Richards,3927,8685,§awfy_richards.richardsscheduler.runtask(),"copy r32,r47",".srcstep 496 496 33 ""awfy_richards.crexx"" 196 5 11 ""    return current_task""",8685,0.015389,0,0.000000,0,0,8685,0,0,0,0,0,0,0,exact
Richards,3930,8685,§awfy_richards.richardsscheduler.runtask(),"copy a1 /* aka r55 */,r34",".srcstep 498 498 6 ""awfy_richards.crexx"" 277 31 49 ""    if device_packet = 0 then return markWaiting()""",1276695,2.262129,10144080,2.263434,1945440,583888,536477,0,0,0,0,156330,0,0,exact
Richards,3415,2327,§awfy_richards.richardsscheduler.runtask(),"copy r20,r23",".srcstep 422 422 33 ""awfy_richards.crexx"" 196 5 11 ""    return current_task""",2327,0.004123,0,0.000000,0,0,2327,0,0,0,0,0,0,0,exact
Richards,3418,2327,§awfy_richards.richardsscheduler.runtask(),"copy a1 /* aka r55 */,r22",".srcstep 424 424 6 ""awfy_richards.crexx"" 245 22 40 ""    if work = 0 then return markWaiting()""",342069,0.606099,2717936,0.606449,521248,157061,143122,0,0,0,0,41886,0,0,exact
Richards,3184,10000,§awfy_richards.richardsscheduler.runtask(),"copy r15,a1 /* aka r55 */",".srcstep 391 391 33 ""awfy_richards.crexx"" 225 37 45 ""      when identity = 0 then return runIdler()""",1470000,2.604639,11680000,2.606142,2240000,692835,597165,0,0,0,0,180000,0,0,exact
Richards,2584,9999,§awfy_richards.richardsscheduler.release(),"copy r3,a1 /* aka r13 */",".srcstep 298 298 33 ""awfy_richards.crexx"" 200 12 20 ""    task = findTask(identity)""",1469853,2.604378,11678832,2.605881,2239776,692765,597106,0,0,0,0,179982,0,0,exact
Richards,3360,4992,§awfy_richards.richardsscheduler.runtask(),"copy a1 /* aka r55 */,r15",".srcstep 412 412 6 ""awfy_richards.crexx"" 241 5 22 ""    return release(5)""",733824,1.300236,5830656,1.300986,1118208,350397,293571,0,0,0,0,89856,0,0,exact
Richards,4230,9294,§awfy_richards.richardsscheduler.runtask(),"copy a1 /* aka r55 */,r51",".srcstep 538 538 6 ""awfy_richards.crexx"" 292 7 34 ""      return queuePacket(pending)""",1366218,2.420751,10855392,2.422148,2081856,632562,566364,0,0,0,0,167292,0,0,exact
Richards,4198,9294,§awfy_richards.richardsscheduler.runtask(),"copy r48,r52",".srcstep 530 530 33 ""awfy_richards.crexx"" 196 5 11 ""    return current_task""",9294,0.016468,0,0.000000,0,0,9294,0,0,0,0,0,0,0,exact
Richards,4201,9294,§awfy_richards.richardsscheduler.runtask(),"copy a1 /* aka r55 */,r51",".srcstep 532 532 6 ""awfy_richards.crexx"" 290 27 45 ""      if pending = 0 then return markWaiting()""",1366218,2.420751,10855392,2.422148,2081856,623268,575658,0,0,0,0,167292,0,0,exact
Richards,3871,2325,§awfy_richards.richardsscheduler.runtask(),"copy a1 /* aka r55 */,r34",".srcstep 487 487 6 ""awfy_richards.crexx"" 274 7 38 ""      return queuePacket(work_packet)""",341775,0.605579,2715600,0.605928,520800,155692,144233,0,0,0,0,41850,0,0,exact
Richards,3323,5007,§awfy_richards.richardsscheduler.runtask(),"copy a1 /* aka r55 */,r15",".srcstep 406 406 6 ""awfy_richards.crexx"" 238 7 24 ""      return release(4)""",736029,1.304143,5848176,1.304895,1121568,351662,294241,0,0,0,0,90126,0,0,exact
Richards,3270,1,§awfy_richards.richardsscheduler.runtask(),"copy r12,r16",".srcstep 398 398 33 ""awfy_richards.crexx"" 192 5 11 ""    return task_link[current_task]""",1,0.000002,0,0.000000,0,0,1,0,0,0,0,0,0,0,exact
Richards,3273,1,§awfy_richards.richardsscheduler.runtask(),"copy a1 /* aka r55 */,r15",".srcstep 400 400 6 ""awfy_richards.crexx"" 235 28 43 ""    if idle_count = 0 then return holdSelf()""",147,0.000260,1168,0.000261,224,70,59,0,0,0,0,18,0,0,exact
Richards,164,1,main(),"copy r2,r10",".srcstep 33 33 33 ""awfy_richards.crexx"" 104 5 11 ""    return queue_packet_count""",1,0.000002,0,0.000000,0,0,1,0,0,0,0,0,0,0,exact
Richards,173,1,main(),"copy r1,r10",".srcstep 36 36 33 ""awfy_richards.crexx"" 107 5 11 ""    return hold_count""",1,0.000002,0,0.000000,0,0,1,0,0,0,0,0,0,0,exact
Towers,8,1,main(),"copy r0,a1 /* aka r33 */",".srcstep 1 1 17 ""awfy_towers.crexx"" 8 5 19 ""arg argv = .string[]""",2,0.000008,10,0.000005,8,0,0,1,0,0,0,1,0,0,exact
Towers,105,10,main(),"copy r5,r6",".srcstep 22 22 33 ""awfy_towers.crexx"" 70 5 11 ""    return""",90,0.000338,640,0.000312,640,80,0,0,0,0,0,10,0,0,exact
Towers,141,140,main(),"copy r8,r13",".srcstep 34 34 33 ""awfy_towers.crexx"" 39 5 11 ""    return""",700,0.002629,4480,0.002184,4480,430,130,0,0,0,0,140,0,0,exact
Towers,874,27380,§awfy_towers.towersbenchmark.pushdisk(),"copy r6,a2 /* aka r15 */",".srcstep 199 199 17 ""awfy_towers.crexx"" 99 7 19 ""      pile0 = disk""",672700,2.526521,5162560,2.516578,876160,229750,281620,0,0,0,0,161330,0,0,exact
Towers,745,27370,§awfy_towers.towersbenchmark.pushdisk(),"copy r3,r6",".srcstep 163 163 17 ""awfy_towers.crexx"" 84 23 34 ""      if has_top then top = pile0""",563170,2.115149,4286400,2.089479,875840,188690,240530,0,0,0,0,133950,0,0,exact
Towers,802,82020,§awfy_towers.towersbenchmark.pushdisk(),"copy r9,a2 /* aka r15 */",".srcstep 180 180 33 ""awfy_towers.crexx"" 95 10 14 ""      if disk.size() >= top.size() then return""",2356140,8.849172,18192960,8.868468,2624640,773530,1014080,0,0,0,0,568530,0,0,exact
Towers,838,81800,§awfy_towers.towersbenchmark.pushdisk(),"lb_346:         copy r11,a2 /* aka r15 */",".srcstep 192 192 33 ""awfy_towers.crexx"" 96 12 16 ""      call disk.setNext(top)""",2349320,8.823557,18140160,8.842729,2617600,771440,1011000,0,0,0,0,566880,0,0,exact
Towers,841,81800,§awfy_towers.towersbenchmark.pushdisk(),"copy r6,r3",".srcstep 193 193 17 ""awfy_towers.crexx"" 52 5 33 ""    next_disk = value as .object""",2025760,7.608333,15551680,7.580931,2617600,649590,890180,0,0,0,0,485990,0,0,exact
Towers,848,81800,§awfy_towers.towersbenchmark.pushdisk(),"copy r7,r6",".srcstep 193 193 17 ""awfy_towers.crexx"" 52 5 33 ""    next_disk = value as .object""",2025760,7.608333,15551680,7.580931,2617600,649590,890180,0,0,0,0,485990,0,0,exact
Towers,860,81800,§awfy_towers.towersbenchmark.pushdisk(),"copy a2 /* aka r15 */,r11",".srcstep 195 195 6 ""awfy_towers.crexx"" 96 12 29 ""      call disk.setNext(top)""",2352960,8.837229,18169280,8.856924,2617600,772350,1012820,0,0,0,0,567790,0,0,exact
Towers,1383,13660,§awfy_towers.towersbenchmark.movedisks(),"copy r15,r6",".srcstep 328 328 17 ""awfy_towers.crexx"" 115 22 33 ""    if pile = 0 then top = pile0""",353740,1.328574,2720640,1.326222,437120,126000,142720,0,0,0,0,85020,0,0,exact
Towers,1430,40960,§awfy_towers.towersbenchmark.movedisks(),"copy r5,r7",".srcstep 341 341 33 ""awfy_towers.crexx"" 45 5 11 ""    return next_disk as .TowersDisk""",1069440,4.016594,8227840,4.010801,1310720,339040,473280,0,0,0,0,257120,0,0,exact
Towers,1449,13660,§awfy_towers.towersbenchmark.movedisks(),"copy r4,r5",".srcstep 343 343 17 ""awfy_towers.crexx"" 120 24 41 ""      if pile = 0 then pile0 = next_disk""",299100,1.123357,2283520,1.113141,437120,98680,129060,0,0,0,0,71360,0,0,exact
Towers,1524,40960,§awfy_towers.towersbenchmark.movedisks(),"lb_5f4:         copy r13,r15",".srcstep 364 364 33 ""awfy_towers.crexx"" 129 12 15 ""    return top""",1233280,4.631943,9538560,4.649733,1310720,420960,514240,0,0,0,0,298080,0,0,exact
Towers,1527,40960,§awfy_towers.towersbenchmark.movedisks(),"copy r12,r13",".srcstep 366 366 33 ""awfy_towers.crexx"" 129 5 11 ""    return top""",1233280,4.631943,9538560,4.649733,1310720,420960,514240,0,0,0,0,298080,0,0,exact
Towers,899,27250,§awfy_towers.towersbenchmark.pushdisk(),"copy r5,a2 /* aka r15 */",".srcstep 201 201 17 ""awfy_towers.crexx"" 103 7 19 ""      pile1 = disk""",850610,3.194714,6586880,3.210887,872000,274000,370770,0,0,0,0,205840,0,0,exact
Towers,1596,13700,§awfy_towers.towersbenchmark.movedisks(),"copy r28,r23",".srcstep 380 380 17 ""awfy_towers.crexx"" 115 22 33 ""    if pile = 0 then top = pile0""",318820,1.197422,2440960,1.189887,438400,103680,138860,0,0,0,0,76280,0,0,exact
Towers,1643,40940,§awfy_towers.towersbenchmark.movedisks(),"copy r22,r24",".srcstep 393 393 33 ""awfy_towers.crexx"" 45 5 11 ""    return next_disk as .TowersDisk""",959460,3.603532,7348160,3.581986,1310080,311510,418320,0,0,0,0,229630,0,0,exact
Towers,1662,13700,§awfy_towers.towersbenchmark.movedisks(),"copy r21,r22",".srcstep 395 395 17 ""awfy_towers.crexx"" 120 24 41 ""      if pile = 0 then pile0 = next_disk""",264020,0.991604,2002560,0.976182,438400,89980,111460,0,0,0,0,62580,0,0,exact
Towers,1737,40940,§awfy_towers.towersbenchmark.movedisks(),"lb_6c9:         copy r26,r28",".srcstep 416 416 33 ""awfy_towers.crexx"" 129 12 15 ""    return top""",1123220,4.218581,8658240,4.220606,1310080,352450,500200,0,0,0,0,270570,0,0,exact
Towers,1740,40940,§awfy_towers.towersbenchmark.movedisks(),"copy r25,r26",".srcstep 418 418 33 ""awfy_towers.crexx"" 129 5 11 ""    return top""",1123220,4.218581,8658240,4.220606,1310080,352450,500200,0,0,0,0,270570,0,0,exact
Towers,917,27200,§awfy_towers.towersbenchmark.pushdisk(),"copy r12,a2 /* aka r15 */",".srcstep 203 203 17 ""awfy_towers.crexx"" 107 7 19 ""      pile2 = disk""",830800,3.120312,6428800,3.133828,870400,268950,360950,0,0,0,0,200900,0,0,exact
Towers,1400,13650,§awfy_towers.towersbenchmark.movedisks(),"copy r15,r4",".srcstep 329 329 17 ""awfy_towers.crexx"" 116 27 38 ""    else if pile = 1 then top = pile1""",444250,1.668511,3444800,1.679226,436800,148600,188000,0,0,0,0,107650,0,0,exact
Towers,1466,13650,§awfy_towers.towersbenchmark.movedisks(),"copy r1,r5",".srcstep 344 344 17 ""awfy_towers.crexx"" 121 29 46 ""      else if pile = 1 then pile1 = next_disk""",389650,1.463444,3008000,1.466301,436800,121300,174350,0,0,0,0,94000,0,0,exact
Towers,794,27290,§awfy_towers.towersbenchmark.pushdisk(),"copy r3,r7",".srcstep 171 171 17 ""awfy_towers.crexx"" 92 23 34 ""      if has_top then top = pile2""",724810,2.722236,5580160,2.720144,873280,228960,321470,0,0,0,0,174380,0,0,exact
Towers,773,27360,§awfy_towers.towersbenchmark.pushdisk(),"copy r3,r7",".srcstep 167 167 17 ""awfy_towers.crexx"" 88 23 34 ""      if has_top then top = pile1""",745040,2.798215,5741440,2.798763,875520,234140,331480,0,0,0,0,179420,0,0,exact
Towers,1410,13650,§awfy_towers.towersbenchmark.movedisks(),"copy r15,r2",".srcstep 330 330 17 ""awfy_towers.crexx"" 117 10 21 ""    else top = pile2""",435290,1.634859,3373120,1.644285,436800,146360,183520,0,0,0,0,105410,0,0,exact
Towers,1476,13650,§awfy_towers.towersbenchmark.movedisks(),"copy r0,r5",".srcstep 345 345 17 ""awfy_towers.crexx"" 122 12 29 ""      else pile2 = next_disk""",380690,1.429792,2936320,1.431359,436800,119060,169870,0,0,0,0,91760,0,0,exact
Towers,1623,13650,§awfy_towers.towersbenchmark.movedisks(),"copy r28,r20",".srcstep 382 382 17 ""awfy_towers.crexx"" 117 10 21 ""    else top = pile2""",398610,1.497096,3079680,1.501242,436800,123540,178830,0,0,0,0,96240,0,0,exact
Towers,1689,13650,§awfy_towers.towersbenchmark.movedisks(),"copy r16,r22",".srcstep 397 397 17 ""awfy_towers.crexx"" 122 12 29 ""      else pile2 = next_disk""",344010,1.292030,2642880,1.288317,436800,109890,151530,0,0,0,0,82590,0,0,exact
Towers,1613,13590,§awfy_towers.towersbenchmark.movedisks(),"copy r28,r21",".srcstep 381 381 17 ""awfy_towers.crexx"" 116 27 38 ""    else if pile = 1 then top = pile1""",405790,1.524063,3137600,1.529476,434880,125230,182510,0,0,0,0,98050,0,0,exact
Towers,1679,13590,§awfy_towers.towersbenchmark.movedisks(),"copy r17,r22",".srcstep 396 396 17 ""awfy_towers.crexx"" 121 29 46 ""      else if pile = 1 then pile1 = next_disk""",351430,1.319898,2702720,1.317487,434880,111640,155330,0,0,0,0,84460,0,0,exact
Towers,202,10,main(),"copy r26,r23",".srcstep 47 47 17 ""awfy_towers.crexx"" 115 22 33 ""    if pile = 0 then top = pile0""",90,0.000338,640,0.000312,320,40,30,0,0,0,0,20,0,0,exact
Towers,222,10,main(),"copy r21,r23",".srcstep 52 52 33 ""awfy_towers.crexx"" 45 5 11 ""    return next_disk as .TowersDisk""",50,0.000188,320,0.000156,320,30,10,0,0,0,0,10,0,0,exact
Towers,234,10,main(),"copy r23,r21",".srcstep 54 54 17 ""awfy_towers.crexx"" 120 24 41 ""      if pile = 0 then pile0 = next_disk""",50,0.000188,320,0.000156,320,30,10,0,0,0,0,10,0,0,exact
Towers,250,10,main(),"lb_fa:          copy r25,r26",".srcstep 59 59 33 ""awfy_towers.crexx"" 129 12 15 ""    return top""",90,0.000338,640,0.000312,320,40,30,0,0,0,0,20,0,0,exact
Towers,253,10,main(),"copy r24,r25",".srcstep 61 61 33 ""awfy_towers.crexx"" 129 5 11 ""    return top""",90,0.000338,640,0.000312,320,40,30,0,0,0,0,20,0,0,exact
Towers,311,10,main(),"copy r2,r9",".srcstep 72 72 33 ""awfy_towers.crexx"" 76 5 11 ""    return moves_done""",10,0.000038,0,0.000000,0,0,10,0,0,0,0,0,0,0,exact
