workload,instruction_index,dynamic_count,dynamic_share_percent,procedure,rxdas_line,instruction,source_step,pre_trace,post_trace,pattern,mapping,vm_count_identity
Richards,3273,1,0.000240,§awfy_richards.richardsscheduler.runtask(),2225,"copy a1 /* aka r55 */,r15",".srcstep 400 400 6 ""awfy_richards.crexx"" 235 28 43 ""    if idle_count = 0 then return holdSelf()""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 15 415 415 0 ""§this"" """"",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 12 415 415 0 ""__inline_leave_1585_1584"" """"","COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)",r1=R55;r2=R15;r3=R19;r4=R12,rxvm=rxbvm
Richards,3323,5007,1.202854,§awfy_richards.richardsscheduler.runtask(),2257,"copy a1 /* aka r55 */,r15",".srcstep 406 406 6 ""awfy_richards.crexx"" 238 7 24 ""      return release(4)""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 15 415 415 0 ""§this"" """"",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 13 415 415 0 ""__inline_leave_1609_1608"" """"","COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)",r1=R55;r2=R15;r3=R19;r4=R13,rxvm=rxbvm
Richards,3360,4992,1.199250,§awfy_richards.richardsscheduler.runtask(),2281,"copy a1 /* aka r55 */,r15",".srcstep 412 412 6 ""awfy_richards.crexx"" 241 5 22 ""    return release(5)""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 15 415 415 0 ""§this"" """"",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 14 415 415 0 ""__inline_leave_1629_1628"" """"","COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)",r1=R55;r2=R15;r3=R19;r4=R14,rxvm=rxbvm
Richards,3377,4654,1.118051,§awfy_richards.richardsscheduler.runtask(),2297,"copy r22,a1 /* aka r55 */",".srcstep 416 416 33 ""awfy_richards.crexx"" 226 37 46 ""      when identity = 1 then return runWorker(message)""",".traceevent ""V"" 6 ""R"" ""O"" ""a"" 1 416 416 0 ""§this"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 22 416 416 0 ""§this"" """"","COPY_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c1)",r1=R22;r2=R55;r3=R19;r4=R1;c1=int:0,rxvm=rxbvm
Richards,3415,2327,0.559026,§awfy_richards.richardsscheduler.runtask(),2331,"copy r20,r23",".srcstep 422 422 33 ""awfy_richards.crexx"" 196 5 11 ""    return current_task""",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 23 422 422 0 ""__inline_ret_715_716"" """"",".traceevent ""A"" 6 ""R"" ""I"" ""r"" 20 422 422 0 ""__inline_leave_1654_1653"" """"","COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4)",r1=R20;r2=R23;r3=R55;r4=R22,rxvm=rxbvm
Richards,3418,2327,0.559026,§awfy_richards.richardsscheduler.runtask(),2335,"copy a1 /* aka r55 */,r22",".srcstep 424 424 6 ""awfy_richards.crexx"" 245 22 40 ""    if work = 0 then return markWaiting()""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 22 462 462 0 ""§this"" """"",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 20 462 462 0 ""__inline_leave_1654_1653"" """"","COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)",r1=R55;r2=R22;r3=R29;r4=R20,rxvm=rxbvm
Richards,3639,2327,0.559026,§awfy_richards.richardsscheduler.runtask(),2479,"copy a1 /* aka r55 */,r22",".srcstep 459 459 6 ""awfy_richards.crexx"" 259 5 29 ""    return queuePacket(work)""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 22 462 462 0 ""§this"" """"",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 21 462 462 0 ""__inline_leave_1740_1739"" """"","COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)",r1=R55;r2=R22;r3=R29;r4=R21,rxvm=rxbvm
Richards,3663,23252,5.585932,§awfy_richards.richardsscheduler.runtask(),2500,"copy r34,a1 /* aka r55 */",".srcstep 463 463 33 ""awfy_richards.crexx"" 227 52 62 ""      when identity = 2 | identity = 3 then return runHandler(identity, message)""",".traceevent ""V"" 6 ""R"" ""O"" ""a"" 1 463 463 0 ""§this"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 34 463 463 0 ""§this"" """"","COPY_REG_REG(r1,r2) | INE_REG_REG_INT(r3,r4,c1)",r1=R34;r2=R55;r3=R29;r4=R1;c1=int:0,rxvm=rxbvm
Richards,3806,2942,0.706770,§awfy_richards.richardsscheduler.runtask(),2595,"copy r30,r46",".srcstep 478 478 33 ""awfy_richards.crexx"" 196 5 11 ""    return current_task""",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 46 478 478 0 ""__inline_ret_715_716"" """"",".traceevent ""A"" 6 ""R"" ""I"" ""r"" 30 478 478 0 ""__inline_leave_1798_1797"" """"","COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4)",r1=R30;r2=R46;r3=R55;r4=R34,rxvm=rxbvm
Richards,3809,2942,0.706770,§awfy_richards.richardsscheduler.runtask(),2599,"copy a1 /* aka r55 */,r34",".srcstep 480 480 6 ""awfy_richards.crexx"" 270 29 47 ""    if work_packet = 0 then return markWaiting()""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 34 521 521 0 ""§this"" """"",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 30 521 521 0 ""__inline_leave_1798_1797"" """"","COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)",r1=R55;r2=R34;r3=R45;r4=R30,rxvm=rxbvm
Richards,3871,2325,0.558545,§awfy_richards.richardsscheduler.runtask(),2641,"copy a1 /* aka r55 */,r34",".srcstep 487 487 6 ""awfy_richards.crexx"" 274 7 38 ""      return queuePacket(work_packet)""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 34 521 521 0 ""§this"" """"",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 31 521 521 0 ""__inline_leave_1824_1823"" """"","COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)",r1=R55;r2=R34;r3=R45;r4=R31,rxvm=rxbvm
Richards,3927,8685,2.086436,§awfy_richards.richardsscheduler.runtask(),2683,"copy r32,r47",".srcstep 496 496 33 ""awfy_richards.crexx"" 196 5 11 ""    return current_task""",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 47 496 496 0 ""__inline_ret_715_716"" """"",".traceevent ""A"" 6 ""R"" ""I"" ""r"" 32 496 496 0 ""__inline_leave_1845_1844"" """"","COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4)",r1=R32;r2=R47;r3=R55;r4=R34,rxvm=rxbvm
Richards,3930,8685,2.086436,§awfy_richards.richardsscheduler.runtask(),2687,"copy a1 /* aka r55 */,r34",".srcstep 498 498 6 ""awfy_richards.crexx"" 277 31 49 ""    if device_packet = 0 then return markWaiting()""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 34 521 521 0 ""§this"" """"",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 32 521 521 0 ""__inline_leave_1845_1844"" """"","COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)",r1=R55;r2=R34;r3=R45;r4=R32,rxvm=rxbvm
Richards,4116,9300,2.234181,§awfy_richards.richardsscheduler.runtask(),2798,"copy a1 /* aka r55 */,r34",".srcstep 518 518 6 ""awfy_richards.crexx"" 284 5 38 ""    return queuePacket(device_packet)""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 34 521 521 0 ""§this"" """"",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 33 521 521 0 ""__inline_leave_1900_1899"" """"","COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)",r1=R55;r2=R34;r3=R45;r4=R33,rxvm=rxbvm
Richards,4140,27884,6.698698,§awfy_richards.richardsscheduler.runtask(),2819,"copy r51,a1 /* aka r55 */",".srcstep 522 522 33 ""awfy_richards.crexx"" 228 52 61 ""      when identity = 4 | identity = 5 then return runDevice(identity, message)""",".traceevent ""V"" 6 ""R"" ""O"" ""a"" 1 522 522 0 ""§this"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 51 522 522 0 ""§this"" """"","COPY_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c1)",r1=R51;r2=R55;r3=R45;r4=R1;c1=int:0,rxvm=rxbvm
Richards,4198,9294,2.232739,§awfy_richards.richardsscheduler.runtask(),2870,"copy r48,r52",".srcstep 530 530 33 ""awfy_richards.crexx"" 196 5 11 ""    return current_task""",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 52 530 530 0 ""__inline_ret_715_716"" """"",".traceevent ""A"" 6 ""R"" ""I"" ""r"" 48 530 530 0 ""__inline_leave_1937_1936"" """"","COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4)",r1=R48;r2=R52;r3=R55;r4=R51,rxvm=rxbvm
Richards,4201,9294,2.232739,§awfy_richards.richardsscheduler.runtask(),2874,"copy a1 /* aka r55 */,r51",".srcstep 532 532 6 ""awfy_richards.crexx"" 290 27 45 ""      if pending = 0 then return markWaiting()""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 51 553 553 0 ""§this"" """"",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 48 553 553 0 ""__inline_leave_1937_1936"" """"","COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)",r1=R55;r2=R51;r3=R45;r4=R48,rxvm=rxbvm
Richards,4230,9294,2.232739,§awfy_richards.richardsscheduler.runtask(),2895,"copy a1 /* aka r55 */,r51",".srcstep 538 538 6 ""awfy_richards.crexx"" 292 7 34 ""      return queuePacket(pending)""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 51 553 553 0 ""§this"" """"",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 49 553 553 0 ""__inline_leave_1944_1943"" """"","COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)",r1=R55;r2=R51;r3=R45;r4=R49,rxvm=rxbvm
Richards,4306,9296,2.233220,§awfy_richards.richardsscheduler.runtask(),2943,"copy r50,r53",".srcstep 548 548 33 ""awfy_richards.crexx"" 192 5 11 ""    return task_link[current_task]""",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 53 548 548 0 ""__inline_ret_707_708"" """"",".traceevent ""A"" 6 ""R"" ""I"" ""r"" 50 548 548 0 ""__inline_leave_1970_1969"" """"","COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4)",r1=R50;r2=R53;r3=R55;r4=R51,rxvm=rxbvm
Richards,4309,9296,2.233220,§awfy_richards.richardsscheduler.runtask(),2947,"copy a1 /* aka r55 */,r51",".srcstep 550 550 6 ""awfy_richards.crexx"" 295 5 20 ""    return holdSelf()""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 51 553 553 0 ""§this"" """"",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 50 553 553 0 ""__inline_leave_1970_1969"" """"","COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)",r1=R55;r2=R51;r3=R45;r4=R50,rxvm=rxbvm
Richards,6630,106604,25.609955,§awfy_richards.richardsscheduler.schedule(),4619,"copy r5,a1 /* aka r14 */",".srcstep 922 922 33 ""awfy_richards.crexx"" 300 10 28 ""      if isHoldingOrWaiting(current_task) then current_task = task_link[current_task]""",".traceevent ""V"" 6 ""R"" ""O"" ""a"" 1 922 922 0 ""§this"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 5 922 922 0 ""§this"" """"","COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1)",r1=R5;r2=R14;r3=R2;c1=int:2,rxvm=rxbvm
Towers,8,1,0.000102,main(),30,"copy r0,a1 /* aka r33 */",".srcstep 1 1 17 ""awfy_towers.crexx"" 8 5 19 ""arg argv = .string[]""",,,"COPY_REG_REG(r1,r2) | BR_ID(c1)",r1=R0;r2=R33;c1=label@16,rxvm=rxbvm
Towers,105,10,0.001018,main(),107,"copy r5,r6",".srcstep 22 22 33 ""awfy_towers.crexx"" 70 5 11 ""    return""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 6 22 22 0 ""§factory"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 5 22 22 0 ""benchmark"" """"","COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1)",r1=R5;r2=R6;r3=R7;c1=int:13,rxvm=rxbvm
Towers,141,140,0.014245,main(),148,"copy r8,r13",".srcstep 34 34 33 ""awfy_towers.crexx"" 39 5 11 ""    return""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 13 34 34 0 ""§factory"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 8 34 34 0 ""disk"" """"","COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1)",r1=R8;r2=R13;r3=R17;c1=int:0,rxvm=rxbvm
Towers,202,10,0.001018,main(),200,"copy r26,r23",".srcstep 47 47 17 ""awfy_towers.crexx"" 115 22 33 ""    if pile = 0 then top = pile0""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 23 47 47 0 ""pile0"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 26 47 47 0 ""top"" """"","COPY_REG_REG(r1,r2) | UNLINK_REG(r2)",r1=R26;r2=R23,rxvm=rxbvm
Towers,222,10,0.001018,main(),221,"copy r21,r23",".srcstep 52 52 33 ""awfy_towers.crexx"" 45 5 11 ""    return next_disk as .TowersDisk""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 23 52 52 0 ""next_disk"" """"",,"COPY_REG_REG(r1,r2) | ASSERTTYPE_REG_STRING(r1,c1)",r1=R21;r2=R23;c1=string@10,rxvm=rxbvm
Towers,234,10,0.001018,main(),228,"copy r23,r21",".srcstep 54 54 17 ""awfy_towers.crexx"" 120 24 41 ""      if pile = 0 then pile0 = next_disk""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 21 54 54 0 ""next_disk"" """"",,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1)",r1=R23;r2=R21,rxvm=rxbvm
Towers,250,10,0.001018,main(),238,"lb_fa:          copy r25,r26",".srcstep 59 59 33 ""awfy_towers.crexx"" 129 12 15 ""    return top""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 26 59 59 0 ""top"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 25 59 59 0 ""__inline_ret_362_363"" """"","COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1)",r1=R25;r2=R26;r3=R24,rxvm=rxbvm
Towers,253,10,0.001018,main(),244,"copy r24,r25",".srcstep 61 61 33 ""awfy_towers.crexx"" 129 5 11 ""    return top""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 25 61 61 0 ""__inline_ret_362_363"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 24 61 61 0 ""disk"" """"","COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1)",r1=R24;r2=R25;r3=R23;c1=int:1,rxvm=rxbvm
Towers,311,10,0.001018,main(),286,"copy r2,r9",".srcstep 72 72 33 ""awfy_towers.crexx"" 76 5 11 ""    return moves_done""",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 9 72 72 0 ""__inline_ret_188_189"" """"",".traceevent ""A"" 6 ""R"" ""I"" ""r"" 2 72 72 0 ""result"" """"","COPY_REG_REG(r1,r2) | INE_REG_REG_INT(r3,r2,c1)",r1=R2;r2=R9;r3=R31;c1=int:8191,rxvm=rxbvm
Towers,745,27370,2.784954,§awfy_towers.towersbenchmark.pushdisk(),665,"copy r3,r6",".srcstep 163 163 17 ""awfy_towers.crexx"" 84 23 34 ""      if has_top then top = pile0""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 6 163 163 0 ""pile0"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 3 163 163 0 ""top"" """"","COPY_REG_REG(r1,r2) | UNLINK_REG(r2)",r1=R3;r2=R6,rxvm=rxbvm
Towers,773,27360,2.783937,§awfy_towers.towersbenchmark.pushdisk(),687,"copy r3,r7",".srcstep 167 167 17 ""awfy_towers.crexx"" 88 23 34 ""      if has_top then top = pile1""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 7 167 167 0 ""pile1"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 3 167 167 0 ""top"" """"","COPY_REG_REG(r1,r2) | UNLINK_REG(r2)",r1=R3;r2=R7,rxvm=rxbvm
Towers,794,27290,2.776814,§awfy_towers.towersbenchmark.pushdisk(),703,"copy r3,r7",".srcstep 171 171 17 ""awfy_towers.crexx"" 92 23 34 ""      if has_top then top = pile2""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 7 171 171 0 ""pile2"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 3 171 171 0 ""top"" """"","COPY_REG_REG(r1,r2) | UNLINK_REG(r2)",r1=R3;r2=R7,rxvm=rxbvm
Towers,802,82020,8.345705,§awfy_towers.towersbenchmark.pushdisk(),716,"copy r9,a2 /* aka r15 */",".srcstep 180 180 33 ""awfy_towers.crexx"" 95 10 14 ""      if disk.size() >= top.size() then return""",".traceevent ""V"" 6 ""R"" ""O"" ""a"" 2 180 180 0 ""disk"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 9 180 180 0 ""§this"" """"","COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1)",r1=R9;r2=R15;r3=R7;c1=int:1,rxvm=rxbvm
Towers,838,81800,8.323319,§awfy_towers.towersbenchmark.pushdisk(),746,"lb_346:         copy r11,a2 /* aka r15 */",".srcstep 192 192 33 ""awfy_towers.crexx"" 96 12 16 ""      call disk.setNext(top)""",".traceevent ""V"" 6 ""R"" ""O"" ""a"" 2 192 192 0 ""disk"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 11 192 192 0 ""§this"" """"","COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4)",r1=R11;r2=R15;r3=R6;r4=R3,rxvm=rxbvm
Towers,841,81800,8.323319,§awfy_towers.towersbenchmark.pushdisk(),750,"copy r6,r3",".srcstep 193 193 17 ""awfy_towers.crexx"" 52 5 33 ""    next_disk = value as .object""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 3 193 193 0 ""top"" """"",,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1)",r1=R6;r2=R3;r3=R7;r4=R11;c1=int:3,rxvm=rxbvm
Towers,848,81800,8.323319,§awfy_towers.towersbenchmark.pushdisk(),752,"copy r7,r6",".srcstep 193 193 17 ""awfy_towers.crexx"" 52 5 33 ""    next_disk = value as .object""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 3 193 193 0 ""top"" """"",,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1)",r1=R7;r2=R6,rxvm=rxbvm
Towers,860,81800,8.323319,§awfy_towers.towersbenchmark.pushdisk(),760,"copy a2 /* aka r15 */,r11",".srcstep 195 195 6 ""awfy_towers.crexx"" 96 12 29 ""      call disk.setNext(top)""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 11 0 0 0 ""§this"" """"",".traceevent ""V"" 6 ""R"" ""I"" ""a"" 3 208 208 0 ""pile"" """"","COPY_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c1)",r1=R15;r2=R11;r3=R7;r4=R16;c1=int:0,rxvm=rxbvm
Towers,874,27380,2.785972,§awfy_towers.towersbenchmark.pushdisk(),770,"copy r6,a2 /* aka r15 */",".srcstep 199 199 17 ""awfy_towers.crexx"" 99 7 19 ""      pile0 = disk""",".traceevent ""V"" 6 ""R"" ""O"" ""a"" 2 199 199 0 ""disk"" """"",,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1)",r1=R6;r2=R15,rxvm=rxbvm
Towers,899,27250,2.772744,§awfy_towers.towersbenchmark.pushdisk(),786,"copy r5,a2 /* aka r15 */",".srcstep 201 201 17 ""awfy_towers.crexx"" 103 7 19 ""      pile1 = disk""",".traceevent ""V"" 6 ""R"" ""O"" ""a"" 2 201 201 0 ""disk"" """"",,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1)",r1=R5;r2=R15,rxvm=rxbvm
Towers,917,27200,2.767656,§awfy_towers.towersbenchmark.pushdisk(),796,"copy r12,a2 /* aka r15 */",".srcstep 203 203 17 ""awfy_towers.crexx"" 107 7 19 ""      pile2 = disk""",".traceevent ""V"" 6 ""R"" ""O"" ""a"" 2 203 203 0 ""disk"" """"",,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1)",r1=R12;r2=R15,rxvm=rxbvm
Towers,1383,13660,1.389933,§awfy_towers.towersbenchmark.movedisks(),1213,"copy r15,r6",".srcstep 328 328 17 ""awfy_towers.crexx"" 115 22 33 ""    if pile = 0 then top = pile0""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 6 328 328 0 ""pile0"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 15 328 328 0 ""top"" """"","COPY_REG_REG(r1,r2) | UNLINKBR_REG_ID(r2,c1)",r1=R15;r2=R6;c1=label@1415,rxvm=rxbvm
