module,procedure,null_delta,endlife_delta,copies_delta,unlink_delta,reference_ops_delta
_address,find_sandbox_key_index(),0,-3,0,0,0
_address,find_normalized_sandbox_key_index(),0,-1,0,0,0
_address,dispatch_address_request(),0,-7,0,0,0
_address,execute_system_command(),0,-4,0,0,0
_address,_address_unknown_command_response(),0,-2,0,0,0
_address,_address_normalize_environment_name(),0,-2,0,0,0
_address,_address_normalize_command(),0,-2,0,0,0
_address,_address_first_chars(),0,-2,0,0,0
_address,spawn_request(),0,-5,0,0,0
_rxsystem,_open(),0,-1,0,0,0
_jdn,_close(),0,-1,0,0,0
_jdn,_jdn(),0,-12,0,0,0
_jdn,_datevalid(),0,-3,0,0,0
_jdn,_daysinmonth(),0,-1,0,0,0
_jdn,_dateformat(),0,-175,0,0,0
_datei,_datefromjdn(),0,-2,0,0,0
_datei,_datei(),0,-74,0,0,0
_datei,_date_separated(),0,-12,0,0,0
_datei,_date_named(),0,-252,0,0,0
_datei,_date_month_number(),0,-84,0,0,0
_datei,_date_weekday_number(),0,-49,0,0,0
_dateo,_date_unsigned_span(),0,-1,0,0,0
_ftrunc,_dateo(),0,-132,0,0,0
abbrev,_typedformat(),0,-22,0,0,0
b2d,b2x(),0,-2,0,0,0
binary,b2d(),0,-2,0,0,0
binary,binpos(),0,-2,0,0,0
binary,bincompare(),0,-4,0,0,0
binary,binfillat(),0,-2,0,0,0
binary,binmakegap(),0,-2,0,0,0
binary,bin2x(),0,-5,0,0,0
c2x,x2bin(),0,-7,0,0,0
c2d,c2x(),0,-1,0,0,0
d2c,d2b(),0,-1,0,0,0
date,d2x(),0,-1,0,0,0
fileio,delword(),0,-5,0,0,0
fileio,lineout(),0,-3,0,0,0
fileio,linein(),0,-5,0,0,0
fileio,lines(),0,-7,0,0,0
fileio,charin(),0,-4,0,0,0
fileio,charout(),0,-1,0,0,0
fileio,_execio(),0,-5,0,0,0
fileio,readlines(),0,-4,0,0,0
fileio,loadtext(),0,-4,0,0,0
fileio,find_line_pending(),0,-1,0,0,0
fileio,set_line_pending(),0,-1,0,0,0
filter,clear_line_pending(),0,-1,0,0,0
intformat,format(),0,-22,0,0,0
intmax,max(),0,-1,0,0,0
floatmax,intmax(),0,-1,0,0,0
min,floatmax(),0,-1,0,0,0
intmin,min(),0,-1,0,0,0
floatmin,intmin(),0,-1,0,0,0
numeric,floatmin(),0,-1,0,0,0
qscan,qscan_outside_matches(),0,-2,0,0,0
qscan,qscan_safe_matches(),0,-7,0,0,0
qscan,qscan_pair_spans(),0,-3,0,0,0
qscan,qscan_line_comment_spans(),0,-4,0,0,0
qpos,qscan_word_spans(),0,-4,0,0,0
qsplitsafe,qsplit(),0,-27,0,0,0
qextractall,qsplitsafe(),0,-27,0,0,0
qextractpair,qextractall(),0,-39,0,0,0
qstripcomment,qextractpair(),0,-37,0,0,0
qremoveall,qstripcomment(),0,-48,0,0,0
fsayfmt,qremoveall(),0,-38,0,0,0
fsayfmt,fsayfmt(),0,-150,0,0,0
fsayfmt,_fsay_decode_template(),0,-23,0,0,0
fsayfmt,_fsay_placeholder(),0,-117,0,0,0
lastpos,_fsay_format(),0,-58,0,0,0
signal,§rxfnsb.standard_signal.code(),0,-2,0,0,0
signal,§rxfnsb.runtime_signal.code(),0,-2,0,0,0
signal,_signal_metadata_string(),0,-2,0,0,0
trace,_signal_metadata_int(),0,-2,0,0,0
trace,§rxfnsb.tracecontext.closest_source_line(),0,-7,0,0,0
trace,§rxfnsb.tracecontroller.suppress_namespace(),0,-48,0,0,0
trace,§rxfnsb.tracecontroller.unsuppress_namespace(),0,-48,0,0,0
trace,§rxfnsb.tracecontroller.namespace_is_suppressed(),0,-72,0,0,0
trace,§rxfnsb.tracecontroller.add_suppressed_namespace(),0,-51,0,0,0
trace,§rxfnsb.tracecontroller.add_included_namespace(),0,-51,0,0,0
trace,§rxfnsb.tracecontroller.remove_suppressed_namespace(),0,-49,0,0,0
trace,§rxfnsb.tracecontroller.remove_included_namespace(),0,-49,0,0,0
trace,§rxfnsb.tracecontroller.namespace_list_contains(),0,-1,0,0,0
trace,§rxfnsb.tracecontroller.namespace_list_matches(),0,-10,0,0,0
trace,§rxfnsb.tracecontroller.context_from_interrupt(),0,-5,0,0,0
trace,§rxfnsb.tracecontroller.should_trace(),0,-3,0,0,0
trace,§rxfnsb.tracecontroller.should_trace_module(),0,-2,0,0,0
trace,§rxfnsb.tracecontroller.closest_source_line(),0,-7,0,0,0
trace,§rxfnsb.tracecontroller.load_library(),0,-2,0,0,0
trace,§rxfnsb.tracecontroller.capture_result_target(),0,-4,0,0,0
trace,_trace_set(),0,-2,0,0,0
trace,_trace_set_from_env(),0,-19,0,0,0
trace,_trace_context_from_raw(),0,-5,0,0,0
trace,_trace_should_trace_module(),0,-3,0,0,0
trace,_trace_should_trace_context(),0,-5,0,0,0
trace,_trace_normalize_mode(),0,-134,0,0,0
trace,_trace_is_signed_integer(),0,-48,0,0,0
trace,_trace_command_before(),0,-8,0,0,0
trace,_trace_command_after(),0,-13,0,0,0
trace,_trace_event_visible_in_mode(),0,-8,0,0,0
trace,_trace_escape_text(),0,-1,0,0,0
trace,_trace_write_line(),0,-1,0,0,0
trace,_trace_exact_source(),0,-1,0,0,0
trace,_trace_exact_source_file(),0,-1,0,0,0
trace,_trace_procedure_name(),0,-2,0,0,0
trace,_trace_asm_line(),0,-69,0,0,0
trace,_trace_operand_description(),0,-23,0,0,0
trace,_trace_normalize_namespace(),0,-46,0,0,0
trace,_trace_is_trace_runtime(),0,-86,0,0,0
sign,_trace_find_proc(),0,-2,0,0,0
time,symbol(),0,-16,0,0,0
translate,time(),0,-8,0,0,0
trunc,translate(),0,-1,0,0,0
verify,value(),0,-5,0,0,0
version,verify(),0,-2,0,0,0
qword,wordpos(),0,-1,0,0,0
qwordlength,qword(),0,-14,0,0,0
qwords,qwordlength(),0,-1,0,0,0
qwordpos,qwordindex(),0,-1,0,0,0
qsubword,qwordpos(),0,-33,0,0,0
regex,qsubword(),0,-13,0,0,0
regex,regexmatch(),0,-97,0,0,0
regex,__regexmatch(),0,-92,0,0,0
regex,regexfind(),0,-350,0,0,0
regex,regexsplit(),0,-53,0,0,0
regex,regexreplace(),0,-29,0,0,0
regex,regexreplace_limit(),0,-29,0,0,0
regex,regexfindall(),0,-27,0,0,0
regex,regextest(),0,-110,0,0,0
regex,regexsubstr(),0,-13,0,0,0
regex,__expandrepl(),0,-40,0,0,0
regex,__matchhere(),0,-607,0,0,0
regex,__matchstar(),0,-210,0,0,0
regex,__matchone(),0,-74,0,0,0
regex,__escapepredicate(),0,-9,0,0,0
regex,__readclass(),0,-93,0,0,0
regex,__classhas(),0,-100,0,0,0
regex,__matchstarlazy(),0,-198,0,0,0
x2b,__altsplit(),0,-38,0,0,0
x2c,x2b(),0,-1,0,0,0
random,x2d(),0,-26,0,0,0
random,§rxfnsb.rexxrandomstate.bounded(),0,-1,0,0,0
reradix,random(),0,-3,0,0,0
sequence,reradix(),0,-11,0,0,0
parsecompile,parsecompile(),0,-63,0,0,0
parsecompile,_validate_legacy_template(),0,-76,0,0,0
parsestring,_validate_legacy_segment(),0,-31,0,0,0
parsestring,parsestring(),0,-40,0,0,0
parsestring,_validate_legacy_plan(),0,-30,0,0,0
datatype,parse(),0,-8,0,0,0
datatype,datatype(),0,-63,0,0,0
arrayfind,_datatype_number(),0,-2,0,0,0
splice,arrayfind(),0,-4,0,0,0
arrayinsert,splice(),0,-1,0,0,0
arraypop,objectarraymove(),0,-3,0,0,0
arraycontains,arrayset(),0,-4,0,0,0
arrayindexof,arraycontains(),0,-5,0,0,0
arrayreverse,arrayindexof(),0,-5,0,0,0
arrayjoin,arrayreverse(),0,-1,0,0,0
arraysort,arrayjoin(),0,-2,0,0,0
arraycopy,arraysort(),0,-13,0,0,0
fmtmask,fmtmask(),0,-58,0,0,0
fmtmask,readnummask(),0,-14,0,0,0
compilemask,fmtnummask(),0,-160,0,0,0
compilemask,compilemask(),0,-112,0,0,0
runmask,readnummaskinfo(),0,-24,0,0,0
runmask,runmask(),0,-53,0,0,0
parseExec,fmtnummaskinfo(),0,-38,0,0,0
parseExec,parseexec(),0,-179,0,0,0
parseExec,_stream_next_item(),0,-14,0,0,0
parseExec,_finalize_numeric(),0,-18,0,0,0
parseExec,_stream_span(),0,-4,0,0,0
stem,_stream_tail(),0,-7,0,0,0
stem,§rxfnsb.stem.hash(),0,-1,0,0,0
stem,§rxfnsb.stem.get(),0,-1,0,0,0
stem,§rxfnsb.stem.set(),0,-1,0,0,0
stem,§rxfnsb.stem.tails(),0,-1,0,0,0
stem,§rxfnsb.stem.values(),0,-1,0,0,0
stem,§rxfnsb.stemiterator.§factory(),0,-2,0,0,0
stem,§rxfnsb.stemiterator.value(),0,-1,0,0,0
rxjson,jsonvalid(),0,-1,0,0,0
rxjson,jsontype(),0,-7,0,0,0
rxjson,jsonget(),0,-6,0,0,0
rxjson,jsoncount(),0,-32,0,0,0
rxjson,jsonmembers(),0,-39,0,0,0
rxjson,jsonquote(),0,-40,0,0,0
rxjson,jsonunquote(),0,-13,0,0,0
rxjson,jsonarray(),0,-9,0,0,0
rxjson,jsonobject(),0,-51,0,0,0
rxjson,_json_find(),0,-114,0,0,0
rxjson,_json_parse_path(),0,-109,0,0,0
rxjson,_json_parse_value(),0,-35,0,0,0
rxjson,_json_parse_object(),0,-31,0,0,0
rxjson,_json_parse_array(),0,-5,0,0,0
rxjson,_json_scan_string(),0,-11,0,0,0
rxjson,_json_object_count(),0,-17,0,0,0
rxjson,_json_object_members(),0,-19,0,0,0
rxsocket,_json_unquote_binary(),0,-25,0,0,0
rxhttp,§rxhttp.http.send(),0,-29,0,0,0
rxhttp,§rxhttp.http.sendwithheaders(),0,-25,0,0,0
rxhttp,§rxhttp.http.post(),0,-3,0,0,0
rxhttp,§rxhttp.http.postwithheaders(),0,-27,0,0,0
rxhttp,§rxhttp.http.buildrequest(),0,-25,0,0,0
rxhttp,§rxhttp.http.buildrequestwithheaders(),0,-19,0,0,0
rxhttp,§rxhttp.http.extractbody(),0,-104,0,0,0
rxhttp,§rxhttp.http.header(),0,-79,0,0,0
rxhttp,§rxhttp.http._send(),0,-49,0,0,0
rxhttp,§rxhttp.http._read_response(),0,-8,0,0,0
rxhttp,§rxhttp.http._has_complete_body(),0,-207,0,0,0
rxhttp,§rxhttp.http._content_length(),0,-80,0,0,0
rxhttp,§rxhttp.http._is_chunked(),0,-64,0,0,0
rxhttp,§rxhttp.http._header_value(),0,-75,0,0,0
rxhttp,§rxhttp.http._decode_chunked_body(),0,-142,0,0,0
rxhttp,§rxhttp.http._chunked_complete(),0,-142,0,0,0
rxhttp,§rxhttp.http._byte_length(),0,-16,0,0,0
rxhttp,§rxhttp.http._take_bytes(),0,-18,0,0,0
rxhttp,§rxhttp.http._hex_to_int(),0,-34,0,0,0
rxhttp,§rxhttp.http._hex_digit_value(),0,-14,0,0,0
rxhttp,§rxhttp.http._parse_status(),0,-19,0,0,0
/Users/adrian/CLionProjects/CREXX/lib/rxfnsb/rxas/_elapsed,wordrep(),0,-100,0,0,0
