phase,vm,round,position,variant,cps,effective_count,calibrated,pass
record,rxtvm,47,2,E,42785581,500,1,1
record,rxbvm,47,1,C,45249688,500,1,1
record,rxbvm,47,2,E,45150233,500,1,1
record,rxbvm,48,1,E,45488496,500,1,1
record,rxbvm,48,2,C,45737243,500,1,1
record,rxtvm,48,1,E,42869624,500,1,1
record,rxtvm,48,2,C,43164847,500,1,1
record,rxtvm,49,1,C,43104935,500,1,1
record,rxtvm,49,2,E,42261712,500,1,1
record,rxbvm,49,1,C,45080094,500,1,1
record,rxbvm,49,2,E,44835329,500,1,1
record,rxbvm,50,1,E,44791268,500,1,1
record,rxbvm,50,2,C,45011550,500,1,1
record,rxtvm,50,1,E,42291917,500,1,1
record,rxtvm,50,2,C,42794773,500,1,1
record,rxtvm,51,1,C,42795505,500,1,1
record,rxtvm,51,2,E,42373241,500,1,1
record,rxbvm,51,1,C,45660516,500,1,1
record,rxbvm,51,2,E,45316659,500,1,1
record,rxbvm,52,1,E,45357604,500,1,1
record,rxbvm,52,2,C,45185691,500,1,1
record,rxtvm,52,1,E,43046189,500,1,1
record,rxtvm,52,2,C,43001579,500,1,1
record,rxtvm,53,1,C,42984426,500,1,1
record,rxtvm,53,2,E,42664409,500,1,1
record,rxbvm,53,1,C,44585573,500,1,1
record,rxbvm,53,2,E,45078631,500,1,1
record,rxbvm,54,1,E,40964770,500,1,1
record,rxbvm,54,2,C,45293424,500,1,1
record,rxtvm,54,1,E,42711241,500,1,1
record,rxtvm,54,2,C,42655783,500,1,1
record,rxtvm,55,1,C,43056754,500,1,1
record,rxtvm,55,2,E,42878227,500,1,1
record,rxbvm,55,1,C,45548209,500,1,1
record,rxbvm,55,2,E,45305778,500,1,1
record,rxbvm,56,1,E,44852221,500,1,1
record,rxbvm,56,2,C,44952508,500,1,1
record,rxtvm,56,1,E,43117090,500,1,1
record,rxtvm,56,2,C,42798289,500,1,1
record,rxtvm,57,1,C,42756092,500,1,1
record,rxtvm,57,2,E,42598473,500,1,1
record,rxbvm,57,1,C,45497561,500,1,1
record,rxbvm,57,2,E,44041921,500,1,1
record,rxbvm,58,1,E,45614778,500,1,1
record,rxbvm,58,2,C,45162386,500,1,1
record,rxtvm,58,1,E,42615174,500,1,1
record,rxtvm,58,2,C,42292454,500,1,1
record,rxtvm,59,1,C,42783091,500,1,1
record,rxtvm,59,2,E,42732742,500,1,1
record,rxbvm,59,1,C,45455703,500,1,1
record,rxbvm,59,2,E,45477036,500,1,1
record,rxbvm,60,1,E,45400560,500,1,1
record,rxbvm,60,2,C,38558320,500,1,1
record,rxtvm,60,1,E,42789792,500,1,1
record,rxtvm,60,2,C,43400781,500,1,1
record,rxtvm,61,1,C,42489584,500,1,1
record,rxtvm,61,2,E,42554025,500,1,1
record,rxbvm,61,1,C,45251735,500,1,1
record,rxbvm,61,2,E,45652761,500,1,1
record,rxbvm,62,1,E,45680206,500,1,1
record,rxbvm,62,2,C,45402374,500,1,1
record,rxtvm,62,1,E,42582256,500,1,1
record,rxtvm,62,2,C,42972050,500,1,1
record,rxtvm,63,1,C,42968690,500,1,1
record,rxtvm,63,2,E,42977628,500,1,1
record,rxbvm,63,1,C,44711921,500,1,1
record,rxbvm,63,2,E,45260256,500,1,1
record,rxbvm,64,1,E,44572576,500,1,1
record,rxbvm,64,2,C,44672333,500,1,1
record,rxtvm,64,1,E,42914661,500,1,1
record,rxtvm,64,2,C,42935150,500,1,1
record,rxtvm,65,1,C,42809685,500,1,1
record,rxtvm,65,2,E,42744030,500,1,1
record,rxbvm,65,1,C,45209101,500,1,1
record,rxbvm,65,2,E,45447439,500,1,1
record,rxbvm,66,1,E,45623560,500,1,1
record,rxbvm,66,2,C,45397139,500,1,1
record,rxtvm,66,1,E,42702122,500,1,1
record,rxtvm,66,2,C,42568625,500,1,1
record,rxtvm,67,1,C,40989789,500,1,1
record,rxtvm,67,2,E,43007941,500,1,1
record,rxbvm,67,1,C,45307748,500,1,1
record,rxbvm,67,2,E,44612346,500,1,1
record,rxbvm,68,1,E,45017548,500,1,1
record,rxbvm,68,2,C,44828656,500,1,1
record,rxtvm,68,1,E,42426094,500,1,1
record,rxtvm,68,2,C,42941824,500,1,1
record,rxtvm,69,1,C,42867382,500,1,1
record,rxtvm,69,2,E,42182880,500,1,1
record,rxbvm,69,1,C,45347443,500,1,1
record,rxbvm,69,2,E,44954084,500,1,1
record,rxbvm,70,1,E,45696404,500,1,1
record,rxbvm,70,2,C,45292153,500,1,1
record,rxtvm,70,1,E,42490848,500,1,1
record,rxtvm,70,2,C,43120362,500,1,1
record,rxtvm,71,1,C,43093121,500,1,1
record,rxtvm,71,2,E,42605333,500,1,1
record,rxbvm,71,1,C,45367440,500,1,1
record,rxbvm,71,2,E,45176301,500,1,1
record,rxbvm,72,1,E,44315555,500,1,1
record,rxbvm,72,2,C,45043828,500,1,1
record,rxtvm,72,1,E,43073668,500,1,1
record,rxtvm,72,2,C,42848243,500,1,1
record,rxtvm,73,1,C,42738623,500,1,1
record,rxtvm,73,2,E,42816467,500,1,1
record,rxbvm,73,1,C,45717003,500,1,1
record,rxbvm,73,2,E,45445291,500,1,1
record,rxbvm,74,1,E,45531577,500,1,1
record,rxbvm,74,2,C,45028737,500,1,1
record,rxtvm,74,1,E,42313821,500,1,1
record,rxtvm,74,2,C,43070217,500,1,1
record,rxtvm,75,1,C,42873006,500,1,1
record,rxtvm,75,2,E,42852796,500,1,1
record,rxbvm,75,1,C,44509369,500,1,1
record,rxbvm,75,2,E,44853146,500,1,1
record,rxbvm,76,1,E,44926859,500,1,1
record,rxbvm,76,2,C,45701667,500,1,1
record,rxtvm,76,1,E,42865140,500,1,1
record,rxtvm,76,2,C,42782250,500,1,1
record,rxtvm,77,1,C,42936035,500,1,1
record,rxtvm,77,2,E,42468183,500,1,1
record,rxbvm,77,1,C,45286984,500,1,1
record,rxbvm,77,2,E,44929524,500,1,1
record,rxbvm,78,1,E,45200028,500,1,1
record,rxbvm,78,2,C,45230326,500,1,1
record,rxtvm,78,1,E,42826699,500,1,1
record,rxtvm,78,2,C,42796274,500,1,1
record,rxtvm,79,1,C,42736504,500,1,1
record,rxtvm,79,2,E,42658513,500,1,1
record,rxbvm,79,1,C,44942932,500,1,1
record,rxbvm,79,2,E,45278248,500,1,1
record,rxbvm,80,1,E,45739168,500,1,1
record,rxbvm,80,2,C,45016737,500,1,1
record,rxtvm,80,1,E,43059795,500,1,1
record,rxtvm,80,2,C,43012418,500,1,1
