sequence,vm_mode,phase,round,position,cell,vm_binary,image,library,native_cps,process_real_s,effective_count,pass,started_utc,ended_utc,stdout,stderr
60,rxbvm,recorded,9,3,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1180176,8.49,100,1,2026-07-19T20:35:37Z,2026-07-19T20:35:45Z,raw/060-rxbvm-recorded-r09-p3-cellA.stdout.txt,raw/060-rxbvm-recorded-r09-p3-cellA.stderr.txt
61,rxbvm,recorded,10,1,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/library.rxbin,1194157,8.39,100,1,2026-07-19T20:35:45Z,2026-07-19T20:35:54Z,raw/061-rxbvm-recorded-r10-p1-cellC.stdout.txt,raw/061-rxbvm-recorded-r10-p1-cellC.stderr.txt
62,rxbvm,recorded,10,2,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1201962,8.33,100,1,2026-07-19T20:35:54Z,2026-07-19T20:36:02Z,raw/062-rxbvm-recorded-r10-p2-cellA.stdout.txt,raw/062-rxbvm-recorded-r10-p2-cellA.stderr.txt
63,rxbvm,recorded,10,3,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1189108,8.42,100,1,2026-07-19T20:36:02Z,2026-07-19T20:36:11Z,raw/063-rxbvm-recorded-r10-p3-cellB.stdout.txt,raw/063-rxbvm-recorded-r10-p3-cellB.stderr.txt
64,rxvm,recorded,10,1,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/library.rxbin,1232494,8.13,100,1,2026-07-19T20:36:11Z,2026-07-19T20:36:19Z,raw/064-rxvm-recorded-r10-p1-cellC.stdout.txt,raw/064-rxvm-recorded-r10-p1-cellC.stderr.txt
65,rxvm,recorded,10,2,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1193709,8.39,100,1,2026-07-19T20:36:19Z,2026-07-19T20:36:27Z,raw/065-rxvm-recorded-r10-p2-cellA.stdout.txt,raw/065-rxvm-recorded-r10-p2-cellA.stderr.txt
66,rxvm,recorded,10,3,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1212127,8.26,100,1,2026-07-19T20:36:27Z,2026-07-19T20:36:35Z,raw/066-rxvm-recorded-r10-p3-cellB.stdout.txt,raw/066-rxvm-recorded-r10-p3-cellB.stderr.txt
67,rxvm,recorded,11,1,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1193972,8.39,100,1,2026-07-19T20:36:35Z,2026-07-19T20:36:44Z,raw/067-rxvm-recorded-r11-p1-cellB.stdout.txt,raw/067-rxvm-recorded-r11-p1-cellB.stderr.txt
68,rxvm,recorded,11,2,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/library.rxbin,1225284,8.18,100,1,2026-07-19T20:36:44Z,2026-07-19T20:36:52Z,raw/068-rxvm-recorded-r11-p2-cellC.stdout.txt,raw/068-rxvm-recorded-r11-p2-cellC.stderr.txt
69,rxvm,recorded,11,3,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1208215,8.29,100,1,2026-07-19T20:36:52Z,2026-07-19T20:37:00Z,raw/069-rxvm-recorded-r11-p3-cellA.stdout.txt,raw/069-rxvm-recorded-r11-p3-cellA.stderr.txt
