vm_mode,round,comparison,left_cell,right_cell,left_position,right_position,left_native_cps,right_native_cps,native_cps_delta_percent,left_process_real_s,right_process_real_s,process_real_delta_percent
rxbvm,7,infrastructure_B_vs_A,A,B,2,1,1177477,1203492,+2.209385,8.51,8.32,-2.232667
rxbvm,7,corrected_product_C_vs_B,B,C,1,3,1203492,1229551,+2.165282,8.32,8.15,-2.043269
rxbvm,7,overall_C_vs_A,A,C,2,3,1177477,1229551,+4.422507,8.51,8.15,-4.230317
rxbvm,8,infrastructure_B_vs_A,A,B,1,3,1185159,1163343,-1.840766,8.45,8.61,+1.893491
rxbvm,8,corrected_product_C_vs_B,B,C,3,2,1163343,1218021,+4.700076,8.61,8.22,-4.529617
rxbvm,8,overall_C_vs_A,A,C,1,2,1185159,1218021,+2.772793,8.45,8.22,-2.721893
rxbvm,9,infrastructure_B_vs_A,A,B,3,2,1180176,1198740,+1.572986,8.49,8.36,-1.531213
rxbvm,9,corrected_product_C_vs_B,B,C,2,1,1198740,1202260,+0.293642,8.36,8.33,-0.358852
rxbvm,9,overall_C_vs_A,A,C,3,1,1180176,1202260,+1.871246,8.49,8.33,-1.884570
rxbvm,10,infrastructure_B_vs_A,A,B,2,3,1201962,1189108,-1.069418,8.33,8.42,+1.080432
rxbvm,10,corrected_product_C_vs_B,B,C,3,1,1189108,1194157,+0.424604,8.42,8.39,-0.356295
rxbvm,10,overall_C_vs_A,A,C,2,1,1201962,1194157,-0.649355,8.33,8.39,+0.720288
rxbvm,11,infrastructure_B_vs_A,A,B,3,1,1153963,1171349,+1.506634,8.68,8.55,-1.497696
rxbvm,11,corrected_product_C_vs_B,B,C,1,2,1171349,1214581,+3.690787,8.55,8.25,-3.508772
rxbvm,11,overall_C_vs_A,A,C,3,2,1153963,1214581,+5.253028,8.68,8.25,-4.953917
rxbvm,12,infrastructure_B_vs_A,A,B,1,2,1188541,1174587,-1.174044,8.43,8.53,+1.186240
rxbvm,12,corrected_product_C_vs_B,B,C,2,3,1174587,1231946,+4.883333,8.53,8.13,-4.689332
rxbvm,12,overall_C_vs_A,A,C,1,3,1188541,1231946,+3.651956,8.43,8.13,-3.558719
