rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,278800,1,1,7,over_3_symbols,"BCF_ID_REG(c1,r1) | MINATTRS_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r2,r3) | COPY_REG_REG(r4,r5)","c1=label@90;r1=R7;r2=R9;r3=R4;c2=int:0;r4=R6;r5=R10","objectarrayappend",68
14,95560,1,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | BCF_ID_REG(c1,r3) | MINATTRS_REG_REG_INT(r5,r1,c2)","r1=R4;r2=R2;r3=R7;r4=R1;c1=label@90;r5=R9;c2=int:0","objectarrayappend",62
15,95560,1,1,6,over_3_symbols,"INSATTRS1_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r2) | ICOPY_REG_REG(r5,r3) | BCF_ID_REG(c1,r5)","r1=R9;r2=R2;r3=R1;r4=R4;r5=R7;c1=label@90","objectarrayappend",58
16,95560,3,1,5,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3)","r1=R9;c1=int:256;r2=R14;r3=R0;r4=R16","benchmark_awfy_storage_opt",390
17,95560,3,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3) | CALL_REG_FUNC_REG(r5,c2,r6)","r1=R14;r2=R9;r3=R0;c1=int:256;r4=R16;r5=R10;c2=func@17176;r6=R13","benchmark_awfy_storage_opt",393
18,54640,5,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R8;c1=int:0;r2=R7;r3=R6;c2=int:1","benchmark_awfy_storage_opt",88
19,54630,4,1,7,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | LOAD_REG_INT(r2,c3) | LINKATTR1_REG_REG_INT(r3,r1,c4)","r1=R6;c1=int:2;c2=string@56;r2=R8;c3=int:0;r3=R7;c4=int:1","benchmark_awfy_storage_opt",82
20,54630,4,1,6,over_3_symbols,"SETOBJTYPE_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LINKATTR1_REG_REG_INT(r3,r1,c3) | ICOPY_REG_REG(r3,r2)","r1=R6;c1=string@56;r2=R8;c2=int:0;r3=R7;c3=int:1","benchmark_awfy_storage_opt",85
21,54610,2,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r3,r1)","r1=R10;r2=R4;c1=int:1;r3=R5;r4=R9","benchmark_awfy_storage_opt",335
22,54610,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | SETATTRS_REG_INT(r3,c1) | SETOBJTYPE_REG_STRING(r3,c2)","r1=R5;r2=R10;r3=R11;c1=int:3;c2=string@480","benchmark_awfy_storage_opt",345
23,54610,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r4,r2,c1)","r1=R4;r2=R9;c1=int:1;r3=R10;r4=R5","benchmark_awfy_storage_opt",331
24,54610,2,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | SETATTRS_REG_INT(r4,c2)","r1=R5;r2=R9;c1=int:1;r3=R10;r4=R11;c2=int:3","benchmark_awfy_storage_opt",341
25,54600,1,1,7,over_3_symbols,"BRTPANDT_ID_REG_INT(c1,r1,c2) | LOAD_REG_INT(r2,c3) | SETTP_REG_INT(r2,c4) | BR_ID(c5)","c1=label@22;r1=R11;c2=int:256;r2=R1;c3=int:1;c4=int:0;c5=label@28","objectarrayappend",10
26,54600,2,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | COPY_REG_REG(r4,r5) | LOAD_REG_INT(r6,c2)","r1=R18;r2=R7;r3=R15;c1=int:2;r4=R21;r5=R10;r6=R19;c2=int:3","benchmark_awfy_storage_opt",412
27,54600,2,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SWAP_REG_REG(r4,r5) | SETTP_REG_INT(r1,c2)","r1=R21;r2=R10;r3=R19;c1=int:3;r4=R20;r5=R15;c2=int:768","benchmark_awfy_storage_opt",419
28,54600,2,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | COPY_REG_REG(r3,r4) | BCTP_ID_REG(c1,r5)","r1=R16;r2=R14;r3=R7;r4=R18;c1=label@377;r5=R5","benchmark_awfy_storage_opt",447
29,54600,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | COPY_REG_REG(r3,r4) | IEQ_REG_REG_INT(r1,r5,c1)","r1=R6;r2=R5;r3=R1;r4=R7;r5=R26;c1=int:1","benchmark_awfy_storage_opt",541
30,54600,2,1,8,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c2) | SWAP_REG_REG(r6,r1)","r1=R15;r2=R18;c1=int:2;r3=R21;r4=R10;r5=R19;c2=int:3;r6=R20","benchmark_awfy_storage_opt",415
31,54600,2,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | SETTP_REG_INT(r4,c2)","r1=R13;c1=int:3;r2=R9;c2=int:256;r3=R14;r4=R0","benchmark_awfy_storage_opt",387
32,54600,2,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | SWAP_REG_REG(r2,r3) | SETTP_REG_INT(r4,c2) | SETTP_REG_INT(r5,c3)","r1=R19;c1=int:3;r2=R20;r3=R15;r4=R21;c2=int:768;r5=R22;c3=int:0","benchmark_awfy_storage_opt",422
33,54600,1,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | LOAD_REG_INT(r2,c1)","c1=int:1;c2=label@22;r1=R11;c3=int:256;r2=R1","objectarrayappend",6
34,54600,1,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1)","c1=int:1;r1=R5;r2=R25;r3=R6","benchmark_awfy_storage_opt",505
35,54600,1,1,3,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1)","c1=int:1;r1=R5;r2=R25","benchmark_awfy_storage_opt",503
36,54600,1,1,6,over_3_symbols,"SETNUMSTD_INT(c1) | BRTPANDT_ID_REG_INT(c2,r1,c3) | LOAD_REG_INT(r2,c1) | SETTP_REG_INT(r2,c4)","c1=int:1;c2=label@22;r1=R11;c3=int:256;r2=R1;c4=int:0","objectarrayappend",8
37,54600,1,1,4,over_3_symbols,"SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1)","c1=int:1;r1=R5;r2=R25;r3=R6","benchmark_awfy_storage_opt",507
38,54600,2,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r3,c1) | COPY_REG_REG(r6,r7)","r1=R0;r2=R16;r3=R18;r4=R7;r5=R15;c1=int:2;r6=R21;r7=R10","benchmark_awfy_storage_opt",409
39,54600,2,1,9,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2) | CALL_REG_FUNC_REG(r5,c3,r6)","r1=R20;r2=R15;r3=R21;c1=int:768;r4=R22;c2=int:0;r5=R14;c3=func@18304;r6=R19","benchmark_awfy_storage_opt",425
40,54600,2,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | COPY_REG_REG(r5,r6) | LINKATTR1_REG_REG_INT(r7,r5,c1)","r1=R9;r2=R14;r3=R0;r4=R16;r5=R18;r6=R7;r7=R15;c1=int:2","benchmark_awfy_storage_opt",406
41,54600,2,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r3,r5)","r1=R15;r2=R20;r3=R16;r4=R18;c1=int:1;r5=R14","benchmark_awfy_storage_opt",438
42,54600,1,1,6,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | IEQ_REG_REG_INT(r1,r4,c1) | BRF_ID_REG(c2,r1)","r1=R6;r2=R1;r3=R7;r4=R26;c1=int:1;c2=label@643","benchmark_awfy_storage_opt",544
43,54600,1,1,6,over_3_symbols,"UNLINK_REG(r1) | SETATTRS_REG_INT(r2,c1) | SETOBJTYPE_REG_STRING(r2,c2) | LOAD_REG_INT(r3,c3)","r1=R4;r2=R7;c1=int:3;c2=string@480;r3=R5;c3=int:0","benchmark_awfy_storage_opt",526
44,54560,1,1,9,over_3_symbols,"BRT_ID_REG(c1,r1) | ISUB_REG_REG_INT(r2,r3,c2) | LOAD_REG_INT(r4,c3) | SETTP_REG_INT(r5,c4)","c1=label@731;r1=R10;r2=R16;r3=R26;c2=int:1;r4=R14;c3=int:3;r5=R25;c4=int:256","benchmark_awfy_storage_opt",653
45,54560,1,1,9,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | ISUB_REG_REG_INT(r4,r5,c2) | LOAD_REG_INT(r6,c3)","r1=R10;r2=R12;r3=R11;c1=label@731;r4=R16;r5=R26;c2=int:1;r6=R14;c3=int:3","benchmark_awfy_storage_opt",649
46,54560,1,1,8,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2) | SETTP_REG_INT(r4,c3) | SWAP_REG_REG(r5,r4)","r1=R16;r2=R26;c1=int:1;r3=R14;c2=int:3;r4=R25;c3=int:256;r5=R15","benchmark_awfy_storage_opt",656
47,40960,1,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2) | IMULT_REG_REG_INT(r5,r4,c3)","c1=label@643;r1=R6;r2=R9;r3=R27;r4=R10;c2=int:1;r5=R11;c3=int:1309","benchmark_awfy_storage_opt",553
48,40960,1,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3) | COPY_REG_REG(r5,r6)","r1=R1;r2=R7;r3=R6;r4=R26;c1=int:1;c2=label@643;r5=R9;r6=R27","benchmark_awfy_storage_opt",546
49,40960,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IMULT_REG_REG_INT(r4,r3,c2) | UNLINK_REG(r3)","r1=R9;r2=R27;r3=R10;c1=int:1;r4=R11;c2=int:1309","benchmark_awfy_storage_opt",556
50,40960,1,1,7,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r4,c2) | SWAP_REG_REG(r5,r4)","r1=R13;r2=R27;r3=R10;c1=int:3;r4=R1;c2=int:256;r5=R11","benchmark_awfy_storage_opt",611
51,40960,1,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | IMOD_REG_REG_INT(r1,r1,c2) | LINKATTR1_REG_REG_INT(r2,r3,c3) | ICOPY_REG_REG(r2,r1)","r1=R11;c1=int:13849;c2=int:65536;r2=R4;r3=R9;c3=int:1","benchmark_awfy_storage_opt",569
52,40960,1,1,9,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c2) | SETTP_REG_INT(r6,c3)","r1=R5;r2=R11;c1=int:1;r3=R13;r4=R27;r5=R10;c2=int:3;r6=R1;c3=int:256","benchmark_awfy_storage_opt",607
53,40960,1,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | SETTP_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r3,r4,c2) | ICOPY_REG_REG(r5,r3)","r1=R1;r2=R11;c1=int:256;r3=R7;r4=R9;c2=int:0;r5=R3","objectarrayappend",22
54,40960,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r4,r2)","r1=R4;r2=R11;r3=R9;c1=int:1;r4=R8","benchmark_awfy_storage_opt",581
55,40960,1,1,4,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r2,r1)","r1=R8;r2=R11;r3=R27;r4=R9","benchmark_awfy_storage_opt",590
56,40960,1,1,7,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | COPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r3,c1)","r1=R6;r2=R26;c1=int:1;c2=label@643;r3=R9;r4=R27;r5=R10","benchmark_awfy_storage_opt",549
57,40960,1,1,8,over_3_symbols,"IMOD_REG_REG_INT(r1,r1,c1) | IADD_REG_REG_INT(r2,r1,c2) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r5,c3)","r1=R11;c1=int:10;r2=R5;c2=int:1;r3=R13;r4=R27;r5=R10;c3=int:3","benchmark_awfy_storage_opt",603
58,40960,1,1,5,over_3_symbols,"IMOD_REG_REG_INT(r1,r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R11;c1=int:65536;r2=R4;r3=R9;c2=int:1","benchmark_awfy_storage_opt",573
59,40960,1,1,5,over_3_symbols,"IMULT_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | IADD_REG_REG_INT(r1,r1,c2) | IMOD_REG_REG_INT(r1,r1,c3)","r1=R11;r2=R10;c1=int:1309;c2=int:13849;c3=int:65536","benchmark_awfy_storage_opt",563
60,40960,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R4;r2=R9;c1=int:1;r3=R11","benchmark_awfy_storage_opt",577
61,40960,1,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | RET()","r1=R3;r2=R11;c1=int:1;r3=R9","benchmark_awfy_storage_opt",816
62,40960,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | UNLINK_REG(r1) | COPY_REG_REG(r4,r2)","r1=R11;r2=R9;c1=int:1;r3=R8;r4=R27","benchmark_awfy_storage_opt",586
63,40960,1,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | IADD_REG_REG_INT(r3,r3,c3)","r1=R10;r2=R9;c1=int:1;r3=R11;c2=int:1309;c3=int:13849","benchmark_awfy_storage_opt",559
64,40960,1,1,8,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2) | SWAP_REG_REG(r4,r1) | SETTP_REG_INT(r5,c3)","r1=R8;r2=R11;c1=int:2;r3=R4;c2=int:3;r4=R5;r5=R13;c3=int:256","benchmark_awfy_storage_opt",779
65,40960,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | SWAP_REG_REG(r4,r5)","r1=R10;c1=int:3;r2=R1;c2=int:256;r3=R11;r4=R12;r5=R5","benchmark_awfy_storage_opt",614
66,40960,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SWAP_REG_REG(r2,r3) | SETTP_REG_INT(r4,c2) | SWAP_REG_REG(r5,r4)","r1=R4;c1=int:3;r2=R5;r3=R8;r4=R13;c2=int:256;r5=R6","benchmark_awfy_storage_opt",783
67,40960,1,1,6,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2) | LOAD_REG_INT(r3,c3)","c1=int:1;r1=R8;r2=R11;c2=int:2;r3=R4;c3=int:3","benchmark_awfy_storage_opt",775
68,40960,1,1,4,over_3_symbols,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2)","c1=int:1;r1=R8;r2=R11;c2=int:2","benchmark_awfy_storage_opt",773
69,40960,1,1,7,over_3_symbols,"SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2) | LOAD_REG_INT(r3,c3) | SWAP_REG_REG(r4,r1)","c1=int:1;r1=R8;r2=R11;c2=int:2;r3=R4;c3=int:3;r4=R5","benchmark_awfy_storage_opt",777
70,40960,1,1,6,over_3_symbols,"SETTP_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | ICOPY_REG_REG(r4,r2) | ILT_REG_REG_INT(r2,r1,c2)","r1=R1;c1=int:256;r2=R7;r3=R9;c2=int:0;r4=R3","objectarrayappend",25
71,40960,1,1,7,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SWAP_REG_REG(r3,r4) | SETTP_REG_INT(r5,c2)","r1=R1;c1=int:256;r2=R11;r3=R12;r4=R5;r5=R13;c2=int:768","benchmark_awfy_storage_opt",617
72,40960,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r3,r5) | UNLINK_REG(r3)","r1=R12;r2=R7;r3=R3;r4=R11;c1=int:1;r5=R9","benchmark_awfy_storage_opt",813
73,40960,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SWAP_REG_REG(r4,r3) | SETTP_REG_INT(r5,c1)","r1=R5;r2=R8;r3=R13;c1=int:256;r4=R6;r5=R12","benchmark_awfy_storage_opt",786
74,40960,1,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | ENDLIFE_REG(r3) | BR_ID(c1)","r1=R1;r2=R11;r3=R5;r4=R12;c1=label@735","benchmark_awfy_storage_opt",633
75,40960,1,1,8,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r6,c1) | ICOPY_REG_REG(r5,r7)","r1=R13;r2=R6;r3=R12;r4=R7;r5=R3;r6=R11;c1=int:1;r7=R9","benchmark_awfy_storage_opt",810
76,40960,1,1,9,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | SETTP_REG_INT(r5,c1) | CALL_REG_FUNC_REG(r6,c2,r7)","r1=R11;r2=R1;r3=R12;r4=R5;r5=R13;c1=int:768;r6=R4;c2=func@25976;r7=R10","benchmark_awfy_storage_opt",620
77,40960,1,1,6,over_3_symbols,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r1) | SWAP_REG_REG(r3,r4) | SWAP_REG_REG(r5,r6)","r1=R8;r2=R5;r3=R13;r4=R6;r5=R12;r6=R7","benchmark_awfy_storage_opt",805
78,40960,1,1,5,over_3_symbols,"UNLINK_REG(r1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r1,r4) | BR_ID(c1)","r1=R11;r2=R27;r3=R9;r4=R8;c1=label@603","benchmark_awfy_storage_opt",593
79,40960,1,1,7,over_3_symbols,"UNLINK_REG(r1) | IADD_REG_REG_INT(r2,r2,c1) | IMOD_REG_REG_INT(r2,r2,c2) | LINKATTR1_REG_REG_INT(r3,r4,c3)","r1=R10;r2=R11;c1=int:13849;c2=int:65536;r3=R4;r4=R9;c3=int:1","benchmark_awfy_storage_opt",567
80,40960,1,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r4,r2) | UNLINK_REG(r2)","r1=R4;r2=R11;r3=R9;c1=int:1;r4=R8","benchmark_awfy_storage_opt",584
81,40960,1,1,8,over_3_symbols,"UNLINK_REG(r1) | SWAP_REG_REG(r2,r3) | SWAP_REG_REG(r4,r5) | LINKATTR1_REG_REG_INT(r6,r7,c1)","r1=R8;r2=R13;r3=R6;r4=R12;r5=R7;r6=R3;r7=R11;c1=int:1","benchmark_awfy_storage_opt",808
82,13650,2,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r1,r2) | BRT_ID_REG(c3,r3)","r1=R5;c1=int:1;r2=R4;c2=int:4;r3=R12;c3=label@458","benchmark_awfy_storage_opt",371
83,13640,1,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2) | ISUB_REG_REG_INT(r4,r5,c3)","r1=R11;c1=int:4;r2=R10;r3=R12;c2=label@731;r4=R16;r5=R26;c3=int:1","benchmark_awfy_storage_opt",646
84,40,1,1,8,over_3_symbols,"BRT_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | SETTP_REG_INT(r4,c4)","c1=label@458;r1=R12;r2=R15;c2=int:6;r3=R13;c3=int:3;r4=R9;c4=int:256","benchmark_awfy_storage_opt",381
85,40,1,1,8,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2) | LOAD_REG_INT(r5,c3)","r1=R12;r2=R5;r3=R4;c1=label@458;r4=R15;c2=int:6;r5=R13;c3=int:3","benchmark_awfy_storage_opt",377
86,40,1,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3) | SWAP_REG_REG(r4,r3)","r1=R15;c1=int:6;r2=R13;c2=int:3;r3=R9;c3=int:256;r4=R14","benchmark_awfy_storage_opt",384
87,20,2,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | COPY_REG_REG(r3,r4) | LOAD_REG_INT(r1,c1)","r1=R7;r2=R8;r3=R5;r4=R6;c1=int:1","benchmark_awfy_storage_opt",95
88,10,1,1,7,over_3_symbols,"BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r2,c2) | SETOBJTYPE_REG_STRING(r2,c3) | LOAD_REG_INT(r3,c4)","c1=label@153;r1=R3;r2=R6;c2=int:2;c3=string@56;r3=R8;c4=int:0","benchmark_awfy_storage_opt",79
89,10,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LINKATTR1_REG_REG_INT(r4,r3,c1) | ICOPY_REG_REG(r5,r4)","r1=R1;r2=R6;r3=R23;r4=R22;c1=int:1;r5=R21","benchmark_awfy_storage_opt",468
90,10,1,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1) | COPY_REG_REG(r6,r5)","r1=R6;r2=R7;r3=R25;r4=R9;r5=R1;r6=R23","benchmark_awfy_storage_opt",462
