rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
64,140,1,1,7,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2) | ISETATTR1_REG_INT_REG(r1,c3,r3) | COPY_REG_REG(r4,r1)","r1=R13;c1=int:1;r2=R7;r3=R15;c2=int:0;c3=int:2;r4=R8","benchmark_awfy_towers_opt",130
65,140,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | COPY_REG_REG(r3,r2) | LOAD_REG_INT(r4,c1)","r1=R15;c1=int:0;r2=R13;c2=int:2;r3=R8;r4=R17","benchmark_awfy_towers_opt",134
66,140,1,1,7,candidate,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | ISETATTR1_REG_INT_REG(r1,c3,r2) | LOAD_REG_INT(r3,c4)","r1=R13;c1=int:4;c2=string@9;c3=int:1;r2=R7;r3=R15;c4=int:0","benchmark_awfy_towers_opt",124
67,140,1,1,7,candidate,"SETOBJTYPE_REG_STRING(r1,c1) | ISETATTR1_REG_INT_REG(r1,c2,r2) | LOAD_REG_INT(r3,c3) | ISETATTR1_REG_INT_REG(r1,c4,r3)","r1=R13;c1=string@9;c2=int:1;r2=R7;r3=R15;c3=int:0;c4=int:2","benchmark_awfy_towers_opt",127
68,20,2,1,5,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c3,r1)","r1=R7;c1=int:0;r2=R6;c2=int:5;c3=int:7","benchmark_awfy_towers_opt",84
69,20,2,1,8,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3) | SETTP_REG_INT(r4,c4)","r1=R21;c1=int:12;r2=R22;c2=int:0;r3=R23;c3=int:2;r4=R5;c4=int:256","benchmark_awfy_towers_opt",174
70,20,2,1,9,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3) | CALL4_REG_FUNC_REG_REG_REG_REG(r4,c4,r3,r5,r1,r2)","r1=R22;c1=int:0;r2=R23;c2=int:2;r3=R5;c3=int:256;r4=R17;c4=func@12064;r5=R21","benchmark_awfy_towers_opt",177
71,10,1,1,5,candidate,"ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r2,r1)","r1=R21;c1=string@9;r2=R23;r3=R5;c2=int:2","benchmark_awfy_towers_opt",225
72,10,1,1,7,candidate,"BRT_ID_REG(c1,r1) | SETATTRS_REG_INT(r2,c2) | SETOBJTYPE_REG_STRING(r2,c3) | LOAD_REG_INT(r3,c4)","c1=label@346;r1=R3;r2=R6;c2=int:8;c3=string@8;r3=R8;c4=int:0","benchmark_awfy_towers_opt",68
73,10,1,1,5,candidate,"COPY_REG_REG(r1,r2) | ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r2,r3,c2)","r1=R21;r2=R23;c1=string@9;r3=R5;c2=int:2","benchmark_awfy_towers_opt",222
